Radii (nm)	Fraction of NPs (#)
0.716384775923068	0.0446549391069012
0.921066140472516	0.0629228687415426
1.12574750502196	0.0757780784844384
1.33042886957141	0.156292286874154
1.53511023412086	0.168470906630582
1.73979159867031	0.129228687415426
1.94447296321976	0.10148849797023
2.1491543277692	0.0581867388362652
2.35383569231865	0.0399188092016238
2.5585170568681	0.0324763193504736
2.76319842141755	0.0175913396481732
2.967879785967	0.020297699594046
3.17256115051644	0.0155615696887686
3.37724251506589	0.0128552097428958
3.58192387961534	0.0128552097428958
3.78660524416479	0.0121786197564276
3.99128660871424	0.0060893098782138
4.19596797326368	0.0054127198917456
4.40064933781313	0.0081190798376184
4.60533070236258	0.003382949932341
4.81001206691203	0.003382949932341
5.01469343146148	0.0027063599458728
5.21937479601092	0.0006765899864682
5.42405616056037	0.0027063599458728
5.62873752510982	0.0006765899864682
5.83341888965927	0.0013531799729364
6.03810025420872	0
