x,Curve1,Curve2,Curve3,Curve4,Curve5
742.09,0.97493,0.97048,0.96225,0.94611,0.70297
751.32,0.97504,0.97174,0.96317,0.94878,0.7406
752.93,0.97506,0.97196,0.96331,0.94914,0.74624
761.26,0.97515,0.97312,0.96403,0.95014,0.76842
769.1,0.97523,0.97421,0.96467,0.95039,0.78269
777.19,0.9753,0.97532,0.9653,0.95117,0.79512
792.2,0.97542,0.97728,0.96651,0.954,0.81602
806.29,0.97552,0.97891,0.96778,0.95706,0.83441
817.94,0.9756,0.97997,0.96841,0.95938,0.84906
839.87,0.97573,0.98046,0.96904,0.96128,0.87481
848.98,0.97577,0.97912,0.96921,0.9614,0.88442
849.3,0.97577,0.97902,0.96922,0.9614,0.88475
883.26,0.97593,0.896,0.96973,0.96247,0.913
905.58,0.97602,0.82894,0.97,0.96337,0.9238
911.72,0.97604,0.80598,0.97007,0.96363,0.92469
960.23,0.97621,0.54386,0.97058,0.96569,0.9246
996.54,0.97633,0.23648,0.97094,0.96726,0.92889
997.42,0.97633,0.22767,0.97095,0.96729,0.92906
998.71,0.97633,0.21461,0.97096,0.96735,0.92931
999.04,0.97633,0.21132,0.97096,0.96736,0.92937
