  0.99999998E-02  0.81923474E-02  0.31136289E+01 -0.20865916E+01 -0.20000000E+01
  0.20000000E-01  0.82643615E-02  0.31455802E+01 -0.20827907E+01 -0.16989700E+01
  0.29999999E-01  0.83359383E-02  0.31772813E+01 -0.20790455E+01 -0.15228788E+01
  0.39999999E-01  0.84070697E-02  0.32087411E+01 -0.20753553E+01 -0.13979400E+01
  0.49999999E-01  0.84777554E-02  0.32399674E+01 -0.20717191E+01 -0.13010300E+01
  0.59999999E-01  0.85480029E-02  0.32709667E+01 -0.20681353E+01 -0.12218488E+01
  0.69999998E-01  0.86178274E-02  0.33017444E+01 -0.20646022E+01 -0.11549020E+01
  0.79999998E-01  0.86872522E-02  0.33323045E+01 -0.20611176E+01 -0.10969100E+01
  0.89999998E-01  0.87563084E-02  0.33626495E+01 -0.20576790E+01 -0.10457575E+01
  0.99999998E-01  0.88250350E-02  0.33927806E+01 -0.20542836E+01 -0.10000000E+01
  0.11000000E+00  0.88934787E-02  0.34226972E+01 -0.20509283E+01 -0.95860732E+00
  0.12000000E+00  0.89616944E-02  0.34523973E+01 -0.20476099E+01 -0.92081876E+00
  0.13000000E+00  0.90297444E-02  0.34818771E+01 -0.20443245E+01 -0.88605666E+00
  0.14000000E+00  0.90976989E-02  0.35111312E+01 -0.20410684E+01 -0.85387197E+00
  0.15000000E+00  0.91656358E-02  0.35401523E+01 -0.20378374E+01 -0.82390875E+00
  0.16000000E+00  0.92336403E-02  0.35689316E+01 -0.20346270E+01 -0.79588003E+00
  0.17000000E+00  0.93018052E-02  0.35974582E+01 -0.20314328E+01 -0.76955109E+00
  0.18000000E+00  0.93702307E-02  0.36257196E+01 -0.20282497E+01 -0.74472750E+00
  0.19000000E+00  0.94390239E-02  0.36537016E+01 -0.20250729E+01 -0.72124641E+00
  0.20000000E+00  0.95082990E-02  0.36813881E+01 -0.20218972E+01 -0.69897001E+00
  0.21000000E+00  0.95781766E-02  0.37087612E+01 -0.20187172E+01 -0.67778071E+00
  0.22000000E+00  0.96487843E-02  0.37358016E+01 -0.20155274E+01 -0.65757733E+00
  0.22999999E+00  0.97202555E-02  0.37624882E+01 -0.20123223E+01 -0.63827217E+00
  0.23999999E+00  0.97927297E-02  0.37887983E+01 -0.20090962E+01 -0.61978877E+00
  0.24999999E+00  0.98663520E-02  0.38147080E+01 -0.20058434E+01 -0.60206000E+00
  0.25999999E+00  0.99412727E-02  0.38401918E+01 -0.20025580E+01 -0.58502666E+00
  0.26999999E+00  0.10017647E-01  0.38652233E+01 -0.19992343E+01 -0.56863625E+00
  0.27999999E+00  0.10095634E-01  0.38897747E+01 -0.19958664E+01 -0.55284198E+00
  0.28999999E+00  0.10175398E-01  0.39138177E+01 -0.19924486E+01 -0.53760201E+00
  0.29999999E+00  0.10257106E-01  0.39373232E+01 -0.19889752E+01 -0.52287875E+00
  0.30999999E+00  0.10340927E-01  0.39602615E+01 -0.19854405E+01 -0.50863832E+00
  0.31999999E+00  0.10427033E-01  0.39826028E+01 -0.19818392E+01 -0.49485003E+00
  0.32999999E+00  0.10515598E-01  0.40043172E+01 -0.19781660E+01 -0.48148607E+00
  0.33999999E+00  0.10606797E-01  0.40253753E+01 -0.19744157E+01 -0.46852109E+00
  0.34999999E+00  0.10700804E-01  0.40457479E+01 -0.19705836E+01 -0.45593197E+00
  0.35999999E+00  0.10797792E-01  0.40654068E+01 -0.19666650E+01 -0.44369751E+00
  0.36999999E+00  0.10897935E-01  0.40843250E+01 -0.19626558E+01 -0.43179829E+00
  0.37999999E+00  0.11001402E-01  0.41024768E+01 -0.19585520E+01 -0.42021641E+00
  0.38999999E+00  0.11108359E-01  0.41198383E+01 -0.19543501E+01 -0.40893540E+00
  0.39999999E+00  0.11218967E-01  0.41363876E+01 -0.19500471E+01 -0.39794002E+00
  0.40999999E+00  0.11333381E-01  0.41521052E+01 -0.19456405E+01 -0.38721615E+00
  0.41999999E+00  0.11451751E-01  0.41669742E+01 -0.19411281E+01 -0.37675072E+00
