  0.99999998E-02  0.82908220E-02  0.31152945E+01 -0.20814024E+01 -0.20000000E+01
  0.20000000E-01  0.84554793E-02  0.31480350E+01 -0.20728618E+01 -0.16989700E+01
  0.29999999E-01  0.86139148E-02  0.31797805E+01 -0.20647994E+01 -0.15228788E+01
  0.39999999E-01  0.87661672E-02  0.32106564E+01 -0.20571903E+01 -0.13979400E+01
  0.49999999E-01  0.89122827E-02  0.32407747E+01 -0.20500110E+01 -0.13010300E+01
  0.59999999E-01  0.90523156E-02  0.32702354E+01 -0.20432403E+01 -0.12218488E+01
  0.69999998E-01  0.91863276E-02  0.32991282E+01 -0.20368581E+01 -0.11549020E+01
  0.79999998E-01  0.93143888E-02  0.33275338E+01 -0.20308456E+01 -0.10969100E+01
  0.89999998E-01  0.94365771E-02  0.33555249E+01 -0.20251855E+01 -0.10457575E+01
  0.99999998E-01  0.95529789E-02  0.33831670E+01 -0.20198612E+01 -0.10000000E+01
  0.11000000E+00  0.96636888E-02  0.34105193E+01 -0.20148571E+01 -0.95860732E+00
  0.12000000E+00  0.97688100E-02  0.34376352E+01 -0.20101583E+01 -0.92081876E+00
  0.13000000E+00  0.98684543E-02  0.34645629E+01 -0.20057509E+01 -0.88605666E+00
  0.14000000E+00  0.99627424E-02  0.34913459E+01 -0.20016211E+01 -0.85387197E+00
  0.15000000E+00  0.10051804E-01  0.35180231E+01 -0.19977560E+01 -0.82390875E+00
  0.16000000E+00  0.10135777E-01  0.35446293E+01 -0.19941430E+01 -0.79588003E+00
  0.17000000E+00  0.10214810E-01  0.35711955E+01 -0.19907697E+01 -0.76955109E+00
  0.18000000E+00  0.10289060E-01  0.35977488E+01 -0.19876243E+01 -0.74472750E+00
  0.19000000E+00  0.10358693E-01  0.36243128E+01 -0.19846950E+01 -0.72124641E+00
  0.20000000E+00  0.10423886E-01  0.36509077E+01 -0.19819704E+01 -0.69897001E+00
  0.21000000E+00  0.10484824E-01  0.36775500E+01 -0.19794389E+01 -0.67778071E+00
  0.22000000E+00  0.10541703E-01  0.37042531E+01 -0.19770892E+01 -0.65757733E+00
  0.22999999E+00  0.10594729E-01  0.37310268E+01 -0.19749101E+01 -0.63827217E+00
  0.23999999E+00  0.10644117E-01  0.37578777E+01 -0.19728904E+01 -0.61978877E+00
  0.24999999E+00  0.10690093E-01  0.37848086E+01 -0.19710185E+01 -0.60206000E+00
  0.25999999E+00  0.10732892E-01  0.38118192E+01 -0.19692832E+01 -0.58502666E+00
  0.26999999E+00  0.10772760E-01  0.38389053E+01 -0.19676730E+01 -0.56863625E+00
  0.27999999E+00  0.10809952E-01  0.38660592E+01 -0.19661762E+01 -0.55284198E+00
  0.28999999E+00  0.10844735E-01  0.38932693E+01 -0.19647810E+01 -0.53760201E+00
  0.29999999E+00  0.10877385E-01  0.39205203E+01 -0.19634755E+01 -0.52287875E+00
  0.30999999E+00  0.10908186E-01  0.39477928E+01 -0.19622475E+01 -0.50863832E+00
  0.31999999E+00  0.10937435E-01  0.39750634E+01 -0.19610845E+01 -0.49485003E+00
  0.32999999E+00  0.10965436E-01  0.40023047E+01 -0.19599741E+01 -0.48148607E+00
  0.33999999E+00  0.10992504E-01  0.40294850E+01 -0.19589034E+01 -0.46852109E+00
  0.34999999E+00  0.11018963E-01  0.40565684E+01 -0.19578593E+01 -0.45593197E+00
  0.35999999E+00  0.11045145E-01  0.40835147E+01 -0.19568286E+01 -0.44369751E+00
  0.36999999E+00  0.11071391E-01  0.41102795E+01 -0.19557978E+01 -0.43179829E+00
  0.37999999E+00  0.11098049E-01  0.41368145E+01 -0.19547534E+01 -0.42021641E+00
  0.38999999E+00  0.11125475E-01  0.41630670E+01 -0.19536815E+01 -0.40893540E+00
  0.39999999E+00  0.11154031E-01  0.41889806E+01 -0.19525682E+01 -0.39794002E+00
  0.40999999E+00  0.11184087E-01  0.42144955E+01 -0.19513995E+01 -0.38721615E+00
  0.41999999E+00  0.11216015E-01  0.42395482E+01 -0.19501614E+01 -0.37675072E+00
  0.42999999E+00  0.11250194E-01  0.42640726E+01 -0.19488400E+01 -0.36653155E+00
  0.43999999E+00  0.11287004E-01  0.42879999E+01 -0.19474213E+01 -0.35654733E+00
  0.44999999E+00  0.11326827E-01  0.43112596E+01 -0.19458917E+01 -0.34678750E+00
  0.45999999E+00  0.11370046E-01  0.43337799E+01 -0.19442378E+01 -0.33724218E+00
  0.46999999E+00  0.11417042E-01  0.43554883E+01 -0.19424464E+01 -0.32790215E+00
  0.47999999E+00  0.11468194E-01  0.43763128E+01 -0.19405050E+01 -0.31875877E+00
  0.48999999E+00  0.11523872E-01  0.43961826E+01 -0.19384016E+01 -0.30980393E+00
  0.49999999E+00  0.11584443E-01  0.44150290E+01 -0.19361248E+01 -0.30103001E+00
  0.50999999E+00  0.11650261E-01  0.44327865E+01 -0.19336643E+01 -0.29242983E+00
  0.51999999E+00  0.11721667E-01  0.44493943E+01 -0.19310106E+01 -0.28399667E+00
  0.52999999E+00  0.11798986E-01  0.44647967E+01 -0.19281553E+01 -0.27572414E+00
