#Wavelength (nm)	6.4 nm	9.23 nm	11.8 nm
208.8	0.64245	0.68498	0.7416
208.9	0.64271	0.68522	0.74182
209	0.64297	0.68545	0.74204
209.1	0.64323	0.68569	0.74227
209.2	0.64349	0.68593	0.74249
209.3	0.64374	0.68616	0.74271
209.4	0.644	0.6864	0.74294
209.5	0.64426	0.68663	0.74316
209.6	0.64451	0.68687	0.74339
209.7	0.64477	0.6871	0.74361
209.8	0.64502	0.68733	0.74384
209.9	0.64527	0.68756	0.74406
210	0.64553	0.6878	0.74429
210.1	0.64578	0.68803	0.74451
210.2	0.64603	0.68826	0.74474
210.3	0.64628	0.68849	0.74496
210.4	0.64653	0.68871	0.74519
210.5	0.64678	0.68894	0.74541
210.6	0.64703	0.68917	0.74564
210.7	0.64728	0.6894	0.74586
210.8	0.64753	0.68962	0.74609
210.9	0.64778	0.68985	0.74632
211	0.64802	0.69007	0.74654
211.1	0.64827	0.6903	0.74677
211.2	0.64851	0.69052	0.74699
211.3	0.64876	0.69074	0.74722
211.4	0.649	0.69097	0.74745
211.5	0.64925	0.69119	0.74767
211.6	0.64949	0.69141	0.7479
211.7	0.64973	0.69163	0.74813
211.8	0.64997	0.69185	0.74835
211.9	0.65021	0.69207	0.74858
212	0.65045	0.69229	0.74881
212.1	0.65069	0.69251	0.74903
212.2	0.65093	0.69272	0.74926
212.3	0.65117	0.69294	0.74949
212.4	0.65141	0.69316	0.74971
212.5	0.65164	0.69337	0.74994
212.6	0.65188	0.69359	0.75017
212.7	0.65212	0.69381	0.75039
212.8	0.65235	0.69402	0.75062
212.9	0.65258	0.69423	0.75085
213	0.65282	0.69445	0.75107
213.1	0.65305	0.69466	0.7513
213.2	0.65328	0.69487	0.75153
213.3	0.65352	0.69509	0.75175
213.4	0.65375	0.6953	0.75198
213.5	0.65398	0.69551	0.75221
213.6	0.65421	0.69572	0.75243
213.7	0.65444	0.69593	0.75266
213.8	0.65467	0.69614	0.75288
213.9	0.6549	0.69635	0.75311
214	0.65512	0.69656	0.75334
214.1	0.65535	0.69677	0.75356
214.2	0.65558	0.69698	0.75379
214.3	0.6558	0.69719	0.75401
214.4	0.65603	0.6974	0.75424
214.5	0.65625	0.69761	0.75446
214.6	0.65648	0.69781	0.75469
214.7	0.6567	0.69802	0.75491
214.8	0.65693	0.69823	0.75514
214.9	0.65715	0.69844	0.75536
215	0.65737	0.69864	0.75559
215.1	0.65759	0.69885	0.75581
215.2	0.65782	0.69906	0.75604
215.3	0.65804	0.69926	0.75626
215.4	0.65826	0.69947	0.75649
215.5	0.65848	0.69967	0.75671
215.6	0.6587	0.69988	0.75693
215.7	0.65892	0.70009	0.75716
215.8	0.65914	0.70029	0.75738
215.9	0.65936	0.7005	0.7576
216	0.65958	0.7007	0.75783
216.1	0.65979	0.70091	0.75805
216.2	0.66001	0.70111	0.75827
216.3	0.66023	0.70132	0.75849
216.4	0.66045	0.70152	0.75872
216.5	0.66066	0.70173	0.75894
216.6	0.66088	0.70194	0.75916
216.7	0.66109	0.70214	0.75938
216.8	0.66131	0.70235	0.7596
216.9	0.66153	0.70255	0.75982
217	0.66174	0.70276	0.76005
217.1	0.66196	0.70296	0.76027
217.2	0.66217	0.70317	0.76049
217.3	0.66238	0.70337	0.76071
217.4	0.6626	0.70358	0.76093
217.5	0.66281	0.70378	0.76115
217.6	0.66303	0.70399	0.76136
217.7	0.66324	0.7042	0.76158
217.8	0.66345	0.7044	0.7618
217.9	0.66366	0.70461	0.76202
218	0.66388	0.70481	0.76224
218.1	0.66409	0.70502	0.76246
218.2	0.6643	0.70523	0.76267
218.3	0.66451	0.70543	0.76289
218.4	0.66473	0.70564	0.76311
218.5	0.66494	0.70584	0.76333
218.6	0.66515	0.70605	0.76354
218.7	0.66536	0.70626	0.76376
218.8	0.66557	0.70647	0.76397
218.9	0.66578	0.70667	0.76419
219	0.66599	0.70688	0.7644
219.1	0.6662	0.70709	0.76462
219.2	0.66642	0.70729	0.76483
219.3	0.66663	0.7075	0.76505
219.4	0.66684	0.70771	0.76526
219.5	0.66705	0.70792	0.76548
219.6	0.66726	0.70813	0.76569
219.7	0.66747	0.70833	0.7659
219.8	0.66768	0.70854	0.76611
219.9	0.66789	0.70875	0.76633
220	0.6681	0.70896	0.76654
220.1	0.66831	0.70917	0.76675
220.2	0.66852	0.70938	0.76696
220.3	0.66873	0.70959	0.76717
220.4	0.66894	0.7098	0.76738
220.5	0.66915	0.71	0.76759
220.6	0.66936	0.71021	0.7678
220.7	0.66956	0.71042	0.76801
220.8	0.66977	0.71063	0.76822
220.9	0.66998	0.71084	0.76843
221	0.67019	0.71105	0.76864
221.1	0.6704	0.71126	0.76884
221.2	0.67061	0.71147	0.76905
221.3	0.67082	0.71168	0.76926
221.4	0.67103	0.71189	0.76946
221.5	0.67124	0.7121	0.76967
221.6	0.67145	0.71231	0.76988
221.7	0.67165	0.71252	0.77008
221.8	0.67186	0.71273	0.77029
221.9	0.67207	0.71294	0.77049
222	0.67228	0.71315	0.7707
222.1	0.67249	0.71336	0.7709
222.2	0.6727	0.71357	0.7711
222.3	0.6729	0.71378	0.77131
222.4	0.67311	0.71399	0.77151
222.5	0.67332	0.7142	0.77171
222.6	0.67353	0.71441	0.77191
222.7	0.67374	0.71462	0.77212
222.8	0.67394	0.71483	0.77232
222.9	0.67415	0.71504	0.77252
223	0.67436	0.71524	0.77272
223.1	0.67457	0.71545	0.77292
223.2	0.67478	0.71566	0.77312
223.3	0.67498	0.71587	0.77332
223.4	0.67519	0.71608	0.77351
223.5	0.6754	0.71629	0.77371
223.6	0.6756	0.71649	0.77391
223.7	0.67581	0.7167	0.77411
223.8	0.67602	0.71691	0.7743
223.9	0.67622	0.71712	0.7745
224	0.67643	0.71732	0.7747
224.1	0.67664	0.71753	0.77489
224.2	0.67684	0.71774	0.77509
224.3	0.67705	0.71794	0.77528
224.4	0.67726	0.71815	0.77548
224.5	0.67746	0.71835	0.77567
224.6	0.67767	0.71856	0.77586
224.7	0.67787	0.71876	0.77606
224.8	0.67808	0.71897	0.77625
224.9	0.67828	0.71917	0.77644
225	0.67849	0.71937	0.77663
225.1	0.67869	0.71957	0.77683
225.2	0.6789	0.71978	0.77702
225.3	0.6791	0.71998	0.77721
225.4	0.6793	0.72018	0.7774
225.5	0.67951	0.72038	0.77759
225.6	0.67971	0.72058	0.77778
225.7	0.67991	0.72078	0.77796
225.8	0.68012	0.72098	0.77815
225.9	0.68032	0.72118	0.77834
226	0.68052	0.72137	0.77853
226.1	0.68072	0.72157	0.77872
226.2	0.68093	0.72177	0.7789
226.3	0.68113	0.72196	0.77909
226.4	0.68133	0.72216	0.77927
226.5	0.68153	0.72235	0.77946
226.6	0.68173	0.72255	0.77964
226.7	0.68193	0.72274	0.77983
226.8	0.68213	0.72293	0.78001
226.9	0.68233	0.72312	0.7802
227	0.68253	0.72332	0.78038
227.1	0.68273	0.72351	0.78056
227.2	0.68293	0.7237	0.78075
227.3	0.68312	0.72388	0.78093
227.4	0.68332	0.72407	0.78111
227.5	0.68352	0.72426	0.78129
227.6	0.68372	0.72445	0.78147
227.7	0.68391	0.72463	0.78165
227.8	0.68411	0.72482	0.78183
227.9	0.68431	0.725	0.78201
228	0.6845	0.72518	0.78219
228.1	0.6847	0.72537	0.78237
228.2	0.68489	0.72555	0.78255
228.3	0.68508	0.72573	0.78272
228.4	0.68528	0.72591	0.7829
228.5	0.68547	0.72609	0.78308
228.6	0.68566	0.72626	0.78325
228.7	0.68586	0.72644	0.78343
228.8	0.68605	0.72662	0.78361
228.9	0.68624	0.72679	0.78378
229	0.68643	0.72697	0.78396
229.1	0.68662	0.72714	0.78413
229.2	0.68681	0.72731	0.78431
229.3	0.687	0.72749	0.78448
229.4	0.68719	0.72766	0.78465
229.5	0.68738	0.72783	0.78483
229.6	0.68756	0.728	0.785
229.7	0.68775	0.72816	0.78517
229.8	0.68794	0.72833	0.78534
229.9	0.68812	0.7285	0.78551
230	0.68831	0.72866	0.78568
230.1	0.68849	0.72883	0.78585
230.2	0.68868	0.72899	0.78602
230.3	0.68886	0.72915	0.78619
230.4	0.68904	0.72932	0.78636
230.5	0.68923	0.72948	0.78653
230.6	0.68941	0.72964	0.7867
230.7	0.68959	0.7298	0.78687
230.8	0.68977	0.72995	0.78704
230.9	0.68995	0.73011	0.7872
231	0.69013	0.73027	0.78737
231.1	0.69031	0.73042	0.78754
231.2	0.69049	0.73058	0.7877
231.3	0.69067	0.73073	0.78787
231.4	0.69085	0.73088	0.78804
231.5	0.69102	0.73104	0.7882
231.6	0.6912	0.73119	0.78837
231.7	0.69137	0.73134	0.78853
231.8	0.69155	0.73149	0.78869
231.9	0.69172	0.73164	0.78886
232	0.6919	0.73178	0.78902
232.1	0.69207	0.73193	0.78918
232.2	0.69224	0.73208	0.78935
232.3	0.69241	0.73222	0.78951
232.4	0.69259	0.73237	0.78967
232.5	0.69276	0.73251	0.78983
232.6	0.69293	0.73265	0.78999
232.7	0.6931	0.7328	0.79015
232.8	0.69326	0.73294	0.79032
232.9	0.69343	0.73308	0.79048
233	0.6936	0.73322	0.79064
233.1	0.69377	0.73336	0.7908
233.2	0.69393	0.7335	0.79095
233.3	0.6941	0.73364	0.79111
233.4	0.69426	0.73377	0.79127
233.5	0.69443	0.73391	0.79143
233.6	0.69459	0.73405	0.79159
