#Wavelength (nm)	6.4 nm	9.23 nm	11.8 nm
352.9891	0.7763	0.8292	0.9064
353.9891	0.7765	0.8295	0.9067
354.989	0.7766	0.8293	0.9068
355.989	0.7772	0.8296	0.9071
356.9889	0.7775	0.8304	0.9076
357.9888	0.7776	0.8311	0.9079
358.9887	0.7776	0.8309	0.9079
359.9886	0.778	0.8306	0.9083
360.9886	0.779	0.8315	0.909
361.9885	0.7794	0.8319	0.9094
362.9885	0.7801	0.8324	0.9102
363.9884	0.7805	0.8328	0.911
364.9883	0.7806	0.833	0.911
365.9883	0.7808	0.8335	0.9113
366.9882	0.7806	0.8335	0.9116
367.9881	0.7804	0.8336	0.9117
368.988	0.7806	0.834	0.912
369.988	0.7806	0.8336	0.9118
370.9879	0.7808	0.8335	0.9121
371.9879	0.7808	0.8333	0.9122
372.9878	0.7806	0.8336	0.9119
373.9877	0.7812	0.8339	0.9124
374.9877	0.7816	0.834	0.9125
375.9876	0.7822	0.834	0.9125
376.9875	0.7828	0.8338	0.9126
377.9875	0.7828	0.8337	0.9124
378.9874	0.7833	0.8342	0.9125
379.9873	0.7834	0.8342	0.9122
380.9872	0.7836	0.8347	0.9125
381.9872	0.7841	0.8347	0.9129
382.9871	0.7843	0.8349	0.9132
383.9871	0.7848	0.8355	0.9132
384.987	0.7846	0.8354	0.9131
385.9869	0.7844	0.8357	0.913
386.9868	0.7842	0.8356	0.9129
387.9868	0.7837	0.8356	0.9127
388.9867	0.784	0.836	0.9126
389.9866	0.7844	0.836	0.9124
390.9866	0.7847	0.8367	0.9127
391.9865	0.7848	0.8371	0.9129
392.9865	0.7847	0.8369	0.9134
393.9864	0.7852	0.838	0.9138
394.9863	0.7859	0.8388	0.9146
395.9862	0.7869	0.8393	0.9153
396.9862	0.7879	0.8399	0.9156
397.9861	0.7886	0.8404	0.916
398.986	0.7884	0.8409	0.9156
399.986	0.7885	0.8412	0.9156
400.9859	0.7887	0.8416	0.9159
401.9858	0.7892	0.842	0.916
402.9858	0.7898	0.8421	0.916
403.9857	0.7901	0.8418	0.9155
404.9856	0.7898	0.8418	0.9148
405.9856	0.7898	0.8415	0.9152
406.9855	0.7896	0.8415	0.9153
407.9854	0.7901	0.8416	0.9154
408.9854	0.7903	0.8416	0.9148
409.9853	0.7905	0.8414	0.9143
410.9852	0.7908	0.8413	0.9144
411.9852	0.7907	0.8414	0.9141
412.9851	0.7909	0.8417	0.9141
413.985	0.7917	0.8425	0.9144
414.985	0.7922	0.8427	0.9138
415.9849	0.7926	0.8429	0.9138
416.9848	0.7926	0.8431	0.9147
417.9847	0.7929	0.8435	0.9157
418.9847	0.7933	0.8441	0.9162
419.9846	0.7935	0.8444	0.9163
420.9846	0.7939	0.8445	0.9164
421.9845	0.7944	0.8452	0.9169
422.9844	0.7948	0.8455	0.9174
423.9843	0.7949	0.8463	0.9184
424.9843	0.7947	0.8465	0.9187
425.9842	0.7951	0.8463	0.9185
426.9841	0.7958	0.8464	0.9187
427.9841	0.7965	0.8463	0.9191
428.984	0.7972	0.8467	0.9195
429.9839	0.7974	0.8465	0.9195
430.9839	0.7977	0.8464	0.9193
431.9838	0.7979	0.8464	0.9191
