#Wavelength (nm)	6.4 nm	9.23 nm	11.8 nm
896.9525	0.8485	0.9194	0.9782
897.9524	0.8494	0.9201	0.9787
898.9523	0.8502	0.9209	0.9794
899.9522	0.8509	0.9212	0.98
900.9521	0.8512	0.9215	0.9807
901.9521	0.8518	0.9218	0.9807
902.952	0.8529	0.9227	0.9808
903.952	0.8533	0.9223	0.9804
904.9519	0.8537	0.9229	0.9806
905.9518	0.8539	0.923	0.9806
906.9518	0.8539	0.9232	0.9806
907.9517	0.8541	0.9232	0.9804
908.9516	0.8542	0.9234	0.98
909.9515	0.8545	0.9232	0.9796
910.9515	0.8551	0.9242	0.9804
911.9514	0.8552	0.924	0.9802
912.9514	0.8554	0.9249	0.9803
913.9513	0.8558	0.925	0.9802
914.9512	0.8561	0.925	0.9804
915.9512	0.8564	0.9252	0.9803
916.9511	0.857	0.9255	0.9804
917.951	0.8574	0.9259	0.9805
918.9509	0.858	0.9266	0.9809
919.9509	0.8582	0.9261	0.9803
920.9508	0.8584	0.9264	0.9806
921.9507	0.8585	0.9265	0.9805
922.9507	0.8585	0.9264	0.9804
923.9506	0.8587	0.9268	0.9803
924.9506	0.859	0.9275	0.9804
925.9505	0.8592	0.9279	0.9803
926.9504	0.8592	0.9281	0.9801
927.9503	0.8588	0.928	0.9796
928.9503	0.859	0.9288	0.9802
929.9502	0.8591	0.9292	0.9803
930.9501	0.8591	0.9289	0.9798
931.9501	0.8592	0.9287	0.9798
932.95	0.86	0.9291	0.9799
933.95	0.8602	0.9291	0.9799
934.9499	0.8603	0.9291	0.9803
935.9498	0.8611	0.9297	0.9806
936.9497	0.8621	0.9303	0.9813
937.9496	0.8629	0.9305	0.9814
938.9496	0.8636	0.9307	0.982
939.9495	0.8646	0.9316	0.9826
940.9495	0.8655	0.9327	0.9832
941.9494	0.8657	0.9325	0.9835
942.9493	0.8663	0.9325	0.9835
943.9493	0.8665	0.9323	0.9833
944.9492	0.8667	0.9325	0.9834
945.9491	0.8668	0.932	0.9831
946.949	0.8668	0.9313	0.9831
947.949	0.8671	0.9312	0.9827
948.9489	0.8677	0.9314	0.9828
949.9489	0.8679	0.9315	0.9822
950.9488	0.8682	0.9318	0.9819
951.9487	0.8687	0.9317	0.982
952.9487	0.8696	0.9322	0.9821
953.9486	0.8701	0.9322	0.9821
954.9485	0.8705	0.933	0.9823
955.9484	0.8708	0.9336	0.982
956.9484	0.8712	0.9339	0.9826
957.9483	0.8712	0.9342	0.9829
958.9482	0.8717	0.9345	0.9833
959.9482	0.8721	0.9348	0.9834
960.9481	0.8725	0.9358	0.984
961.9481	0.8723	0.9365	0.9846
962.948	0.8717	0.9366	0.9845
963.9479	0.8717	0.9365	0.9846
964.9478	0.8717	0.9364	0.9846
965.9478	0.8714	0.9363	0.9841
966.9477	0.8712	0.9361	0.9836
967.9476	0.871	0.9363	0.9833
968.9476	0.8711	0.9365	0.9831
969.9475	0.8712	0.936	0.9829
970.9474	0.8715	0.9355	0.9825
971.9474	0.8721	0.9358	0.9828
972.9473	0.8724	0.9359	0.9824
973.9473	0.873	0.9366	0.9825
974.9471	0.8735	0.9364	0.9825
975.9471	0.874	0.9366	0.9829
976.947	0.8746	0.9363	0.9832
977.947	0.8751	0.9364	0.9836
978.9469	0.8755	0.9368	0.9837
979.9468	0.8759	0.9371	0.983
980.9468	0.8766	0.9372	0.9828
981.9467	0.8769	0.9376	0.9826
982.9467	0.8775	0.9378	0.9832
983.9465	0.8777	0.9384	0.9835
984.9465	0.8781	0.9386	0.9834
985.9464	0.8779	0.9387	0.983
986.9464	0.8774	0.9389	0.9826
987.9463	0.8771	0.9387	0.9821
988.9462	0.8769	0.9388	0.9823
989.9462	0.8764	0.9392	0.9822
990.9461	0.8767	0.9391	0.9822
991.946	0.8763	0.9385	0.9811
992.946	0.8763	0.9381	0.9806
993.9459	0.8764	0.9375	0.9805
994.9458	0.8773	0.9377	0.9809
995.9457	0.8781	0.9374	0.9811
996.9457	0.8786	0.9378	0.981
997.9456	0.8791	0.9381	0.9815
998.9456	0.8791	0.9376	0.9816
999.9455	0.8797	0.9384	0.9826
1000.945	0.8802	0.9389	0.9833
1001.945	0.8808	0.9395	0.9834
1002.945	0.881	0.9402	0.9835
1003.945	0.881	0.9402	0.9835
1004.945	0.8807	0.9404	0.9839
1005.945	0.8813	0.9403	0.9846
1006.945	0.8826	0.9405	0.9853
1007.945	0.8833	0.941	0.9856
1008.945	0.8835	0.9403	0.9858
1009.945	0.8836	0.9404	0.9863
1010.945	0.8843	0.9403	0.9865
1011.945	0.8846	0.94	0.9868
1012.945	0.8845	0.9402	0.9873
1013.945	0.8845	0.9404	0.9875
1014.944	0.8841	0.9406	0.9876
1015.944	0.8828	0.94	0.9864
1016.944	0.8827	0.9395	0.986
1017.944	0.8826	0.94	0.9856
1018.944	0.8822	0.9398	0.9852
1019.944	0.8828	0.9403	0.985
1020.944	0.8836	0.9408	0.9856
1021.944	0.8842	0.9405	0.9846
1022.944	0.8853	0.9403	0.9839
1023.944	0.8856	0.9404	0.9835
1024.944	0.8865	0.9408	0.984
1025.944	0.8876	0.9427	0.9854
1026.944	0.8885	0.944	0.9862
1027.944	0.8897	0.944	0.9858
1028.944	0.8886	0.9439	0.9855
1029.943	0.8882	0.9446	0.9842
1030.943	0.888	0.9448	0.9842
1031.943	0.8875	0.9452	0.9844
1032.943	0.8879	0.9445	0.9836
1033.943	0.8878	0.9436	0.9827
1034.943	0.887	0.9411	0.9805
1035.943	0.8876	0.939	0.9794
1036.943	0.8881	0.9395	0.9805
1037.943	0.8894	0.9396	0.9815
1038.943	0.8892	0.9382	0.9812
1039.943	0.8894	0.9382	0.9823
1040.943	0.8898	0.9375	0.9826
1041.943	0.8898	0.9383	0.9838
1042.943	0.8897	0.9393	0.985
1043.943	0.8893	0.9391	0.9854
1044.942	0.8884	0.9393	0.9848
1045.942	0.8874	0.9387	0.9836
1046.942	0.8869	0.9382	0.9838
1047.942	0.8872	0.9385	0.9855
1048.942	0.8879	0.9396	0.9856
1049.942	0.8878	0.94	0.9848
1050.942	0.8879	0.9396	0.9835
1051.942	0.8888	0.9387	0.9833
1052.942	0.8901	0.9405	0.9843
1053.942	0.8908	0.9414	0.9852
1054.942	0.8899	0.9404	0.9848
1055.942	0.8897	0.9406	0.9842
1056.942	0.8877	0.9397	0.9811
1057.942	0.8883	0.9409	0.9822
1058.942	0.8927	0.9424	0.9837
1059.941	0.8921	0.9422	0.9829
1060.941	0.8928	0.9449	0.9839
1061.941	0.8918	0.9443	0.9819
1062.941	0.8917	0.9452	0.9825
1063.941	0.8944	0.9474	0.984
1064.941	0.8952	0.9479	0.984
1065.941	0.8978	0.9502	0.9865
1066.941	0.8962	0.9481	0.9839
1067.941	0.8923	0.947	0.9819
1068.941	0.8934	0.9472	0.9827
1069.941	0.8944	0.9461	0.9827
1070.941	0.8959	0.9454	0.9837
1071.941	0.895	0.9425	0.9813
1072.941	0.8931	0.9403	0.9785
1073.94	0.8921	0.9386	0.9784
1074.94	0.8909	0.9368	0.9781
1075.94	0.8904	0.9363	0.979
1076.94	0.8884	0.934	0.9796
1077.94	0.8864	0.9321	0.9788
1078.94	0.883	0.9305	0.976
1079.94	0.8807	0.932	0.9767
1080.94	0.8811	0.934	0.9784
1081.94	0.8815	0.9349	0.9801
1082.94	0.8824	0.9347	0.9797
1083.94	0.8831	0.9335	0.9773
1084.94	0.8848	0.9345	0.9772
1085.94	0.8856	0.9353	0.9764
1086.94	0.8858	0.935	0.976
1087.94	0.8862	0.9346	0.9759
1088.939	0.8868	0.9334	0.9759
1089.939	0.8861	0.9317	0.9755
1090.939	0.8832	0.9304	0.9729
1091.939	0.8823	0.931	0.9727
1092.939	0.8805	0.9309	0.9749
1093.939	0.8779	0.9277	0.9733
1094.939	0.8788	0.9282	0.9751
1095.939	0.8784	0.9277	0.9749
1096.939	0.8769	0.9249	0.9749
1097.939	0.8804	0.9239	0.9772
1098.939	0.882	0.9207	0.9738
1099.939	0.8871	0.922	0.9756
