124959231.07493233989+172216956.45471021865*I	63301917.041013846080+84371457.932241641717*I	33916908.911009274359+38650245.356784091895*I
120914026.13142548039+164055363.34541987778*I	61283119.416055857916+80143912.599112439297*I	33053302.117330027650+36224127.016879526046*I
116558606.78366091350+156713787.77353900096*I	59100455.184397665908+76322342.944409495672*I	32117630.343001117204+33987875.340383545734*I
112033806.91361664910+150139360.46915365222*I	56824606.816283182335+72880464.060589918824*I	31150903.919618055973+31928721.188681863164*I
107447072.06095647685+144263712.16541674014*I	54509364.481075380825+69784042.849383507880*I	30186120.987015599949+30030281.241669613627*I
102876823.06664843270+139013431.93307404029*I	52193793.785587574434+66996221.341804134435*I	29249223.152559704048+28275820.068562328355*I
98378025.295657789190+134316588.11463119850*I	49905029.091408050269+64480844.238506185262*I	28360180.276867130303+26650504.428580365738*I
93987585.951195525428+130106305.79254844721*I	47660986.822718852630+62204292.227121915596*I	27533729.380524151647+25142763.776840230309*I
89728976.447206478550+126322382.70654214866*I	45472688.301798608826+60136319.645114710571*I	26779609.648555526156+23744773.265543990103*I
85615926.559837987273+122911710.42721793216*I	43346111.652083352592+58250287.105381391057*I	26102477.228407936065+22452012.184613586881*I
81655253.651492966113+119828029.98196402441*I	41283603.323166290976+56523059.589985944089*I	25501961.074124496766+21261997.923988274623*I
77848970.271228907859+117031358.53019384228*I	39284921.028655120619+54934743.149709781629*I	24973317.837271043583+20172631.554351713556*I
74195824.870967788930+114487287.69421952938*I	37347986.114757418626+53468364.921396118277*I	24508769.740000384170+19180809.937504099135*I
-70692412.918706114278-112166265.61373975522*I	35469414.993262336892+52109557.221033805974*I	24099148.572674162353+18281776.455682683120*I
-67333969.656498522771-110042920.32414503302*I	33644886.889955997391+50846280.345657824584*I	23735323.164820426833+17469228.514666832488*I
-64114930.268982486391-108095450.09523893385*I	31869393.864043525070+49668604.708438281980*I	23409105.181885584187+16735864.705770516745*I
-61029321.644299723340-106305088.49624281648*I	30137411.335695370028+48568566.887078738035*I	23113631.011988837396+16074018.167067657437*I
-58071032.880230382835-104655642.56730116794*I	28443024.972472091837+47540113.105775753430*I	22843383.183888697363+15476166.136215216560*I
-55233998.781022936527-103133098.02849283191*I	26780054.978874055167+46579144.804543112557*I	22594029.347501084549+14935255.506289322692*I
-52512321.042326535595-101725283.77706443797*I	25142235.084437180037+45683679.807497038110*I	22362202.704330652636+14444867.672406244614*I
-49900344.867288343372-100421587.72376692159*I	23523535.009843401200+44854129.386205618533*I	22145289.399755435914+13999271.330938527395*I
-47392703.744424638818-99212716.552104919807*I	21918761.690244100060+44093644.842797747924*I	21941248.854239285096+13593408.033141664046*I
-44984341.532700401664-98090492.826985031491*I	20324613.294445712165+43408368.743305915802*I	21748472.066452990587+13222842.770345544890*I
-42670518.450889928921-97047683.799887832528*I	-18741303.628575157957-42807198.231545114459*I	21565673.988875632304+12883699.957140416325*I
-40446805.766568878125-96077857.135370314755*I	-17174531.285843781030-42300399.203185047875*I	21391813.416607834548+12572596.486657989216*I
-38309072.711375247845-95175259.560980353827*I	-15636789.060458588092-41896498.525311529269*I	21226033.927411758484+12286577.940783758979*I
-36253468.256578153548-94334715.098144576377*I	-14146298.013002272061-41598001.078726435074*I	21067620.465593368085+12023060.714742825939*I
-34276399.751269984458-93551540.064350649225*I	-12722706.064633373526-41398337.407638110060*I	20915967.372802159257+11779780.960536931979*I
-32374509.970237053644-92821472.457665772042*I	-11381484.141949148015-41282608.921760341281*I	20770554.734575715563+11554750.285296063709*I
-30544653.778685731357-92140613.660394507268*I	-10130517.896491800722-41231771.391560778909*I	20630930.756191348751+11346217.681910080390*I
-28783875.353606789741-91505380.649587337745*I	-8970303.8062921447567-41227245.809512270319*I	20496698.516793844418+11152636.991364790115*I
-27089386.678229411020-90912467.098799560003*I	-7896300.1672320907729-41253645.162553733690*I	20367505.915408538100+10972639.165503845424*I
-25458547.829839431425-90358811.917097517116*I	-6901462.4582824757693-41299462.520209784110*I	20243037.957053321487+10805008.640033449436*I
-23888849.404131917856-89841573.913824860089*I	16010920.205588440063+17455487.180386546796*I	20123010.766277326139+10648663.199139840110*I
