	Paper / Author					Automatic		Measure with FFT	Laser fluence		SUMMARY		MEASURE on PICTURE				LASER PARAMETERS						Orientation	Calculations						Modeling		Multilayer structure				DETAILS on MATERIAL					ENVIRONMENT DETAILS														
Material	Author	Journal	Year	Path for more details	Wavelength (nm)	Normalized period	Type of structures	Regularity angle (deg)	Peak Fluence (J/cm²)	Pulse Fluence (J/cm²)	Period (nm)	Error (nm)	Min period (nm)	Max	N oscillations (-1)		tau (ps) - pusle duration	Pulse energy (J)		Laser Intensity (W/cm²)	N - number of pulses	Scanning velocity (m/s)	Scanning direction (vs. Pollarisation of E)	Total power	Total (J/cm²)	Erreur abs /2	Erreur	Erreur /2		Calculated NeMax	SPP period	Layer type	Substrate	Thickness (µm)	Thickness of each layer (nm)	Structure atomic	Gap (eV)	Orientation of crystal	Melting threshold (Intensity) (W/m²)	Ablation threshold (W/m²)	Environment (water, gas ... )	Atmosphere type	Pressure atmosphere	Rep. Rate (Hz)	Doping (#/m3) (+p, -n)	Spot diameter X (µm)	Spot diameter Y (µm)	SpotFWHM (µm)	Regularity	Angle of incidence	Polarisation	Polarisation  Type	Orientation (0: perpendicular, 90: paralel, 45:circular)	Focalisation	Lens focal (m)
6H-SiC	Kim	APB 113 395	2013		515	0.95			1.410	1.17	490.40		457.795	523.004	1		0.25				16			0	22.55		13.3%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.91			1.410	1.17	470.44		443.156	497.719	1		0.25				17			0	23.96		11.6%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	1.02			1.410	1.17	524.33		460.456	588.213	1		0.25				18			0	25.37		24.4%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.93			1.410	1.17	479.75		417.871	541.635	1		0.25				19			0	26.78		25.8%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.88			1.410	1.17	451.14		417.871	484.411	1		0.25				13			0	18.33		14.7%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.86			1.410	1.17	443.82		373.954	513.688	1		0.25				14			0	19.73		31.5%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.85			1.410	1.17	437.83		393.916	481.749	1		0.25				16			0	22.55		20.1%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.93			1.410	1.17	481.08		436.502	525.665	1		0.25				17			0	23.96		18.5%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.82			1.410	1.17	420.53		384.601	456.464	1		0.25				19			0	26.78		17.1%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.81			1.410	1.17	415.00		390	440	1		0.25				20			0	28.19		12.0%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.82			1.614	1.34	420.00		400	440	1		0.25				20			0	32.29		9.5%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.83			1.831	1.52	430.00		410	450	1		0.25				20			0	36.63		9.3%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.74			2.157	1.79	380.00		360	400	1		0.25				20			0	43.13		10.5%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.65			2.699	2.24	335.00		320	350	1		0.25				20			0	53.98		9.0%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.83			2.699	2.24	430.00		390	470	1		0.25				20			0	53.98		18.6%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.21			1.084	0.90	110.00		80	140	1		0.25				20			0	21.69		54.5%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.22			1.084	0.90	112.50		220	230	2		0.25				50			0	54.22		4.4%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.21			1.084	0.90	110.00		100	120	1		0.25				100			0	108.43		18.2%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.29			1.084	0.90	151.76		2470	2690	17		0.25				200			0	216.87		8.5%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.77	LIPSS		1.084	0.90	395.00		1090	1280	3		0.25				500			0	542.17		16.0%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
6H-SiC	Kim	APB 113 395	2013		515	0.64			1.084	0.90	328.33		920	1050	3		0.25				1000			0	1084.34		13.2%							270.5						4280000000000000	normal atmospheric pressure and room temperature	Air				8.40	8.40	8.40		0		Linear	0		
4H-SiC	Tomita	APL 90 153115	2007		800	0.51					405.28		7120	7470	18			0.000003			50			0	0.00		4.8%																			14.20	9.50								
4H-SiC	Tomita	APL 90 153115	2007		800	#VALUE!					#VALUE!		not able to measure too much pixellated picture	not able to measure too much pixellated picture				0.000003			50				0.00		#VALUE!																			11.80	8.50								
4H-SiC	Tomita	APL 90 153115	2007		800	0.31					250.00				paper value			0.000003			50				0.00		#VALUE!																			11.80	8.50								
4H-SiC	Tomita	APL 90 153115	2007		800	0.65					519.44		4620	4730	9			0.000003			50				0.00		2.4%																			21.20	15.90								
4H-SiC	Tomita	APL 90 153115	2007		800	0.63					500.00				paper value			0.000003			50				0.00		#VALUE!																			21.20	15.90								
6H-SiC	Khuat	Optical Letters 40 2	2015		800	0.63					500.00				paper value		0.15					0.002		15mW	0.00		#VALUE!							350																			0		
6H-SiC	Khuat	Optical Letters 40 2	2015		800	0.60					483.00		2180	2650	5		0.15					0.002		15mW	0.00		19.5%							350																			0		
6H-SiC	Khuat	Optical Letters 40 2	2015		800	0.61					486.67		2650	3190	6		0.15					0.002		15mW	0.00		18.5%							350																			0		
6H-SiC	Khuat	Optical Letters 40 2	2015		800	0.63					505.00		2320	2730	5		0.15					0.002		15mW	0.00		16.2%							350																			0		
InAs	Chakravarty	JAP 109 084347	2011		800	1.00				0,1 - 1,0	800				paper value		0.045	0.008							0.00		#VALUE!										0.36															linear	0		
InP	Chakravarty	JAP 109 084347	2011		800	0.81				0,1 - 1,0	650				paper value		0.045	0.008							0.00		#VALUE!										1.35															linear	0		
GaAs	Chakravarty	JAP 109 084347	2011		800	0.75				0,1 - 1,0	600				paper value		0.045	0.008							0.00		#VALUE!										1.42															linear	0		
GaP	Chakravarty	JAP 109 084347	2011		800	0.25				0,1 - 1,0	200				paper value		0.045	0.008							0.00		#VALUE!										2.3															linear	0		
ZnSe	Chakravarty	JAP 109 084347	2011		800	0.25				0,1 - 1,0	200				paper value		0.045	0.008							0.00		#VALUE!										2.82															linear	0		
GaN	Chakravarty	JAP 109 084347	2011		800	0.25				0,1 - 1,0	200				paper value		0.045	0.008							0.00		#VALUE!										3.4															linear	0		
SiC	Chakravarty	JAP 109 084347	2011		800	0.19				0,1 - 1,0	150				paper value		0.045	0.008							0.00		#VALUE!										3.37															linear	0		
3H-SiC	Barmina	PhysWavePhenom vol22 no1 page15	2014		800	0.19	LIPSS (first scanning)		1.687	1.40	150				paper value		0.21						0		0.00		#VALUE!							500			3.2																0		
3H-SiC	Barmina	PhysWavePhenom vol22 no1 page15	2014		800	#VALUE!	Grooves (second scanning)		1.687	1.40	110 x 130				paper value		0.21						90		0.00		#VALUE!							500			3.2																0		
6H-SiC	Zhao	APL 91 121107	2007		800	0.19	LIPSS		14.458	12.00	155.00				paper value		0.033	0.001				0.0006			0.00		#VALUE!							250			3.1																0		
6H-SiC	Zhao	APL 91 121107	2007		800	0.24	LIPSS (first scanning)		14.458	12.00	190.00		890	1010	5		0.033	0.001				0.0004			0.00		12.6%							250			3.1																0		
6H-SiC	Zhao	APL 91 121107	2007		800	0.23	LIPSS (first scanning)		14.458	12.00	185.00		1040	1180	6		0.033	0.001				0.0001			0.00		12.6%							250			3.1							1000									0		
4H-SiC	Okada	Appl Phys A 92: 665	2008		800	0.22	coarse			2.10	172.75		994	1079	6		0.013	0.000006			50													0.2										50											
4H-SiC	Okada	Appl Phys A 92: 665	2008		800	0.63	coarse			2.10	500.00						0.013	0.000006			50													0.07										50											
4H-SiC	Okada	Appl Phys A 92: 665	2008		800	0.31	fine			2.10	250.00						0.013	0.000006			50													0.2										50											
4H-SiC	Okada	Appl Phys A 92: 665	2008		800	0.31	fine			2.10	250.00						0.013	0.000006			50													0.07										50											
V	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 9, No. 1	2014		800	0.70446125					563.569						0.03	0.000044			35.6347																				air			200								linear	0		
V	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 9, No. 1	2014		800	0.044543375					563.5						0.03	0.000044			71.998																				air			200								linear	0		
V	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 9, No. 1	2014		800	0.0899975					505.789						0.03	0.000044			143.327																				air			200								linear	0		
V	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 9, No. 1	2014		800	0.17915875					506.275						0.03	0.000044			287.024																				air			200								linear	0		
V	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 9, No. 1	2014		800	0.35878					482.652						0.03	0.000044			359.658																				air			200								linear	0		
V	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 9, No. 1	2014		800	0.4495725					359.838						0.03	0.000044			71.0142																				ethanol											linear	0		
V	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 9, No. 1	2014		800	0.17842875					348.037						0.03	0.000044			142.743																				ethanol											linear	0		
V	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 9, No. 1	2014		800	0.35920125					326.773						0.03	0.000044			287.361																				ethanol														
V	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 9, No. 1	2014		800	0.4482225					302.107						0.03	0.000044			358.578																				ethanol											linear	0		
Cu	Tan et al	Trans. Nonferrous Mat. Soc. China 19, 1645 (2009)	2009		800	0.7875					630.00		610	650	1		6.00E-002	8.00E-004			17																				air											linear			
Ag	Tan et al	Trans. Nonferrous Mat. Soc. China 19, 1645 (2009)	2009		800	1.4125					1130.00		1840	2680	2		6.00E-002	8.00E-004			17																				air											linear			
Ag	HW Chang et al	Journal of Colloids and Interface Science 360 305 (2011)	2011		800	0.79375			0,34		635.00		610	660	1		1.20E-001	8.00E-004			?	1.50E-004																			air			1000								linear			
Ag/Au	Yadavali et al	Nanotechnology 25 465301	2014		266	1.0526315789			0.06		280		280	280	1																		SiO2 on Si	0.4																					
Ti	Nathala et al	Optics Express 23, 5915 (2015)	2015		800	0.90164875					721.319										14.6352																																		
Ti	Nathala et al	Optics Express 23, 5915 (2015)	2015		800	0.86868125					694.945										21.8244																																		
Ti	Nathala et al	Optics Express 23, 5915 (2015)	2015		800	0.83846125					670.769										27.4208																																		
Ti	Nathala et al	Optics Express 23, 5915 (2015)	2015		800	0.8277475					662.198										36.4942																																		
Ti	Nathala et al	Optics Express 23, 5915 (2015)	2015		800	0.80522					644.176										54.96																																		
Ti	Nathala et al	Optics Express 23, 5915 (2015)	2015		800	0.7928575					634.286										109.822																																		
Ti	Nathala et al	Optics Express 23, 5915 (2015)	2015		800	0.775					620										220																																		
Ti	Nathala et al	Optics Express 23, 5915 (2015)	2015		400	0.75					300										220																																		
Si	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.9625			1		770		730	810			0.03	0.000044			3																	100			air			200								linear	0		
Si	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	1.025			1		820		800	840			0.03	0.000044			6																	100			air			200								linear	0		
Si	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	1.0125			1		810		820	800			0.03	0.000044			15																	100			air			200								linear	0		
Si	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.8			1		640		550	720			0.03	0.000044			50																	100			air			200								linear	0		
Si	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.8125			1		650		540	740			0.03	0.000044			100																	100			air			200								linear	0		
Si	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.7125			1		570		520	620			0.03	0.000044			200																	100			air			200								linear	0		
Si	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.7375			1		590		540	640			0.03	0.000044			400																	100			air			200								linear	0		
Si	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.7			1		560		560	560			0.03	0.000044			400																	100			air			200								linear	90		
Si	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.725			0.9		580		580	580			0.03	0.000044			400																	100			air			200								linear	90		
Si	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.6875			1		550		550	550			0.03	0.000044			400																	100			air			200								linear	90		
GaAs	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.9375			1		750		740	755			0.03	0.000044			3																	111			air			200								linear	0		
GaAs	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.8875			1		710		685	730			0.03	0.000044			6																	111			air			200								linear	0		
GaAs	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.8625			1		690		690	690			0.03	0.000044			15																	111			air			200								linear	0		
GaAs	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.83125			1		665		650	680			0.03	0.000044			25																	111			air			200								linear	0		
GaAs	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.8375			1		670		640	700			0.03	0.000044			50																	111			air			200								linear	0		
V	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.85625			1		685		665	700			0.03	0.000044			3																				air			200								linear	0		
V	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.8			1		640		635	645			0.03	0.000044			6																				air			200								linear	0		
V	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.7625			1		610		605	615			0.03	0.000044			15																				air			200								linear	0		
V	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.75625			1		605		595	615			0.03	0.000044			25																				air			200								linear	0		
V	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.725			1		580		575	585			0.03	0.000044			50																				air			200								linear	0		
V	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.7			1		560		560	560			0.03	0.000044			100																				air			200								linear	0		
V	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.7			1		560		560	560			0.03	0.000044			400																				air			200								linear	0		
V	FÜLE	JLMN-Journal of Laser Micro/Nanoengineering Vol. 10, No. 1	2015		800	0.725			1		580		575	585			0.03	0.000044			1000																				air			200								linear	0		
W	Oktem	Nature Photonics	2013		1060	0.6454009434	gratigns	1,27			684.125	42.875	641.25	727	1		0.1	1.00E-006														W	SiO2	?							air			1.00E+006								linear	0		
Ti	Oktem	Nature Photonics	2013		1060	1.639586357	gratings	2,39			1737.9615384615	43.5	22028	23159	13		0.1															Ti	SiO2	?																		linear			
Ti	Oktem	Nature Photonics	2013		1060	0.601159434	gratings	?			637.229	?					0.1															Ti	SiO2	5.00E-002																		linear			
Ti	Oktem	Nature Photonics	2013		1060	0.6507820755	gratings	?			689.829	?					0.1															Ti	SiO2	1.00E-001																		linear			
Ti	Oktem	Nature Photonics	2013		1060	0.720145283	gratings	?			763.354	?					0.1															Ti	SiO2	2.00E-001																		linear			
Ti	Oktem	Nature Photonics	2013		1060	0.7697320755	gratings	?			815.916	?					0.1															Ti	SiO2	3.00E-001																		linear			
Ti	Oktem	Nature Photonics	2013		1060	0.7999830189	gratings	?			847.982	?					0.1															Ti	SiO2	4.00E-001																		linear			
Ti	Oktem	Nature Photonics	2013		1060	0.8108962264	gratings	?			859.55	?					0.1															Ti	SiO2	5.00E-001																		linear			
CaF2	Reif	Applied Surface Science 253 7932	2007		800	0.22625	LIPSS	10,12			181	30	151	211	1																																					linear	0		
CaF2	Reif	Applied Surface Science 253 7932	2007		800	0.23625	LIPSS	11,20			189	43	146	232	1																																					elliptic	20		
CaF2	Reif	Applied Surface Science 253 7932	2007		800	0.246875	LIPSS	9,08			197.5	32.5	165	230	1																																					elliptic	30		
CaF2	Reif	Applied Surface Science 253 7932	2007		800	-	nano dots	108			-	-																																								elliptic	40		
CaF2	Reif	Applied Surface Science 253 7932	2007		800	0.25875	LIPSS	-			207	78	129	285	1																																					circular	45		
CaF2	Reif	Applied Surface Science 253 7932	2007		800	0.213125	LIPSS	20,59			170.5	14.5	156	185	1																																					elliptic	50		
CaF2	Reif	Applied Surface Science 253 7932	2007		800	0.411875	LIPSS	28,92			329.5	37.5	292	367	1																																					elliptic	60		
CaF2	Reif	Applied Surface Science 253 7932	2007		800	0.255	LIPSS	13,92			204	78	126	282	1																																					elliptic	70		
CaF2	Reif	Applied Surface Science 253 7932	2007		800	0.395	LIPSS	13,17			316	68	248	384	1																																					linear	90		
