.22689281688270381586e-6	.46112493678812460822e-6	.98706368693382886051e-6	.28105099505614075960e-5	.68739393023140400821e-6	.19486716628432160440e-3	.16851142199511452132e-4	.50901217090929404615e-5
.18825871224520507062e-6	.38130175502927228913e-6	.80405219234676182197e-6	.20865735472421282656e-5	.67823184560622430898e-6	.41023848510944024168e-4	.17526189796444086481e-5	.16053153369929264450e-5
.16015245272305723401e-6	.32357182379611693592e-6	.67504981027601546579e-6	.16487468637511910575e-5	.66751953876113743514e-6	.19908099033452431661e-5	.17421727092032583400e-5	.16144368816883356909e-5
.13877958948189421109e-6	.27986485565199153717e-6	.57921036353574706017e-6	.13556198076292336147e-5	.65544577796049252575e-6	.51918228550147301403e-5	.17168644727426137413e-5	.16084879232914198810e-5
.12197428470250781765e-6	.24561608817974946458e-6	.50519725376474185208e-6	.11458119191647153229e-5	.64219612879710108737e-6	.42942268577764134137e-5	.16729167110412476320e-5	.15871240600827620312e-5
.10841061112432377464e-6	.21805014242005145522e-6	.44631758871897807388e-6	.98837533346175603467e-6	.62794100721795096571e-6	.36281800408089130215e-5	.16106764399349596541e-5	.15516170881055342186e-5
.97231854527252152344e-7	.19538341656228680420e-6	.39836721658890066822e-6	.86601557144469989690e-6	.61282904508974770299e-6	.31130713625997147127e-5	.15365706760072262865e-5	.15041626435216463285e-5
.87860384624030029406e-7	.17641851837854878791e-6	.35857454153320739223e-6	.71549268210043507426e-6	.59698441190061425875e-6	.27016594803008507511e-5	.15852024972049734642e-5	.14468496691233434441e-5
.79793481383749341126e-7	.15952358351771375416e-6	.31860723955828170306e-6	.63726653656027693365e-6	.58050680534329036502e-6	.23643938566594847420e-5	.16224385201230197052e-5	.13811896579250933021e-5
.72945579046634088580e-7	.14573199061041630090e-6	.29020315238165338307e-6	.57143648006674687609e-6	.56347318175413820617e-6	.20818083392200362427e-5	.16596881062960418326e-5	.13084024850646735089e-5
.66999958381844854370e-7	.13376602444883816013e-6	.26563203520410881245e-6	.51530494370846759699e-6	.54594075452979132300e-6	.18405206492620055542e-5	.16970776933339807744e-5	.12298526902307287359e-5
.61799975961900578118e-7	.12330641048575124801e-6	.24420377565354444075e-6	.46694732972351714310e-6	.19125803755843060600e-5	.16309931384032726139e-5	.17347107042786652697e-5	.11471233049950185459e-5
.57228516152241874330e-7	.11411455994089270920e-6	.22540394127317347203e-6	.42496940010858700579e-6	.17199782490298965057e-5	.14462303381861402968e-5	.17726732424332836258e-5	.10618624497719167675e-5
.53198393343060219732e-7	.10601278913303751761e-6	.20884905301260833424e-6	.38835274151623755451e-6	.15713707215161011775e-5	.12810465989145738964e-5	.18110381799280530272e-5	.11561855993390820335e-5
.49646099127844164568e-7	.98871426836895273049e-7	.19425740099367861970e-6	.35635192887869126832e-6	.47157877855149643734e-6	.11317949462327451634e-5	.52964877398323673152e-6	.11609907135192702029e-5
.46527771530870419398e-7	.92600485235630890905e-7	.18143003945394409035e-6	.32842329315166986741e-6	.45216121052662410798e-6	.99656907580461255837e-6	.52964979216907922099e-6	.11656982649588946635e-5
.43816572067680704276e-7	.87144223307239473561e-7	.17023822740837454311e-6	.30417470922691025586e-6	.43262080482867519135e-6	.55851577460196374122e-6	.52965088796361242491e-6	.11703127961329329363e-5
.41500704052702030492e-7	.82477049540091239833e-7	.16061402008215265436e-6	.28333062626373311483e-6	.41319422750453528972e-6	.56047616531463236897e-6	.52965206608600724708e-6	.11748384638931797355e-5
.39581153249653287269e-7	.78598921504438039059e-7	.15254027565665505963e-6	.26570669052641298164e-6	.39424256621513599674e-6	.56322225733824902699e-6	.52965333123967384199e-6	.11792790808061825985e-5
.38068032627880018110e-7	.75528007824874960630e-7	.14603563210782540618e-6	.25118516287427285343e-6	.37626778024590469795e-6	.56749212185544918556e-6	.52965468800877324809e-6	.11836381512320237726e-5
.36974563144032951189e-7	.73288671230345700688e-7	.14113056569770468058e-6	.23968059002054132554e-6	.35989521364063803370e-6	.57507377954397839948e-6	.52965614072494615613e-6	.11879189029234562980e-5
.36308798754255497218e-7	.71894963500101164877e-7	.13783476528618357634e-6	.23109097190131304576e-6	.34579482949241631369e-6	.59042205679083470616e-6	.52965769329921347657e-6	.11921243147954570625e-5
