.665827039440795e-6	.665650944362581e-6	.665252193599870e-6	.664832196278446e-6	.664021471072353e-6	.662149991955766e-6	.659584448360163e-6	.632744300906191e-6	.598996715678409e-6	.601414731559360e-6
.667567097990488e-6	.667381330393374e-6	.666965201860981e-6	.666529858172567e-6	.665693000226049e-6	.663767006271164e-6	.661129079007771e-6	.633482104046815e-6	.598935632546452e-6	.601414730186317e-6
.669464323946227e-6	.669268303333879e-6	.668833749053746e-6	.668382117934387e-6	.667517470369853e-6	.665533236310452e-6	.662817447773985e-6	.634287661813041e-6	.598871892585509e-6	.601414728645624e-6
.671534611580716e-6	.671327749074441e-6	.670873704527617e-6	.670404826369545e-6	.669510687158934e-6	.667464324860058e-6	.664664839844159e-6	.635167943923670e-6	.598805636557113e-6	.601414726912906e-6
.673795768570978e-6	.673577474292101e-6	.673102871351642e-6	.672615778664101e-6	.671690416171496e-6	.669577893247185e-6	.666688513220374e-6	.636130759364511e-6	.598737067791710e-6	.601414724959759e-6
.676267801857087e-6	.676037494747607e-6	.675541278933754e-6	.675035010697879e-6	.674076685076727e-6	.671893853196793e-6	.668908017172300e-6	.637184876711649e-6	.598666462923962e-6	.601414722752989e-6
.678973256472634e-6	.678730377211958e-6	.678211530446946e-6	.677685151192368e-6	.676692143332262e-6	.674434779346668e-6	.671345574226685e-6	.638340164626350e-6	.598594183519210e-6	.601414720253842e-6
.681937619213775e-6	.681681647068577e-6	.681139217434430e-6	.680591842355808e-6	.679562492570810e-6	.677226356577301e-6	.674026540934798e-6	.639607756335510e-6	.598520688415142e-6	.601414717417031e-6
.685189802151041e-6	.684920276827594e-6	.684353417253073e-6	.683784245064342e-6	.682717004368481e-6	.680297920187667e-6	.676979966954194e-6	.641000242685921e-6	.598446546498405e-6	.601414714189657e-6
.688762725089511e-6	.688479274959119e-6	.687887293314278e-6	.687295649036478e-6	.686189146718298e-6	.683683112047444e-6	.680239277681876e-6	.642531899284958e-6	.598372449507834e-6	.601414710510010e-6
.692694021488422e-6	.692396399950518e-6	.691778823752126e-6	.691164214288589e-6	.690017346649947e-6	.687420682623468e-6	.683843113304624e-6	.644218954329557e-6	.598299224305022e-6	.601414706306214e-6
.697026899537700e-6	.696715031802600e-6	.696071691690808e-6	.695433877917771e-6	.694245924589285e-6	.691555477836212e-6	.687836367436215e-6	.646079904979214e-6	.598227843880932e-6	.601414701494852e-6
.701811199731753e-6	.701485242989316e-6	.700816380408732e-6	.700155470679512e-6	.698926247013515e-6	.696139661938592e-6	.692271482565285e-6	.648135891513600e-6	.598159436181928e-6	.601414695979463e-6
.707104703346991e-6	.706765124198690e-6	.706071530421259e-6	.705388101958976e-6	.704118158842467e-6	.701234244300617e-6	.697210078905727e-6	.650411139928278e-6	.598095289648765e-6	.601414689649116e-6
.712974764119961e-6	.712622438374592e-6	.711905634301651e-6	.711200891098286e-6	.709891777424331e-6	.706911000986762e-6	.702725020228041e-6	.652933484820521e-6	.598036854182434e-6	.601414682377177e-6
.719500360190994e-6	.719136701778905e-6	.718399171090912e-6	.717675149866133e-6	.716329758289735e-6	.713254914062217e-6	.708903058289814e-6	.655734984887179e-6	.597985736097897e-6	.601414674020267e-6
.726774698073604e-6	.726401826094725e-6	.725647318618538e-6	.724907158452398e-6	.723530182575371e-6	.720367296737227e-6	.715848251767240e-6	.658852642056819e-6	.597943685518443e-6	.601414664417832e-6
.734908549621033e-6	.734529505661719e-6	.733763433796784e-6	.733011730722655e-6	.731610272447148e-6	.728369836911839e-6	.723686434065441e-6	.662329230156508e-6	.597912574615352e-6	.601414653392334e-6
.744034573688230e-6	.743653605897987e-6	.742883565326019e-6	.742126841182525e-6	.740711222062647e-6	.737409884846061e-6	.732571119397674e-6	.666214226060701e-6	.597894365118960e-6	.601414640750383e-6
.754312977260210e-6	.753935913840456e-6	.753172371661393e-6	.752419697957028e-6	.751004550117096e-6	.747667447192348e-6	.742691407522077e-6	.670564807693620e-6	.597891063616105e-6	.601414626285033e-6
.765939023229719e-6	.765573766827551e-6	.764830977445033e-6	.764094811585268e-6	.762700555484854e-6	.759364552549479e-6	.754282705598800e-6	.675446823893515e-6	.597904663287890e-6	.601414609779281e-6
.779153120792103e-6	.778810308183484e-6	.778107542415823e-6	.777404858043737e-6	.776059721263458e-6	.772777959870861e-6	.767641481181016e-6	.551218679193907e-6	.597937070895993e-6	.601414591010904e-6
.794254583124707e-6	.793948473708930e-6	.793311684062312e-6	.792665513728063e-6	.791408315337741e-6	.788256650136539e-6	.783145876151100e-6	.551218679193907e-6	.597990017943636e-6	.601414569758523e-6
.811620676430255e-6	.811370362035351e-6	.810834463935166e-6	.810276027786691e-6	.809160060249029e-6	.806246271349691e-6	.801284984803749e-6	.551218679193907e-6	.598064954954927e-6	.601414545808667e-6
.831733430072860e-6	.831564503403705e-6	.831176540286704e-6	.830748220545503e-6	.829846727894206e-6	.827323858165553e-6	.822701159346584e-6	.551218679193907e-6	.598162927665414e-6	.601414518963628e-6
.855218016223450e-6	.855164906250993e-6	.854988505995917e-6	.854748063349848e-6	.854162078365441e-6	.852247984984703e-6	.848252232846676e-6	.710731035760963e-6	.598284433537316e-6	.601414489049773e-6
.882898630171855e-6	.883007927725604e-6	.883129684040328e-6	.883156332827545e-6	.883026061925233e-6	.882032459769001e-6	.879104655740389e-6	.720555465570838e-6	.598429256362761e-6	.601414455926174e-6
.915881113932425e-6	.916216400948526e-6	.916755187367114e-6	.917158510882230e-6	.917680155053685e-6	.918056354531413e-6	.916875132975482e-6	.731359266555387e-6	.598596275787345e-6	.601414419493394e-6
.955676425588181e-6	.956325440386391e-6	.957446291633738e-6	.958379588445244e-6	.959830649881725e-6	.962230304861253e-6	.963848416335726e-6	.742920346200256e-6	.598783247405954e-6	.601414379702732e-6
