-0.3300000E+01 -0.61286E+01
-0.3298940E+01 -0.61265E+01
-0.3297880E+01 -0.61244E+01
-0.3296819E+01 -0.61223E+01
-0.3295759E+01 -0.61201E+01
-0.3294699E+01 -0.61180E+01
-0.3293639E+01 -0.61159E+01
-0.3292578E+01 -0.61138E+01
-0.3291518E+01 -0.61117E+01
-0.3290458E+01 -0.61095E+01
-0.3289398E+01 -0.61074E+01
-0.3288338E+01 -0.61053E+01
-0.3287277E+01 -0.61032E+01
-0.3286217E+01 -0.61011E+01
-0.3285157E+01 -0.60989E+01
-0.3284097E+01 -0.60968E+01
-0.3283037E+01 -0.60947E+01
-0.3281976E+01 -0.60926E+01
-0.3280916E+01 -0.60905E+01
-0.3279856E+01 -0.60883E+01
-0.3278796E+01 -0.60862E+01
-0.3277735E+01 -0.60841E+01
-0.3276675E+01 -0.60820E+01
-0.3275615E+01 -0.60799E+01
-0.3274555E+01 -0.60777E+01
-0.3273495E+01 -0.60756E+01
-0.3272434E+01 -0.60735E+01
-0.3271374E+01 -0.60714E+01
-0.3270314E+01 -0.60692E+01
-0.3269254E+01 -0.60671E+01
-0.3268194E+01 -0.60650E+01
-0.3267133E+01 -0.60629E+01
-0.3266073E+01 -0.60608E+01
-0.3265013E+01 -0.60586E+01
-0.3263953E+01 -0.60565E+01
-0.3262893E+01 -0.60544E+01
-0.3261832E+01 -0.60523E+01
-0.3260772E+01 -0.60502E+01
-0.3259712E+01 -0.60480E+01
-0.3258652E+01 -0.60459E+01
-0.3257591E+01 -0.60438E+01
-0.3256531E+01 -0.60417E+01
-0.3255471E+01 -0.60396E+01
-0.3254411E+01 -0.60374E+01
-0.3253351E+01 -0.60353E+01
-0.3252290E+01 -0.60332E+01
-0.3251230E+01 -0.60311E+01
-0.3250170E+01 -0.60290E+01
-0.3249110E+01 -0.60268E+01
-0.3248050E+01 -0.60247E+01
-0.3246989E+01 -0.60226E+01
-0.3245929E+01 -0.60205E+01
-0.3244869E+01 -0.60184E+01
-0.3243809E+01 -0.60162E+01
-0.3242749E+01 -0.60141E+01
-0.3241688E+01 -0.60120E+01
-0.3240628E+01 -0.60099E+01
-0.3239568E+01 -0.60078E+01
-0.3238508E+01 -0.60056E+01
-0.3237447E+01 -0.60035E+01
-0.3236387E+01 -0.60014E+01
-0.3235327E+01 -0.59993E+01
-0.3234267E+01 -0.59972E+01
-0.3233207E+01 -0.59950E+01
-0.3232146E+01 -0.59929E+01
-0.3231086E+01 -0.59908E+01
-0.3230026E+01 -0.59887E+01
-0.3228966E+01 -0.59866E+01
-0.3227906E+01 -0.59844E+01
-0.3226845E+01 -0.59823E+01
-0.3225785E+01 -0.59802E+01
-0.3224725E+01 -0.59781E+01
-0.3223665E+01 -0.59760E+01
-0.3222604E+01 -0.59738E+01
-0.3221544E+01 -0.59717E+01
-0.3220484E+01 -0.59696E+01
