-0.3301030E+01 -0.23674E+02  0.70008E+01  0.69991E+01
-0.3000000E+01 -0.21567E+02  0.70016E+01  0.69983E+01
-0.2823909E+01 -0.20335E+02  0.70023E+01  0.69974E+01
-0.2698970E+01 -0.19460E+02  0.70031E+01  0.69965E+01
-0.2602060E+01 -0.18782E+02  0.70039E+01  0.69956E+01
-0.2522879E+01 -0.18228E+02  0.70046E+01  0.69947E+01
-0.2455932E+01 -0.17760E+02  0.70054E+01  0.69938E+01
-0.2397940E+01 -0.17354E+02  0.70061E+01  0.69929E+01
-0.2346787E+01 -0.16996E+02  0.70069E+01  0.69920E+01
-0.2301030E+01 -0.16676E+02  0.70076E+01  0.69911E+01
-0.2259637E+01 -0.16386E+02  0.70084E+01  0.69902E+01
-0.2221849E+01 -0.16121E+02  0.70091E+01  0.69893E+01
-0.2187087E+01 -0.15878E+02  0.70099E+01  0.69884E+01
-0.2154902E+01 -0.15653E+02  0.70106E+01  0.69875E+01
-0.2124939E+01 -0.15443E+02  0.70113E+01  0.69865E+01
-0.2096910E+01 -0.15247E+02  0.70120E+01  0.69856E+01
-0.2070581E+01 -0.15063E+02  0.70128E+01  0.69847E+01
-0.2045757E+01 -0.14889E+02  0.70135E+01  0.69837E+01
-0.2022276E+01 -0.14725E+02  0.70142E+01  0.69828E+01
-0.2000000E+01 -0.14569E+02  0.70149E+01  0.69818E+01
-0.1978811E+01 -0.14420E+02  0.70156E+01  0.69809E+01
-0.1958607E+01 -0.14279E+02  0.70163E+01  0.69799E+01
-0.1939302E+01 -0.14144E+02  0.70170E+01  0.69790E+01
-0.1920819E+01 -0.14014E+02  0.70176E+01  0.69780E+01
-0.1903090E+01 -0.13890E+02  0.70183E+01  0.69770E+01
-0.1886057E+01 -0.13771E+02  0.70190E+01  0.69761E+01
-0.1869666E+01 -0.13656E+02  0.70197E+01  0.69751E+01
-0.1853872E+01 -0.13545E+02  0.70203E+01  0.69741E+01
-0.1838632E+01 -0.13438E+02  0.70210E+01  0.69731E+01
-0.1823909E+01 -0.13335E+02  0.70217E+01  0.69721E+01
-0.1809668E+01 -0.13235E+02  0.70223E+01  0.69711E+01
-0.1795880E+01 -0.13139E+02  0.70230E+01  0.69701E+01
-0.1782516E+01 -0.13045E+02  0.70236E+01  0.69691E+01
-0.1769551E+01 -0.12954E+02  0.70242E+01  0.69681E+01
-0.1756962E+01 -0.12866E+02  0.70249E+01  0.69671E+01
-0.1744727E+01 -0.12780E+02  0.70255E+01  0.69660E+01
-0.1732828E+01 -0.12696E+02  0.70261E+01  0.69650E+01
-0.1721246E+01 -0.12615E+02  0.70267E+01  0.69640E+01
-0.1709965E+01 -0.12536E+02  0.70274E+01  0.69629E+01
-0.1698970E+01 -0.12459E+02  0.70280E+01  0.69619E+01
-0.1688246E+01 -0.12384E+02  0.70286E+01  0.69608E+01
-0.1677781E+01 -0.12310E+02  0.70292E+01  0.69598E+01
-0.1667562E+01 -0.12239E+02  0.70298E+01  0.69587E+01
-0.1657577E+01 -0.12169E+02  0.70304E+01  0.69577E+01
-0.1647817E+01 -0.12100E+02  0.70309E+01  0.69566E+01
-0.1638272E+01 -0.12033E+02  0.70315E+01  0.69555E+01
-0.1628932E+01 -0.11967E+02  0.70321E+01  0.69545E+01
-0.1619789E+01 -0.11903E+02  0.70327E+01  0.69534E+01
-0.1610834E+01 -0.11840E+02  0.70332E+01  0.69523E+01
-0.1602060E+01 -0.11779E+02  0.70338E+01  0.69512E+01
-0.1593460E+01 -0.11718E+02  0.70344E+01  0.69501E+01
-0.1585027E+01 -0.11659E+02  0.70349E+01  0.69490E+01
-0.1576754E+01 -0.11601E+02  0.70355E+01  0.69479E+01
-0.1568636E+01 -0.11544E+02  0.70360E+01  0.69468E+01
-0.1560667E+01 -0.11488E+02  0.70366E+01  0.69457E+01
-0.1552842E+01 -0.11433E+02  0.70371E+01  0.69446E+01
-0.1545155E+01 -0.11379E+02  0.70376E+01  0.69435E+01
-0.1537602E+01 -0.11326E+02  0.70382E+01  0.69423E+01
-0.1530178E+01 -0.11274E+02  0.70387E+01  0.69412E+01
-0.1522879E+01 -0.11223E+02  0.70392E+01  0.69401E+01
-0.1515700E+01 -0.11172E+02  0.70397E+01  0.69390E+01
-0.1508638E+01 -0.11123E+02  0.70402E+01  0.69378E+01
-0.1501689E+01 -0.11074E+02  0.70407E+01  0.69367E+01
-0.1494850E+01 -0.11026E+02  0.70413E+01  0.69355E+01
-0.1488117E+01 -0.10979E+02  0.70418E+01  0.69344E+01
-0.1481486E+01 -0.10932E+02  0.70423E+01  0.69332E+01
-0.1474955E+01 -0.10887E+02  0.70428E+01  0.69321E+01
