-0.2602100E+01 -0.10057E+02
-0.2301000E+01 -0.88559E+01
-0.2124900E+01 -0.81550E+01
-0.2000000E+01 -0.76587E+01
-0.1903100E+01 -0.72746E+01
-0.1823900E+01 -0.69615E+01
-0.1757000E+01 -0.66973E+01
-0.1699000E+01 -0.64690E+01
-0.1647800E+01 -0.62681E+01
-0.1602100E+01 -0.60888E+01
-0.1560700E+01 -0.59270E+01
-0.1522900E+01 -0.57797E+01
-0.1488100E+01 -0.56445E+01
-0.1455900E+01 -0.55197E+01
-0.1426000E+01 -0.54038E+01
-0.1397900E+01 -0.52956E+01
-0.1371600E+01 -0.51943E+01
-0.1346800E+01 -0.50991E+01
-0.1323300E+01 -0.50093E+01
-0.1301000E+01 -0.49243E+01
-0.1279800E+01 -0.48438E+01
-0.1259600E+01 -0.47672E+01
-0.1240300E+01 -0.46942E+01
-0.1221800E+01 -0.46246E+01
-0.1204100E+01 -0.45581E+01
-0.1187100E+01 -0.44943E+01
-0.1170700E+01 -0.44332E+01
-0.1154900E+01 -0.43745E+01
-0.1139700E+01 -0.43181E+01
-0.1124900E+01 -0.42637E+01
-0.1110700E+01 -0.42114E+01
-0.1096900E+01 -0.41609E+01
-0.1083500E+01 -0.41121E+01
-0.1070600E+01 -0.40650E+01
-0.1058000E+01 -0.40194E+01
-0.1045800E+01 -0.39753E+01
-0.1033900E+01 -0.39326E+01
-0.1022300E+01 -0.38911E+01
-0.1011000E+01 -0.38510E+01
-0.1000000E+01 -0.38120E+01
-0.9892800E+00 -0.37741E+01
-0.9788100E+00 -0.37373E+01
-0.9685900E+00 -0.37015E+01
-0.9586100E+00 -0.36667E+01
-0.9488500E+00 -0.36329E+01
-0.9393000E+00 -0.35999E+01
-0.9299600E+00 -0.35678E+01
-0.9208200E+00 -0.35366E+01
-0.9118600E+00 -0.35061E+01
-0.9030900E+00 -0.34764E+01
-0.8944900E+00 -0.34474E+01
-0.8860600E+00 -0.34191E+01
-0.8777800E+00 -0.33915E+01
-0.8696700E+00 -0.33645E+01
-0.8617000E+00 -0.33382E+01
-0.8538700E+00 -0.33125E+01
-0.8461900E+00 -0.32874E+01
-0.8386300E+00 -0.32628E+01
-0.8312100E+00 -0.32388E+01
-0.8239100E+00 -0.32153E+01
-0.8167300E+00 -0.31924E+01
-0.8096700E+00 -0.31699E+01
-0.8027200E+00 -0.31479E+01
-0.7958800E+00 -0.31263E+01
-0.7891500E+00 -0.31053E+01
-0.7825200E+00 -0.30846E+01
-0.7759900E+00 -0.30644E+01
-0.7695500E+00 -0.30445E+01
-0.7632100E+00 -0.30251E+01
-0.7569600E+00 -0.30060E+01
-0.7508000E+00 -0.29873E+01
-0.7447300E+00 -0.29690E+01
-0.7387400E+00 -0.29510E+01
-0.7328300E+00 -0.29333E+01
-0.7270000E+00 -0.29160E+01
-0.7212500E+00 -0.28989E+01
-0.7155700E+00 -0.28822E+01
-0.7099700E+00 -0.28657E+01
-0.7044300E+00 -0.28496E+01
-0.6989700E+00 -0.28337E+01
-0.6935700E+00 -0.28180E+01
-0.6882500E+00 -0.28026E+01
-0.6829800E+00 -0.27875E+01
-0.6777800E+00 -0.27725E+01
-0.6726400E+00 -0.27578E+01
-0.6675600E+00 -0.27433E+01
-0.6625400E+00 -0.27290E+01
-0.6575800E+00 -0.27149E+01
-0.6526700E+00 -0.27010E+01
-0.6478200E+00 -0.26872E+01
-0.6430200E+00 -0.26736E+01
-0.6382700E+00 -0.26602E+01
-0.6335800E+00 -0.26469E+01
-0.6289300E+00 -0.26337E+01
-0.6243400E+00 -0.26207E+01
-0.6197900E+00 -0.26078E+01
-0.6152900E+00 -0.25950E+01
-0.6108300E+00 -0.25823E+01
-0.6064200E+00 -0.25697E+01
-0.6020600E+00 -0.25572E+01
-0.5977400E+00 -0.25447E+01
-0.5934600E+00 -0.25324E+01
-0.5892200E+00 -0.25200E+01
-0.5850300E+00 -0.25078E+01
-0.5808700E+00 -0.24956E+01
-0.5767500E+00 -0.24834E+01
-0.5726800E+00 -0.24712E+01
-0.5686400E+00 -0.24591E+01
