-0.26021E+01 -0.69332E+01  0.20021E+01  0.14136E-06  0.11664E-06  0.25000E-02
-0.23010E+01 -0.63317E+01  0.20042E+01  0.56525E-06  0.46589E-06  0.50000E-02
-0.21249E+01 -0.59801E+01  0.20062E+01  0.12714E-05  0.10469E-05  0.75000E-02
-0.20000E+01 -0.57308E+01  0.20083E+01  0.22598E-05  0.18587E-05  0.10000E-01
-0.19031E+01 -0.55375E+01  0.20103E+01  0.35302E-05  0.29008E-05  0.12500E-01
-0.18239E+01 -0.53796E+01  0.20124E+01  0.50828E-05  0.41723E-05  0.15000E-01
-0.17570E+01 -0.52462E+01  0.20144E+01  0.69177E-05  0.56727E-05  0.17500E-01
-0.16990E+01 -0.51307E+01  0.20164E+01  0.90351E-05  0.74016E-05  0.20000E-01
-0.16478E+01 -0.50288E+01  0.20184E+01  0.11435E-04  0.93585E-05  0.22500E-01
-0.16021E+01 -0.49377E+01  0.20204E+01  0.14119E-04  0.11543E-04  0.25000E-01
-0.15607E+01 -0.48553E+01  0.20224E+01  0.17085E-04  0.13955E-04  0.27500E-01
-0.15229E+01 -0.47800E+01  0.20244E+01  0.20337E-04  0.16595E-04  0.30000E-01
-0.14881E+01 -0.47108E+01  0.20263E+01  0.23872E-04  0.19461E-04  0.32500E-01
-0.14559E+01 -0.46468E+01  0.20283E+01  0.27694E-04  0.22555E-04  0.35000E-01
-0.14260E+01 -0.45871E+01  0.20302E+01  0.31801E-04  0.25875E-04  0.37500E-01
-0.13979E+01 -0.45313E+01  0.20321E+01  0.36196E-04  0.29423E-04  0.40000E-01
-0.13716E+01 -0.44789E+01  0.20340E+01  0.40878E-04  0.33198E-04  0.42500E-01
-0.13468E+01 -0.44294E+01  0.20359E+01  0.45850E-04  0.37201E-04  0.45000E-01
-0.13233E+01 -0.43827E+01  0.20378E+01  0.51111E-04  0.41432E-04  0.47500E-01
-0.13010E+01 -0.43383E+01  0.20396E+01  0.56663E-04  0.45891E-04  0.50000E-01
-0.12798E+01 -0.42960E+01  0.20415E+01  0.62508E-04  0.50579E-04  0.52500E-01
-0.12596E+01 -0.42557E+01  0.20433E+01  0.68646E-04  0.55496E-04  0.55000E-01
-0.12403E+01 -0.42172E+01  0.20451E+01  0.75079E-04  0.60642E-04  0.57500E-01
-0.12218E+01 -0.41803E+01  0.20469E+01  0.81807E-04  0.66019E-04  0.60000E-01
-0.12041E+01 -0.41449E+01  0.20487E+01  0.88833E-04  0.71627E-04  0.62500E-01
-0.11871E+01 -0.41109E+01  0.20505E+01  0.96158E-04  0.77466E-04  0.65000E-01
-0.11707E+01 -0.40781E+01  0.20522E+01  0.10378E-03  0.83537E-04  0.67500E-01
-0.11549E+01 -0.40465E+01  0.20539E+01  0.11171E-03  0.89841E-04  0.70000E-01
-0.11397E+01 -0.40160E+01  0.20557E+01  0.11994E-03  0.96379E-04  0.72500E-01
-0.11249E+01 -0.39865E+01  0.20574E+01  0.12847E-03  0.10315E-03  0.75000E-01
-0.11107E+01 -0.39580E+01  0.20591E+01  0.13731E-03  0.11016E-03  0.77500E-01
-0.10969E+01 -0.39303E+01  0.20607E+01  0.14646E-03  0.11740E-03  0.80000E-01
-0.10835E+01 -0.39035E+01  0.20624E+01  0.15592E-03  0.12489E-03  0.82500E-01
-0.10706E+01 -0.38774E+01  0.20640E+01  0.16569E-03  0.13261E-03  0.85000E-01
-0.10580E+01 -0.38521E+01  0.20656E+01  0.17577E-03  0.14057E-03  0.87500E-01
-0.10458E+01 -0.38275E+01  0.20673E+01  0.18617E-03  0.14877E-03  0.90000E-01
-0.10339E+01 -0.38035E+01  0.20688E+01  0.19689E-03  0.15721E-03  0.92500E-01
-0.10223E+01 -0.37802E+01  0.20704E+01  0.20792E-03  0.16589E-03  0.95000E-01
-0.10110E+01 -0.37574E+01  0.20720E+01  0.21927E-03  0.17482E-03  0.97500E-01
-0.10000E+01 -0.37352E+01  0.20735E+01  0.23095E-03  0.18399E-03  0.10000E+00
-0.98928E+00 -0.37135E+01  0.20750E+01  0.24295E-03  0.19340E-03  0.10250E+00
-0.97881E+00 -0.36924E+01  0.20766E+01  0.25527E-03  0.20307E-03  0.10500E+00
-0.96859E+00 -0.36717E+01  0.20780E+01  0.26792E-03  0.21298E-03  0.10750E+00
