#lambda (um)    Re(eps)
0.35009	-8.8043
0.37385	-6.8087
0.40575	-5.217
0.44971	-3.5492
0.53793	-1.7036
0.66247	-0.2863
0.79123	0.2473
0.90394	0.4269
1.02069	0.5561
1.09312	0.8609
1.20975	1.5962
1.3545	2.6605
1.58372	4.1814
1.7205	4.8414
1.9139	4.2908
2.07911	3.7394
2.27246	3.4665
2.52214	3.3718
2.7074	3.2502
3.20274	3.0354
3.46049	2.9157
3.6417	2.8697
3.81889	2.849
4.05644	3.0065
4.24169	2.9606
4.57996	2.8429
4.81757	2.7227
5.19613	2.5302
5.44186	2.0819
5.61911	1.7581
5.81653	1.2327
6.01396	0.6569
