66693238.930245203882-311341079.88284079145*I	33197847.534410488599-155425879.94959465132*I	16298952.739639987491-77219754.388267049132*I	-8063500.5112859885568-36782054.095567238608*I	-10332822.696714959900-9042178.6355753465014*I	2109496.0024093122674+16917766.020075278640*I	4153061.6832293341410+6467977.7904977153080*I	-4223461.8621044728964-6353676.7957131920678*I
-123241139.64131215799-286106239.97991409790*I	-61867389.802064400771-142470047.36403727827*I	-31455320.670910467277-70052328.342704012680*I	-17056876.350383591872-32540097.205785345938*I	-13114214.362018436928-10883294.807181677578*I	5286721.2125598045981+15534401.483300994832*I	3424807.1595170898961+1589122.7718325998661*I	5420643.1250700584967+457766.25171967103197*I
172853262.95535273227+209181649.72321765247*I	87287231.831665427344+103749230.66841238619*I	45511002.211475054418+50283061.627697345800*I	-27114573.820234033320-23134647.095212130173*I	-18111473.222996294253-10251657.274329478599*I	10674863.515313219289+5879477.0498390144376*I	11862731.420298148374+1892838.7172106601082*I	5272186.7087994410680+436130.21921062871412*I
150743734.05870795790+125862411.51900032418*I	76882189.924132100800+61312256.550896555687*I	41929256.456932202561+28012244.035433385770*I	27409138.151697977444+12262924.962587282089*I	19432865.329526238101+5398242.3639377763250*I	8126266.2290351065752+5857676.1090213534847*I	2540334.3928803028144+1786971.8142868128162*I	5148184.3319601757904+421222.43890143179219*I
113977475.26822164070+91589256.460125720556*I	59077013.933492382201+43206361.301029135942*I	34650525.334401093961+18343557.826849446331*I	24410013.473184166183+8001903.8465721444637*I	17877987.455381305527+3337267.5296786027667*I	7003470.8182354360625+5472128.2793243732678*I	2204080.3903268512472+1944809.7623890711704*I	5042402.8658879820644+410360.59711525795425*I
88587906.806531438333+76435998.834062107473*I	47080100.033382995775+34479617.374048842313*I	30201216.084402243275+14016641.382082549230*I	22346481.780456685027+6359396.8893586085540*I	-16759903.775067989310-2688648.5567603318182*I	6163975.5012601934680+5332737.9196789179434*I	1930569.2314634328062+2120690.2225686071590*I	4950955.7166488822016+402092.58468087593370*I
71275920.703254083988+67980542.134221757761*I	39367853.065706992913+28987800.267335572520*I	27507768.641486913063+11775321.419649184569*I	20994100.648181674802+5589413.0071779975416*I	-16040402.976518568375-2445406.4966898621658*I	5464175.2493851797000+5346134.9695815035426*I	1714004.2582161751696+2299597.0124265418410*I	4871215.8569039557125+395583.33055877062682*I
58960518.238209236312+62480704.915231943244*I	34492676.382616168552+25073983.472756649785*I	25744265.366075851912+10504134.281797976142*I	-20056526.804246938853-5180467.3120752051895*I	-15550412.551628241375-2344698.4073205307963*I	4874770.2449798663661+5456544.3540289284389*I	1545168.4275952590976+2470211.9942339171024*I	11863108.201836888811+1892095.5071186434985*I
49857573.197285798101+58544507.000534231849*I	31455729.740409824585+22296875.356563859631*I	24504122.051627164257+9737310.4593682187468*I	-19370336.220251538560-4946578.0492209400472*I	-15197145.823526720696-2303239.2503351330624*I	4383883.1801651897409+5623965.9150107728157*I	1413785.6959496499734+2626325.7306950063244*I	11863108.187077058742+1892095.5079974715575*I
42925943.886243784868+55548700.977566504299*I	29489002.888210391645+20411452.671422685038*I	23581732.649436417552+9254041.2232722593796*I	18845810.296674032302+4806766.3920940061965*I	-14930741.523299250934-2289095.5657052686120*I	3980139.0954656471813+5818977.2398929383582*I	1310775.1841488685683+2765776.0652660354696*I	11863108.176883179503+1892095.5052736200046*I
