## Method 12x12
# Efield    E1  E2  E3  E4  E5  E6  E7  E8
0   -6.4531 -1.28   -0.25389    0.25389 1.28009 1.28011 1.28012 1.28014 6.4531
1e9 -6.45406    -1.22672	-0.25442  0.25437 6.45406
5e9 -6.47698    -1.1024 -0.26684    0.26552 6.47698
1e10    -6.54813    -0.30412    0.29664 6.54814
1e11    -12.92549   -4.75378    -3.89564    -2.44961   -1.11738 -0.6577 1.10454 1.29621 2.83373 3.90578 5.01385 12.9255
