1.34883	3.30407
1.40963	3.20009
1.46697	3.03072
1.53121	2.99214
1.56685	2.99902
1.59193	2.92737
1.6242	2.82311
1.65648	2.71232
1.71377	2.57563
1.74237	2.53015
1.80291	2.56996
1.86355	2.55095
1.87056	2.61638
1.90627	2.58405
1.94199	2.54518
1.96326	2.61075
1.98462	2.63057
2.06308	2.61173
2.11303	2.59261
2.16315	2.47546
2.22737	2.44341
2.30587	2.40496
2.33813	2.30724
2.40944	2.3014
2.50944	2.20434
2.5773	2.13311
2.65234	2.03581
2.6952	1.99048
2.72369	2.01036
2.85935	1.90712
2.89488	1.97283
3.01268	1.88901
3.05902	1.88947
3.14474	1.7988
3.21629	1.66225
3.2412	1.68864
