.601144363688236e-6	.601167108492873e-6	.601209383733690e-6	.601287852315309e-6	.601433132701128e-6	.601700864322837e-6	.602190110546704e-6	.603070857254597e-6	.604616367736373e-6	.607215825131181e-6
.601190104333557e-6	.601252138093673e-6	.601367254347485e-6	.601580298925679e-6	.601972646111418e-6	.602688922532146e-6	.603977341246468e-6	.606242746134957e-6	.610121207676032e-6	.616742660239196e-6
.601347711659319e-6	.601544517641150e-6	.601908038622127e-6	.602575122187886e-6	.603785086173697e-6	.605936537155894e-6	.609646055692875e-6	.615822529723341e-6	.626369812078186e-6	6.28318530717958/(Re(fsolve(exp(-.200000000390977e-6*(beta^2-6250000000000.00*Pi^2*(1.758276-4.97576969870334/Pi^2/(1+.7843137253*I/Pi)))^(1/2))-((beta^2-6250000000000.00*Pi^2*(1.758276-4.97576969870334/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-4.97576969870334/Pi^2/(1+.7843137253*I/Pi))+.568738923809459*(beta^2-10989225000000.0*Pi^2)^(1/2))/((beta^2-6250000000000.00*Pi^2*(1.758276-4.97576969870334/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-4.97576969870334/Pi^2/(1+.7843137253*I/Pi))-.568738923809459*(beta^2-10989225000000.0*Pi^2)^(1/2))*((beta^2-6250000000000.00*Pi^2*(1.758276-4.97576969870334/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-4.97576969870334/Pi^2/(1+.7843137253*I/Pi))-(.764213363008051e-2+.512157025735220e-1*I)*(beta^2+(17812500000000.0-119375000000000.*I)*Pi^2)^(1/2))/((beta^2-6250000000000.00*Pi^2*(1.758276-4.97576969870334/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-4.97576969870334/Pi^2/(1+.7843137253*I/Pi))+(.764213363008051e-2+.512157025735220e-1*I)*(beta^2+(17812500000000.0-119375000000000.*I)*Pi^2)^(1/2)) = 0,beta,complex))/signum(Re(fsolve(exp(-.200000000390977e-6*(beta^2-6250000000000.00*Pi^2*(1.758276-4.97576969870334/Pi^2/(1+.7843137253*I/Pi)))^(1/2))-((beta^2-6250000000000.00*Pi^2*(1.758276-4.97576969870334/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-4.97576969870334/Pi^2/(1+.7843137253*I/Pi))+.568738923809459*(beta^2-10989225000000.0*Pi^2)^(1/2))/((beta^2-6250000000000.00*Pi^2*(1.758276-4.97576969870334/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-4.97576969870334/Pi^2/(1+.7843137253*I/Pi))-.568738923809459*(beta^2-10989225000000.0*Pi^2)^(1/2))*((beta^2-6250000000000.00*Pi^2*(1.758276-4.97576969870334/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-4.97576969870334/Pi^2/(1+.7843137253*I/Pi))-(.764213363008051e-2+.512157025735220e-1*I)*(beta^2+(17812500000000.0-119375000000000.*I)*Pi^2)^(1/2))/((beta^2-6250000000000.00*Pi^2*(1.758276-4.97576969870334/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-4.97576969870334/Pi^2/(1+.7843137253*I/Pi))+(.764213363008051e-2+.512157025735220e-1*I)*(beta^2+(17812500000000.0-119375000000000.*I)*Pi^2)^(1/2)) = 0,beta,complex))))^1.
.602435795235357e-6	.603558284307602e-6	.605617616891000e-6	.609356026793302e-6	.616047913690202e-6	.627968784335837e-6	.650519607069302e-6	6.28318530717958/(Re(fsolve(exp(-.577079963265388e-7*(beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2))-((beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi))+.568738923809459*(beta^2-10989225000000.0*Pi^2)^(1/2))/((beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi))-.568738923809459*(beta^2-10989225000000.0*Pi^2)^(1/2))*((beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi))-(.764213363008051e-2+.512157025735220e-1*I)*(beta^2+(17812500000000.0-119375000000000.*I)*Pi^2)^(1/2))/((beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi))+(.764213363008051e-2+.512157025735220e-1*I)*(beta^2+(17812500000000.0-119375000000000.*I)*Pi^2)^(1/2)) = 0,beta,complex))/signum(Re(fsolve(exp(-.577079963265388e-7*(beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2))-((beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi))+.568738923809459*(beta^2-10989225000000.0*Pi^2)^(1/2))/((beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi))-.568738923809459*(beta^2-10989225000000.0*Pi^2)^(1/2))*((beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi))-(.764213363008051e-2+.512157025735220e-1*I)*(beta^2+(17812500000000.0-119375000000000.*I)*Pi^2)^(1/2))/((beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi))+(.764213363008051e-2+.512157025735220e-1*I)*(beta^2+(17812500000000.0-119375000000000.*I)*Pi^2)^(1/2)) = 0,beta,complex))))^1.	6.28318530717958/(Re(fsolve(exp(-.107431835541753e-6*(beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2))-((beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi))+.568738923809459*(beta^2-10989225000000.0*Pi^2)^(1/2))/((beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi))-.568738923809459*(beta^2-10989225000000.0*Pi^2)^(1/2))*((beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi))-(.764213363008051e-2+.512157025735220e-1*I)*(beta^2+(17812500000000.0-119375000000000.*I)*Pi^2)^(1/2))/((beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi))+(.764213363008051e-2+.512157025735220e-1*I)*(beta^2+(17812500000000.0-119375000000000.*I)*Pi^2)^(1/2)) = 0,beta,complex))/signum(Re(fsolve(exp(-.107431835541753e-6*(beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2))-((beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi))+.568738923809459*(beta^2-10989225000000.0*Pi^2)^(1/2))/((beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi))-.568738923809459*(beta^2-10989225000000.0*Pi^2)^(1/2))*((beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi))-(.764213363008051e-2+.512157025735220e-1*I)*(beta^2+(17812500000000.0-119375000000000.*I)*Pi^2)^(1/2))/((beta^2-6250000000000.00*Pi^2*(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi)))^(1/2)/(1.758276-12.4985683949296/Pi^2/(1+.7843137253*I/Pi))+(.764213363008051e-2+.512157025735220e-1*I)*(beta^2+(17812500000000.0-119375000000000.*I)*Pi^2)^(1/2)) = 0,beta,complex))))^1.	.903102804997762e-6
.600386716555292e-6	.599738420640251e-6	.598488186637264e-6	.596019770567270e-6	.590999103507997e-6	.580628358449793e-6	.561215347217594e-6	.546515528136353e-6	.591555123909584e-6	.681376581940126e-6
.600427107031137e-6	.599827672855992e-6	.598702291420352e-6	.596579085579915e-6	.592556773585180e-6	.584985850983952e-6	.571386002582623e-6	.550478965390921e-6	.528617608044165e-6	.517894059079760e-6
.600325653767507e-6	.599660174694593e-6	.598463207977671e-6	.596376849357067e-6	.592956979275327e-6	.587981498504414e-6	.582157000974638e-6	.577293219644066e-6	.574692364679895e-6	.574038936029979e-6
.599979599840252e-6	.599107430905226e-6	.597717532699267e-6	.595783299787825e-6	.593698961929224e-6	.592344213369843e-6	.592164550883643e-6	.592378932818552e-6	.592379403827077e-6	.592364158596695e-6
.599241922674182e-6	.598144433616738e-6	.596944579531564e-6	.596265248057300e-6	.596697442964836e-6	.597876788127915e-6	.598785647529454e-6	.599050480494291e-6	.599062894770889e-6	.599062615396085e-6
.598182863359812e-6	.597507454598927e-6	.597739260191237e-6	.598985075461470e-6	.600426341884952e-6	.601315029767381e-6	.601609031272609e-6	.601640182595585e-6	.601640265228913e-6	.601640263889802e-6
