# Database of dielectric index for different materials for plasmonic applications						Make tables for these combinations							
# 1	2	3	4	5	6	7	8	9	10	11	12	13	14
# Material	Bandgap(eV)/EF	wavelength	Real(eps)	Imag(eps)	MainProperty	SPPdecayDeptAir	SPPdecayLength	Lifetime	AtomicMass(uma)	MeltingTemperature	BoilingTemperature	CriticalPoint[VE_Fortov_ThePhysicsOfNon-idealPlasma]	HeatConductivity300K(W/m/K)
a-C (Palik)	3.5	800	4.8006003903	3.3739507473	?	?	?	?	?	?	?	?	?
a-C (Palik)	3.5	515	4.5214173998	3.999671619	?	?	?	?	?	?	?	?	?
a-C (Palik)	3.5	400	3.5251079347	3.7731838182	?	?	?	?	?	?	?	?	?
#a-C (Hagemann 1974)	3.5	800	3.1988	3.1627	?	?	?	?	?	?	?	?	?
#a-C (Hagemann 1974)	3.5	400	2.5727	2.364	?	?	?	?	?	?	?	?	?
Co (Palik)	0?	1030	-21.1016876456	37.2440534204	?	?	?	?	58.9332	?	?	?	?
Co (Palik)	0?	800	-17.6549293361	25.1974862128	?	?	?	?	58.9332	?	?	?	?
Co (Palik)	0?	515	-9.6679549703	11.2333417328	?	?	?	?	?	?	?	?	?
Co (Palik)	0?	400	-7.7408591846	7.626739199	?	?	?	?	58.9332	?	?	?	?
#Co (Johnson 1974)	0?	400	-6.2287	9.3151	?	?	?	?	58.9332	?	?	?	?
#Co (Johnson 1974)	0?	800	-16.873	23.897	?	?	?	?	58.9332	?	?	?	?
Cr (Johnson 1974)	-1000	1030	-0.62993	24.915	?	?	?	?	51.9961	2130	2945	9620	97
Cr (Johnson 1974)	-1000	1026	-0.672122310000001	24.8657476	?	?	?	?	51.9961	2130	2945	9620	97
#Cr (Palik)	-1000	1030	2.01727	38.7566856739	?	?	?	?	51.9961	2130	2945	9620	97
Cr (Palik)	-1000	1026	2.00587795183	38.7252583646	?	?	?	?	51.9961	2130	2945	9620	97
Cr (Palik)	-1000	800	-1.4237302905	36.2903695904	?	?	?	?	51.9961	2130	2945	9620	97
Cr (Palik)	-1000	515	-12.1443190198	24.8009177093	?	?	?	?	?	2130	2945	9620	97
Cr (Palik)	-1000	400	-10.649373604	10.7569171256	?	?	?	?	51.9961	2130	2945	9620	97
#Cr (Johnson 1974)	-1000	800	-1.9825	21.88	?	?	?	?	51.9961	2130	2945	9620	97
#Cr (Johnson 1974)	-1000	400	-4.0552	11.48	?	?	?	?	51.9961	2130	2945	9620	97
#Cu (Rakic 1998)	-7.03	1030	-46.343	4.7987	?	?	?	?	63.546	1357	2840	8390	397
#Cu (Johnson 1974)	-7.03	800	-25.067	2.5418	?	?	?	?	63.546	1357	2840	8390	397
#Cu (Johnson 1974)	-7.03	400	-2.8155	5.5976	?	?	?	?	63.546	1357	2840	8390	397
Cu (Palik)	-7.03	1064	-36.8527671051	4.7178065777	?	?	?	?	?	1357	2840	8390	397
Cu (Palik)	-7.03	1030	-46.6046581932	4.7188669976	?	?	?	?	63.546	1357	2840	8390	397
Cu (Palik)	-7.03	800	-25.2739024871	2.5157955079	?	?	?	?	63.546	1357	2840	8390	397
Cu (Palik)	-7.03	532	-5.5899406507	5.5238405464	?	?	?	?	?	1357	2840	8390	397
Cu (Palik)	-7.03	515	-5.4822221975	5.821281567	?	?	?	?	?	1357	2840	8390	397
Cu (Palik)	-7.03	400	-3.4917	5.2156	?	?	?	?	63.546	1357	2840	8390	397
Cu (Palik)	-7.03	355	-1.9937293241	4.9290716854	?	?	?	?	?	1357	2840	8390	397
#l-Cu-Miller	?	1064	-4.3012645724	3.706694125	?	?	?	?	?	1357	2840	8390	397
#l-Cu-Miller	?	1030	-4.5145831599	3.6653846127	?	?	?	?	?	1357	2840	8390	397
#l-Cu-Miller	?	532	-6.2285500381	5.3707259332	?	?	?	?	?	1357	2840	8390	397
#l-Cu-Miller	?	515	-6.2210202335	5.7121330119	?	?	?	?	?	1357	2840	8390	397
#l-Cu-Miller	?	355	-12.956924815	4.710430571	?	?	?	?	?	1357	2840	8390	397
Diamond (Palik)	5.5	800	5.7710977433	0	?	?	?	?	12.0107	?	?	?	?
Diamond (Palik)	5.5	400	6.0763406147	1.70E-006	?	?	?	?	12.0107	?	?	?	?
# Diamond (Phillip 1964)	5.5	800	5.7831	0	?	?	?	?	12.0107	?	?	?	?
# Diamond (Phillip 1964)	5.5	400	6.0524	0	?	?	?	?	12.0107	?	?	?	?
Ethanol (Kedenburg 2012)	10	800	1.8423	0.00000021	?	?	?	?	?	?	?	?	?
#Fe (Johnson 1974)	-1000	1030	-6.6275	23.004	?	?	?	?	?	1808	3023	9600	84
Fe (Palik)	-1000	1030	-9.0463980798	28.8437268491	?	?	?	?	?	1808	3023	9600	84
Fe (Palik)	-1000	800	-6.3830680324	20.1915998068	?	?	?	?	?	1808	3023	9600	84
Fe (Palik)	-1000	532	-4.0179377462	11.6284501248	?	?	?	?	?	1808	3023	9600	84
Fe (Palik)	-1000	515	-3.8856822747	11.1642494775	?	?	?	?	?	1808	3023	9600	84
Fe (Palik)	-1000	400	-3.0466931163	8.2715362176	?	?	?	?	?	1808	3023	9600	84
# Fe (Johnson 1974)	-1000	800	-2.7413	19.573	?	?	?	?	?	1808	3023	9600	84
# Fe (Johnson 1974)	-1000	400	-1.6139	11.724	?	?	?	?	?	1808	3023	9600	84
GaAs (Palik)	1.43	1030	12.2057444223	0	?	?	?	?	?	?	?	?	?
GaAs (Palik)	1.43	800	13.5493223521	0.6331581751	?	?	?	?	144.6446	?	?	?	?
GaAs (Palik)	1.43	515	17.61542911	3.1704653398	?	?	?	?	?	?	?	?	?
GaAs (Palik)	1.43	400	14.5334426724	18.7591999855	?	?	?	?	144.6446	?	?	?	?
# GaAs (Aspnes 1986)	1.43	800	13.561	0.63105	?	?	?	?	144.6446	?	?	?	?
# GaAs (Aspnes 1986)	1.43	400	14.533	18.76	?	?	?	?	144.6446	?	?	?	?
GaP (Palik)	2.26	1030	9.6898473409	0	?	?	?	?	?	?	?	?	?
GaP (Palik)	2.26	800	10.1327539051	0	?	?	?	?	100.696761	?	?	?	?
GaP (Palik)	2.26	515	12.5690573316	0.0114407464	?	?	?	?	?	?	?	?	?
GaP (Palik)	2.26	400	17.5256916815	2.3051457315	?	?	?	?	100.696761	?	?	?	?
