# Database of dielectric index for different materials for plasmonic applications						Make tables for these combinations							
# 1	2	3	4	5	6	7	8	9	10	11	12	13	14
# Material	Bandgap(eV)/EF	wavelength	Real(eps)	Imag(eps)	MainProperty	SPPdecayDeptAir	SPPdecayLength	Lifetime	AtomicMass(uma)	MeltingTemperature	BoilingTemperature	CriticalPoint[VE_Fortov_ThePhysicsOfNon-idealPlasma]	HeatConductivity300K(W/m/K)
V (Palik)	?	1030	-2.2422286813	22.5801869835	?	?	?	?	50.9415	?	?	?	?
V (Palik)	-1000	800	1.8811754711	21.7643383634	?	?	?	?	50.9415	?	?	?	?
V (Palik)	?	515	3.1456775649	22.8817873865	?	?	?	?	?	?	?	?	?
V (Palik)	-1000	400	-4.9179209936	17.2432733273	?	?	?	?	50.9415	?	?	?	?
#V (Johnson 1974)	-1000	800	-0.39032	20.521	?	?	?	?	50.9415	?	?	?	?
#V (Johnson 1974)	-1000	400	-2.4202	21.692	?	?	?	?	50.9415	?	?	?	?
W (Palik)	-9.524	800	5.2163591009	19.4375533271	?	?	?	?	183.84	3672	?	?	?
W (Palik)	?	515	4.4812034305	18.7331460845	?	?	?	?	?	3672	?	?	?
W (Palik)	-9.524	400	5.6821780072	16.3395164469	?	?	?	?	183.84	3672	?	?	?
W (Palik)	-9.524	1030	-4.0873495352	21.7527220311	?	?	?	?	?	3672	?	?	?
W (Palik)	-9.524	1060	-5.3351	21.733	?	?	?	?	?	?	?	?	?
#W (Rakic 1998)	-9.524	800	4.4655	19.905	?	?	?	?	183.84	?	?	?	?
#W (Rakic 1998)	-9.524	400	4.0653	16.453	?	?	?	?	183.84	?	?	?	?
# ZnO (Bond 1965, o)	3.37	800	3.83807	0	Anisotropic	?	?	?	?	?	?	?	?
# ZnO (Bond 1965, o)	3.37	400	3.83807	0	Anisotropic	?	?	?	?	?	?	?	?
ZnO (Bond 1965, o)	3.37	3000	3.6390080825	0	Anisotropic	?	?	?	?	?	?	?	?
ZnO (Bond 1965, e)	3.37	3000	3.69331524	0	Anisotropic	?	?	?	?	?	?	?	?
ZnO (Bond 1965, o)	3.37	1030	3.77019889	0	Anisotropic	?	?	?	?	?	?	?	?
ZnO (Bond 1965, o)	3.37	266	5.3784557638	0	Anisotropic	?	?	?	?	?	?	?	?
ZnO (Postava 2000)	3.37	400	5.107344	0.07232	Anisotropic	?	?	?	?	?	?	?	?
ZnO (Postava 2000)	3.37	800	3.8025	0	Anisotropic	?	?	?	?	?	?	?	?
#Zr (Krishnan 1994)	3.37	1064	?	?	Anisotropic	?	?	?	?	?	?	?	?
#Zr* (Krishnan 1994)	3.37	1030	-13.2653745155	21.2030063875	Anisotropic	?	?	?	?	?	?	?	?
Zr (Krishnan 1994)	3.37	930	-13.2653745155	21.2030063875	Anisotropic	?	?	?	?	?	?	?	?
Zr (Krishnan 1994)	3.37	800	-10.5610940234	16.3782061165	Anisotropic	?	?	?	?	?	?	?	?
Zr (Krishnan 1994)	3.37	532	-5.1269745374	9.9620277282	Anisotropic	?	?	?	?	?	?	?	?
Zr (Krishnan 1994)	?	515	-4.6618379914	9.1960619733	?	?	?	?	?	?	?	?	?
Zr (Krishnan 1994)	3.37	400	-2.8059615522	7.1801637564	Anisotropic	?	?	?	?	?	?	?	?
