19299804.546955599036-233462203.00529855848*I	9296949.6201075204991-116954905.22776096174*I	3963900.4821164688341-58924234.858089633230*I	755206.29787889187818-30334818.397973461373*I	-8233617.8337150506562-1421811.7650180211897*I	-7265548.7174107622595-2500847.8002831510355*I	-6093086.7998536566884-4394128.5702541277857*I	-6093981.6917448808729-4394752.0391022556212*I
38361115.022191549772-244186486.44509675539*I	18806062.951512348632-122302693.81147865234*I	8674480.0551311638081-61574215.046260111965*I	3023572.5055841832722-31642384.806901174569*I	-8408026.1832849671701-1573840.6184087476300*I	-3883202.2921754024791-8264587.3814669581541*I	-6262933.0787900494468-4824822.2848565227986*I	-6263387.2765285365189-4824757.9301936588422*I
56715481.934529736110-256621518.85878966569*I	27967529.838980237029-128504545.70062556063*I	13221559.266585192138-64647440.422885590954*I	5221437.7424994222642-33149912.079396741707*I	-8603890.5649047277176-1687417.2363133953713*I	-4759042.2302319371045-8243196.4034708323476*I	-6496670.8725132237602-5261343.2306061266488*I	-6496775.4193693985139-5261203.9977291159238*I
74071278.570417775903-270750326.36667546852*I	36635114.097595236512-135553882.99958106419*I	17531953.408929696931-68144236.953189152180*I	7315555.4909299648415-34862013.368779680820*I	-5479647.5607763780672-17119365.494375386292*I	-7813643.8712884763684-3023181.6173085578719*I	7087682.7878685509527+3294500.6373437391896*I	7087683.5683297971255+3294498.9269537277430*I
90119797.576014942669-286471906.55883295838*I	44653504.641993837713-143401626.08842393295*I	21526702.041035318294-72043088.765505022305*I	9267607.6157460202415-36773423.631978059860*I	-6560932.3288509144702-16407742.340742700000*I	-8049183.4769306350943-3073299.5372570804249*I	7463551.4113907454091+3297709.4338428743761*I	7463551.5137535861661+3297709.0442439925794*I
104573437.00106864069-303593905.66182163275*I	51877681.187530308852-151952457.85142353350*I	25131199.196771491743-76298401.161467020557*I	11039032.146587178494-38866574.003611235414*I	-7588686.1357763359451-15638151.620663093511*I	8288709.6906740943144+3046881.6517235938971*I	7831322.6286945115573+3222238.9663022194358*I	7831322.6482187295411+3222238.8845896871552*I
117607750.47753481494+306527224.57849405426*I	58998301.611061677308+153203282.46365584805*I	29888769.597153998483+76482627.353568589414*I	15729436.787642117660+38016585.704336982233*I	8556119.5318330629528+14822907.344959927144*I	8514841.4242417144705+2946053.6043130533714*I	8167142.6189616105423+3074866.1291848383148*I	8167142.6251927269153+3074866.1125059829543*I
128287738.15009565529+287443496.57947863399*I	64366712.130938554614+143662519.16885520448*I	32629901.612127011316+71714989.653522366431*I	17214417.224265371457+35642602.454574334228*I	9475104.4292007894142+1615667.9991511008289*I	8711450.5487269662391+2782434.2850949910314*I	8452231.1184601756519+2871279.9418808464924*I	8452231.1207239302276+2871279.9386079532149*I
136928532.02770118200+267841235.34017888603*I	68718784.290741620697+133861222.48388931880*I	34869409.913797670456+66814671.703254397091*I	18461820.952571503015+33198394.947104441224*I	9557457.7239755619554+1513724.1422869256598*I	8867373.4678337059423+2574691.5871363442139*I	8676411.4121757975043+2632177.5758458053412*I	8676411.4129543034374+2632177.5752831799144*I
143508715.80632908361+248009404.01300135786*I	72043836.310371099096+123943025.03220458654*I	36602016.905431885728+61851799.895764389269*I	19469192.925647640673+30715701.915286759610*I	9601327.0764894237220+1405117.8709987334353*I	8978431.2074915250029+2343663.5706241741064*I	8838617.4525136515825+2378326.5093572672352*I	8838617.4527594518994+2378326.5093000680554*I
148034672.43130543560+228226441.21140911495*I	74344682.438951938896+114046242.74424623726*I	37828381.106928741118+56893728.028745322539*I	20235381.489904704764+28224601.027684002420*I	9610447.1770871961951+1297619.2245694372466*I	9046839.0328522092049+2107724.4060585339875*I	8944742.9341646591605+2126764.2435797308744*I	8944742.9342351112636+2126764.2435936638504*I
150540709.42947594692+208778957.06251450978*I	75637666.496436995122+104313467.98304624927*I	38555050.071060146384+52010326.266172003128*I	20760344.242453040782+25757151.645639091702*I	9590253.6094045449237+1196241.1464487372767*I	9078901.0473012686933+1880278.6793595532280*I	9004418.6399709437924+1889171.0722687672620*I	9004418.6399886884158+1889171.0722815257117*I
151111047.44854873260+189968604.20200695166*I	75963796.361238932055+94895247.565866431038*I	38800303.723984506237+47276311.470645524692*I	21048587.677451117193+23349585.795565813468*I	9546722.9556862249547+1103439.9555985447166*I	9082497.9700848917028+1669466.6099850148176*I	9028187.3630031678264+1672099.9659904250628*I	9028187.3630067033328+1672099.9659964695743*I
149904885.55159677951+172093206.55274603885*I	75401556.184387091603+85940761.370382605297*I	38601119.973793942395+42766823.726577181418*I	21113769.576249628510+21040632.908874144440*I	9485635.1451585047968+1019726.1381637458858*I	9065293.5208328758302+1479150.7645573642308*I	9025720.4399074750262+1478156.4479969411981*I	9025720.4399077731836+1478156.4479992487013*I
147162275.70088831627+155408682.82782121043*I	74070137.966720597211+77578698.918555564219*I	38015385.284301034433+38547701.011038219385*I	20981038.426422729567+18866376.578690159777*I	9412217.4030554261597+944385.36700553303721*I	9033819.8414137017937+1310259.1378838377875*I	9005023.6060153674339+1307351.1555313493663*I	9005023.6060151701883+1307351.1555321155437*I
143182578.61030348216+140092644.92182476958*I	72118838.462662116797+69898821.878042972947*I	37116939.466835850793+34665787.788247358504*I	20685312.038993243349+16854464.343246504532*I	9331020.3683473756050+876127.87401476467229*I	8993208.3828346028446+1161966.4223856617563*I	8972298.7498549687810+1158221.4379673993618*I	8972298.7498548122673+1158221.4379676222766*I
138285654.79393872840+126227770.96814081258*I	69707645.697429587328+62943392.740026914712*I	35985856.403631206041+31144128.967126266341*I	20266436.320480722871+15020621.825458632421*I	9245889.2395158163956+813579.21635256524521*I	8947273.8040574993661+1032548.4099581259449*I	8932136.6200234463444+1028614.6921783880792*I	8932136.6200233695732+1028614.6921784425638*I
132773527.71124219065+113808690.63513473477*I	66987938.401659581990+56710447.944094601270*I	34698529.739273665879+27983261.355981514879*I	19763705.280680797806+13368553.385954119449*I	9159956.7582297921421+755582.14675762763322*I	8898739.0517608723938+919928.23961661470908*I	8887824.0764238344036+916173.52930119173224*I	8887824.0764238033253+916173.52930120108203*I
126904826.57173576966+102763994.18672829523*I	64089546.414425595338+51164749.000273354121*I	33320877.517130533664+25166578.454276950538*I	19211789.600005446540+11892362.330276246209*I	9075646.0947862293470+701320.06854642359215*I	8849483.9675044826705+821992.75271332815116*I	8841652.3096223012466+818605.64136063298712*I	8841652.3096222901440+818605.64136063277860*I
120884551.10504865706+92982096.920163299524*I	61115507.962206471489+46250742.925921815060*I	31905465.885474487613+22666866.151564922107*I	18638758.721770808748+10579910.818856712998*I	8994700.7984438428166+650306.31979813385698*I	8800765.4944573910307+736757.33177056844614*I	8795179.6076928693100+733815.28355195506360*I	8795179.6076928657418+733815.28355195388794*I
114865319.08316428505+84333345.970344051096*I	58142622.378355889295+41903677.205014205471*I	30491639.238415612118+20451984.444639713484*I	18065830.143493928474+9415905.7395946042220*I	8918254.5133214856699+602300.74817353300194*I	8753393.8413741668182+662438.84677136762521*I	8749437.7883926488578+659953.05269970466477*I	8749437.7883926478298+659953.05269970394843*I
108954724.41667090481+76685577.247483080891*I	55225101.907381009268+38057440.045829198101*I	29107288.536308211959+18488913.098962880230*I	17508125.520141342748+8384175.6796996141135*I	8846934.4767087311878+557209.01245477910517*I	8707865.6552088570759+597476.62165266241915*I	8705086.9563182629772+595421.07906750560455*I	8705086.9563182627189+595421.07906750528468*I
103224636.08982356416+69913460.354232165798*I	52399220.077577595687+34649280.808211806717*I	27771170.998450375192+16746209.750849935470*I	16975817.237971834943+7469099.6306170505708*I	8780979.8617151514191+514998.75301633071226*I	8664461.2896071424234+540526.16175955864905*I	8662528.2593204584379+538856.15832258468450*I	8662528.2593204583862+538856.15832258456261*I
97720060.263459467221+63903188.605133464193*I	49687753.539209178883+31622187.204225546244*I	26495150.674998802024+15195264.461415409944*I	16475288.887570820480+6656368.6333527367347*I	8720355.3238492360780+475644.58532284820291*I	8623314.2955316952819+490440.14612035771350*I	8621984.5790561909724+489103.70466556656084*I	8621984.5790561909671+489103.70466556651936*I
92466566.862831257428+58554148.493198736282*I	47103709.443859719105+28925739.496832484270*I	25286088.457988362181+13810766.832664471666*I	16010135.824216224993+5933300.1097932936466*I	8664847.0917317876356+439099.64240891580382*I	8584460.3288441378176+446244.77211107629700*I	8583557.6031581132977+445189.46918756750736*I	8583557.6031581132995+445189.46918756749456*I
87476079.211725460461+53778841.795324796278*I	44653233.500048386099+26516082.284224625403*I	24147320.637140483774+12570713.958951435471*I	15581956.050232480979+5288885.0467468223122*I	8614137.0045740818531+405285.87087977199630*I	8547871.1988639197308+407115.71027254163309*I	8547267.8706749116822+406292.49271115919708*I	8547267.8706749116837+406292.49271115919350*I
82751190.838449512281+49501915.444206711875*I	42337779.254297099448+24355444.756615306551*I	23079763.190359525181+11456181.313815973719*I	15190942.218595389537+4713691.8950816509117*I	8567855.4991751695506+374095.20487308213712*I	8513478.3644843013912+372355.72727442468206*I	8513082.7017810961926+371720.81383622976842*I	8513082.7017810961933+371720.81383622976752*I
78288291.754402499276+45658819.985301045706*I	40155679.530563972198+22411472.159496025311*I	22082711.859531106898+10450992.584665388688*I	14836308.284809857207+4199703.0115978690254*I	8525617.2090428732186+345395.78853280583585*I	8481189.0152719967133+341374.81755334291997*I	8480935.5740658753734+340890.40893444544976*I	8480935.5740658753736+340890.40893444544957*I
74079787.280004599996+42194388.863197008972*I	38103261.869489287661+20656516.061676130492*I	21154409.610213341750+9541365.1883146933658*I	14516588.735694566599+3740125.5851256077487*I	8487043.4417285866227+319039.65793415337188*I	8450896.9791244767857+313673.03987914749366*I	8450739.4888710297982+313307.31481296094732*I	8450739.4888710297983+313307.31481296094729*I
70115648.989613871593+39061488.182348548876*I	36175628.195162319430+19066959.127607157556*I	20292442.577553413347+8715571.0507848541441*I	14229845.687921750941+3329197.9733664601117*I	8451775.3567877156509+294869.99986279156535*I	8422490.0388623997314+288825.93625120108617*I	8422396.1269992865156+288552.64601819339036*I	8422396.1269992865156+288552.64601819339036*I
66384484.724697566873+36219803.306789835799*I	34367192.601040416074+17622608.068545855193*I	19494012.406391002024+7963630.4672112691731*I	13973814.601890318787+2962001.3703121145930*I	8419480.8641241048137+272727.18974998781137*I	8395854.7664839884218+266472.27123431107722*I	8395802.0601589647113+266270.13361479575387*I	8395802.0601589647113+266270.13361479575387*I
62874267.147926042043+33634782.838973351740*I	32672047.329984450560+16306165.301511285112*I	18756120.839042938631+7277044.8492485314155*I	13746014.188569695957+2634282.9013002385458*I	8389857.4571601003040+252453.41527256305906*I	8370879.6483311515180+246303.78611707741988*I	8370852.9071409902425+246155.80518317890134*I	8370852.9071409902425+246155.80518317890134*I
59572822.165277844836+31276737.009720885662*I	31084207.866543623759+15102777.954703569529*I	18075692.649846923183+6648567.9944189674104*I	8665205.4824474489247+8282.6565389912222842*I	8362632.5264451868589+233895.98552362666827*I	8347457.0388582994456+228056.66671726033701*I	8347446.0582078096836+227949.45504693529376*I	8347446.0582078096836+227949.45504693529376*I
56468149.654915908724+29120076.704939565692*I	29597773.543354951530+13999657.377413003158*I	17449655.588533962308+6072012.6677580601969*I	8621220.9011620117290+34468.621543149468253*I	8337562.1941561311306+216909.54024389019494*I	8325484.3161410792388+211504.45012354076077*I	8325482.4049341992081+211427.59706199652013*I	8325482.4049341992081+211427.59706199652013*I
53548627.782867800626+27142675.461178548486*I	28207029.428233340611+12985760.322214511354*I	16874990.495176262162+5542088.2488109295553*I	8577402.4443853715136+56388.394231561483257*I	8314429.3493290117148+201357.39537536225561*I	8304864.4976440865280+196452.13015292375219*I	8304867.3822387206857+196397.63824591301886*I	8304867.3822387206857+196397.63824591301886*I
50803136.989803522625+25325336.426513309415*I	26906507.619989001929+12051522.774995514724*I	16348760.739030300658+5054265.0695066309830*I	8534363.0349075744090+74139.749290471126257*I	8293041.3156057632819+187112.24054847166634*I	8285506.4950537418507+182731.25665713128912*I	8285511.5378708727325+182693.05466174423412*I	8285511.5378708727325+182693.05466174423412*I
48221128.945742391387+23651347.624527472391*I	25691020.659461755302+11188638.064814188396*I	15868127.221968075229+4604661.3294285627225*I	8492651.6871004553679+87967.956861901852696*I	8273227.4171311494339+174056.36818873233809*I	8267325.1315875338370+170195.85664566629336*I	8267330.7804294471350+170169.38907361382756*I	8267330.7804294471350+170169.38907361382756*I
45792658.162126213300+22106110.858808460356*I	24555675.941180934548+10389871.876683622653*I	15430353.083555816122+4189948.8229187160079*I	8452718.2646822273147+98229.215775338335527*I	8254836.5992987427573+162081.57612498369339*I	8250241.0067105631874+158719.03415774741513*I	8250246.4118747342644+158700.92239622458729*I	8250246.4118747342644+158700.92239622458729*I
43508388.604746741298+20676831.726689264260*I	23495877.329141997254+9648907.8504345395887*I	15032800.764367580195+3807273.9777888695064*I	8414896.3314031318491+105348.03803612411144*I	8237735.1909945378245+151088.85171584772604*I	8234180.2664689260590+148190.13061333566227*I	8234185.0187386689517+148177.89810830084144*I	8234185.0187386689517+148177.89810830084144*I
41359583.900174939260+19352260.220815049216*I	22507318.302703914096+8960218.4504612055926*I	14672923.141033459551+3454190.8130370599299*I	8379402.5179327586896+109776.87987935911391*I	8221804.8508625038510+140987.91749789984162*I	8219074.3191030240412+138512.34821870871539*I	8219078.2738446749697+138504.20117264855060*I	8219078.2738446749697+138504.20117264855060*I
39338087.097797718086+18122473.180245754648*I	21585969.646817529811+8318956.6820002824868*I	14348250.034109371853+3128602.3912324736556*I	8346347.8032058711107+111963.35984391151197*I	8206940.7130138065995+131696.69625872889443*I	8204859.5227425115020+129600.75632452567744*I	8204862.6845407587445+129595.41128902476232*I	8204862.6845407587445+129595.41128902476232*I
37436294.104441040483+16978691.380879988603*I	20728063.785869754597+7720864.9963459561794*I	14056371.535076235000+2828707.3025392253456*I	8315755.3836775287725+112327.11367561775183*I	8193049.7315223668691+123140.73654355958494*I	8191476.8630781002728+121380.61492655425517*I	8191479.3122809339404+121377.16517123950046*I	8191479.3122809339404+121377.16517123950046*I
35647123.613963595633+15913125.337215197263*I	19930077.223172145622+7162198.3759363914069*I	13794920.276016314872+2552947.9305857266044*I	8287580.6419246528079+111245.87399332953425*I	8180049.2140087681979+115252.62698234062836*I	8178871.6327507765550+113785.96124012710117*I	8178873.4804991051354+113783.77459102089527*I	8178873.4804991051354+113783.77459102089527*I
33963985.445820498516+14918844.949327411877*I	19188712.103907373089+6639659.1345930024015*I	13561555.773859122240+2299958.0535105968712*I	8261730.1777552596742+109049.04951282434943*I	8167865.5299932401733+107971.41856475190909*I	8166993.1199589750230+106758.41490068380693*I	8166994.4821490940352+106757.05668801053719*I	8166994.4821490940352+106757.05668801053719*I
32380748.569537910366+13989669.001077635344*I	18500877.607263872865+6150341.4245056931330*I	13353954.844377835894+2068508.9813014749728*I	8238078.2604771820667+106016.69860150551316*I	8156432.9777918558501+101242.06730388789303*I	8155794.3108759315113+100246.16521772969236*I	8155795.2943602545992+100245.34094310195116*I	8155795.2943602545992+100245.34094310195116*I
30891709.645946245392+13120071.228168469512*I	17863671.648729957652+5691683.8246377525595*I	13169812.097820793350+1857455.8264978053015*I	8216480.1013679943026+102381.96669836809376*I	8145692.7934397180986+95014.904971667279248*I	8145231.6084866414669+94203.110353034043443*I	8145232.3049035803524+94202.623609433876712*I	8145232.3049035803524+94202.623609433876712*I
29491562.604617323936+12305100.255180350526*I	17274363.202287531160+5261428.7063303515205*I	13006853.087626824714+1665687.9860799651284*I	8196781.9908560188526+98335.464799901785828*I	8135592.2857512513068+89245.142254663003265*I	8135264.5691135551358+88588.123567378981241*I	8135265.0532406486553+88587.845583282139977*I	8135265.0532406486553+88587.845583282139977*I
28175369.560783961627+11540311.172815137577*I	16730375.408776102302+4857587.3370877588681*I	12862859.771604120088+1492089.3645546530595*I	8178828.6751686843394+94030.506414286140196*I	8126084.0827321156901+83892.406380676001013*I	8125855.6570051346780+83364.425998767072283*I	8125855.9875971902958+83364.273911489755858*I	8125855.9875971902958+83364.273911489755858*I
26938533.226400270427+10821706.910234566508*I	16229269.502236447849+4478409.8923751090713*I	12735704.455111969242+1335513.3187238963428*I	8162468.4682074903091+89588.497890217971407*I	8117125.4758705035540+78920.313712563252147*I	8116970.0167743372325+78499.048974653518114*I	8116970.2385935675894+78498.970562501464680*I	8116970.2385935675894+78498.970562501464680*I
25776770.869490098120+10145687.869171187930*I	15768729.449862229954+4122359.6899808862783*I	12623385.807206030209+1194774.6684490646219*I	8147556.5956508371575+85104.063117817057940*I	8108677.8501975692404+74296.076780467092666*I	8108575.2630993884358+73962.371764946233423*I	8108575.4093539591822+73962.334886640142101*I	8108575.4093539591822+73962.334886640142101*I
