.772893970342432e-6	.772172090501769e-6	.770081525565354e-6	.761614398128653e-6
.781229032075074e-6	.780537003482054e-6	.778509920836429e-6	.770076619055661e-6
.790268164999631e-6	.789615809830819e-6	.787675707693805e-6	.779336522254263e-6
.800092840482090e-6	.799491887518802e-6	.797667085713247e-6	.789498317586207e-6
.810797249461541e-6	.810261709249254e-6	.808586348286264e-6	.800684405772296e-6
.822490847996947e-6	.822037471279453e-6	.820552742816796e-6	.813039383301324e-6
.835301523592356e-6	.834950364587953e-6	.833706034699062e-6	.826735104883502e-6
.849379558069195e-6	.849154670703237e-6	.848210976128641e-6	.841977123424926e-6
.864902617085109e-6	.864832921129291e-6	.864262943896214e-6	.859012932452639e-6
.882082066931346e-6	.882202433007623e-6	.882095092938681e-6	.878142574497367e-6
.901171008549213e-6	.901523627355024e-6	.901987478398320e-6	.899732358105508e-6
.922474526263836e-6	.923110649811073e-6	.924278729287572e-6	.924232648361095e-6
.946362764835306e-6	.947344938064772e-6	.949381003452674e-6	.952200948410971e-6
.973287539890051e-6	.550584996404436e-6	.977799083828428e-6	.984331719136222e-6
.100380316432643e-5	.100572551263950e-5	.101015449743973e-5	.102149443684744e-5
.550584996404436e-6	.104114900999953e-5	.104721521809863e-5	.106478087339589e-5
.550584996404436e-6	.550584996404436e-6	.108993030065723e-5	.111556056559949e-5
6.28318530717958/(Re(fsolve(exp(-.100e-7*(beta^2-(13195056250000.0+625000000.000000*I)*Pi^2)^(1/2))-((.473662246493095-.224355924256241e-4*I)*(beta^2-(13195056250000.0+625000000.000000*I)*Pi^2)^(1/2)+(beta^2-6250000000000.00*Pi^2*(1.758276-12.9459157095277/Pi^2/(1.+.7843137253*I/Pi)))^(1/2)/(1.758276-12.9459157095277/Pi^2/(1.+.7843137253*I/Pi)))/((.473662246493095-.224355924256241e-4*I)*(beta^2-(13195056250000.0+625000000.000000*I)*Pi^2)^(1/2)-(beta^2-6250000000000.00*Pi^2*(1.758276-12.9459157095277/Pi^2/(1.+.7843137253*I/Pi)))^(1/2)/(1.758276-12.9459157095277/Pi^2/(1.+.7843137253*I/Pi)))*((.473662246493095-.224355924256241e-4*I)*(beta^2-(13195056250000.0+625000000.000000*I)*Pi^2)^(1/2)+(beta^2-6250000000000.00*Pi^2*(13.64+.48e-1*I-144.4169278/Pi^2/(1.+1.212121212*I/Pi)))^(1/2)/(13.64+.48e-1*I-144.4169278/Pi^2/(1.+1.212121212*I/Pi)))/((.473662246493095-.224355924256241e-4*I)*(beta^2-(13195056250000.0+625000000.000000*I)*Pi^2)^(1/2)-(beta^2-6250000000000.00*Pi^2*(13.64+.48e-1*I-144.4169278/Pi^2/(1.+1.212121212*I/Pi)))^(1/2)/(13.64+.48e-1*I-144.4169278/Pi^2/(1.+1.212121212*I/Pi))) = 0,beta,complex))/signum(Re(fsolve(exp(-.100e-7*(beta^2-(13195056250000.0+625000000.000000*I)*Pi^2)^(1/2))-((.473662246493095-.224355924256241e-4*I)*(beta^2-(13195056250000.0+625000000.000000*I)*Pi^2)^(1/2)+(beta^2-6250000000000.00*Pi^2*(1.758276-12.9459157095277/Pi^2/(1.+.7843137253*I/Pi)))^(1/2)/(1.758276-12.9459157095277/Pi^2/(1.+.7843137253*I/Pi)))/((.473662246493095-.224355924256241e-4*I)*(beta^2-(13195056250000.0+625000000.000000*I)*Pi^2)^(1/2)-(beta^2-6250000000000.00*Pi^2*(1.758276-12.9459157095277/Pi^2/(1.+.7843137253*I/Pi)))^(1/2)/(1.758276-12.9459157095277/Pi^2/(1.+.7843137253*I/Pi)))*((.473662246493095-.224355924256241e-4*I)*(beta^2-(13195056250000.0+625000000.000000*I)*Pi^2)^(1/2)+(beta^2-6250000000000.00*Pi^2*(13.64+.48e-1*I-144.4169278/Pi^2/(1.+1.212121212*I/Pi)))^(1/2)/(13.64+.48e-1*I-144.4169278/Pi^2/(1.+1.212121212*I/Pi)))/((.473662246493095-.224355924256241e-4*I)*(beta^2-(13195056250000.0+625000000.000000*I)*Pi^2)^(1/2)-(beta^2-6250000000000.00*Pi^2*(13.64+.48e-1*I-144.4169278/Pi^2/(1.+1.212121212*I/Pi)))^(1/2)/(13.64+.48e-1*I-144.4169278/Pi^2/(1.+1.212121212*I/Pi))) = 0,beta,complex))))^1.	.550584996404436e-6	.113946545342427e-5	.117553779012307e-5
.550584996404436e-6	.550584996404436e-6	.550584996404436e-6	.124678945092359e-5
.550584996404436e-6	.550584996404436e-6	.550584996404436e-6	.133173191497594e-5
.550584996404436e-6	.550584996404436e-6	.550584996404436e-6	.550584996404436e-6
