.302661919049098e-7	.754913677959169e-7	.148994181261765e-6	.201068781898431e-6	.242953828712617e-6	.269706896540813e-6	.291446169264995e-6	.366860092648041e-6	.406455815219214e-6	.600757532527162e-6
.342425608293961e-7	.855556417490057e-7	.169674410547506e-6	.227012532776286e-6	.256310485865176e-6	.279078346122155e-6	.300596088567481e-6	.376665828220246e-6	.946796821597219e-6	.600757637925933e-6
.387439537213937e-7	.970681425226421e-7	.194409693625680e-6	.256090668089200e-6	.267126519031948e-6	.287789552236285e-6	.309168259112081e-6	.385694338227107e-6	.975171885863112e-6	.600757747568306e-6
.438373318567957e-7	.110274072134479e-6	.224931835235913e-6	.284580480563703e-6	.276136632345125e-6	.295839253220183e-6	.317112990473747e-6	.393905996322450e-6	.100294168471668e-5	.600757858304869e-6
.496139644342526e-7	.125511035634527e-6	.264536859257459e-6	.301477549794370e-6	.283939341017369e-6	.303264832290312e-6	.324444942382273e-6	.401343281775344e-6	.103028139517014e-5	.600757967348174e-6
.561920100456855e-7	.143226687736827e-6	.319841367968166e-6	.307430352782030e-6	.290898640306651e-6	.310117650665371e-6	.331205186142128e-6	.408077419444692e-6	.105729414424184e-5	.600758072411392e-6
.637223555315979e-7	.164009798147374e-6	.403508880397914e-6	.310588654633555e-6	.297225291831436e-6	.316451902486428e-6	.337443610448677e-6	.414185363001932e-6	.108403656770459e-5	.600758171766104e-6
.723980668240831e-7	.188639814689709e-6	.532668786980063e-6	.313453066933837e-6	.303046986260578e-6	.322319654941960e-6	.343210823880738e-6	.419740302349571e-6	.111053465595710e-5	.600758264232409e-6
.824686563140530e-7	.218165737589738e-6	.725763017796354e-6	.316441307394333e-6	.308447298087295e-6	.327768804553293e-6	.348554579070195e-6	.424808212088990e-6	.113679404286212e-5	.600758349121953e-6
.942614439078571e-7	.254034386975220e-6	.393675667878766e-6	.319565540326353e-6	.313485380417566e-6	.332842427778082e-6	.353518376178582e-6	.429447068568953e-6	.116280694040215e-5	.600758426155118e-6
.108213990822040e-6	.298305353812565e-6	.382618492070903e-6	.322772500208452e-6	.318205920000539e-6	.337578792414735e-6	.358141114387276e-6	.433707196999092e-6	.118855694875289e-5	.600758495370087e-6
.124924603933759e-6	.354025403294893e-6	.376203570340615e-6	.326010339659392e-6	.322644354842186e-6	.342011667581428e-6	.362457233823999e-6	.419541645778014e-5	.121402246075551e-5	.600758557035948e-6
.145233631606168e-6	.425914888120964e-6	.372549409914915e-6	.329239584435237e-6	.326829760881513e-6	.346170751253415e-6	.366497069790689e-6	.398495521368746e-5	.123917909996542e-5	.600758611577015e-6
