#
#
  0.50000001E-01  0.24699144E-03  0.15564406E+01 -0.36073181E+01 -0.13010300E+01
  0.10000000E+00  0.47367353E-03  0.15824201E+01 -0.33245209E+01 -0.99999999E+00
  0.15000000E+00  0.75402637E-03  0.15979384E+01 -0.31226135E+01 -0.82390873E+00
  0.20000000E+00  0.10426520E-02  0.16255524E+01 -0.29818606E+01 -0.69897000E+00
  0.25000000E+00  0.12436752E-02  0.16901823E+01 -0.29052930E+01 -0.60205998E+00
  0.30000000E+00  0.15286233E-02  0.17217418E+01 -0.28156995E+01 -0.52287874E+00
  0.35000001E+00  0.18014309E-02  0.17575602E+01 -0.27443824E+01 -0.45593195E+00
  0.40000001E+00  0.20740850E-02  0.17927254E+01 -0.26831734E+01 -0.39794000E+00
  0.45000001E+00  0.23020226E-02  0.18373628E+01 -0.26378904E+01 -0.34678748E+00
  0.50000001E+00  0.24691382E-02  0.18947244E+01 -0.26074546E+01 -0.30102999E+00
  0.55000001E+00  0.25706412E-02  0.19677188E+01 -0.25899585E+01 -0.25963730E+00
  0.60000001E+00  0.26426630E-02  0.20513291E+01 -0.25779582E+01 -0.22184874E+00
  0.65000001E+00  0.28769490E-02  0.20983137E+01 -0.25410678E+01 -0.18708664E+00
  0.70000001E+00  0.31521103E-02  0.21361621E+01 -0.25013986E+01 -0.15490195E+00
  0.75000001E+00  0.33508987E-02  0.21908980E+01 -0.24748387E+01 -0.12493873E+00
  0.80000001E+00  0.35345310E-02  0.22494957E+01 -0.24516682E+01 -0.96910007E-01
  0.85000001E+00  0.38579873E-02  0.22784391E+01 -0.24136392E+01 -0.70581068E-01
  0.90000001E+00  0.42369634E-02  0.22974271E+01 -0.23729453E+01 -0.45757484E-01
  0.95000001E+00  0.46371277E-02  0.23130456E+01 -0.23337509E+01 -0.22276388E-01
  0.10000000E+01  0.49032258E-02  0.23491336E+01 -0.23095181E+01  0.64714920E-08
  0.10500000E+01  0.48017677E-02  0.24435818E+01 -0.23185989E+01  0.21189306E-01
  0.11000000E+01  0.50604465E-02  0.24795112E+01 -0.22958112E+01  0.41392692E-01
  0.11500000E+01  0.53042377E-02  0.25179302E+01 -0.22753770E+01  0.60697847E-01
  0.12000000E+01  0.56200780E-02  0.25451503E+01 -0.22502577E+01  0.79181253E-01
  0.12500000E+01  0.58751702E-02  0.25812849E+01 -0.22309795E+01  0.96910019E-01
  0.13000000E+01  0.56588667E-02  0.26902755E+01 -0.22472705E+01  0.11394336E+00
  0.13500000E+01  0.58056490E-02  0.27454763E+01 -0.22361492E+01  0.13033377E+00
  0.14000000E+01  0.61168477E-02  0.27734898E+01 -0.22134723E+01  0.14612804E+00
  0.14500000E+01  0.64612530E-02  0.27966762E+01 -0.21896833E+01  0.16136801E+00
  0.15000000E+01  0.67714427E-02  0.28247178E+01 -0.21693188E+01  0.17609127E+00
  0.15500000E+01  0.67752837E-02  0.28965657E+01 -0.21690725E+01  0.19033170E+00
  0.16000000E+01  0.64396518E-02  0.30280928E+01 -0.21911376E+01  0.20411999E+00
  0.16500000E+01  0.66321624E-02  0.30738141E+01 -0.21783448E+01  0.21748395E+00
  0.17000000E+01  0.68565718E-02  0.31140572E+01 -0.21638930E+01  0.23044893E+00
  0.17500000E+01  0.71993440E-02  0.31342562E+01 -0.21427071E+01  0.24303806E+00
  0.18000000E+01  0.74823668E-02  0.31639943E+01 -0.21259610E+01  0.25527251E+00
  0.18500000E+01  0.75266584E-02  0.32311677E+01 -0.21233978E+01  0.26717173E+00
  0.19000000E+01  0.78105096E-02  0.32607742E+01 -0.21073206E+01  0.27875361E+00
  0.19500000E+01  0.80885548E-02  0.32917606E+01 -0.20921291E+01  0.29003462E+00
  0.20000000E+01  0.84319440E-02  0.33135735E+01 -0.20740723E+01  0.30103000E+00
