# C_CrxOy	e_real	e_imag	R	alpha	1/alpha
#				nm-1	nm
0.027	1.698629996695	23.691250668502	0.552506	0.0406711	24.5874834956517
0.028	1.7781946879309	23.640801077921	0.551642	0.0405565	24.6569600433963
0.029	1.8571459618138	23.589939100899	0.550778	0.0404421	24.726708059176
0.03	1.9354823107861	23.538673290564	0.549915	0.0403277	24.7968517916965
0.031	2.0132023590306	23.48701216689	0.549054	0.0402134	24.8673327796207
0.032	2.0903048608214	23.434964214626	0.548193	0.0400993	24.9380911886242
0.033	2.1667886988466	23.38253788127	0.547333	0.0399852	25.0092534237668
0.034	2.2426528825049	23.329741575107	0.546474	0.0398713	25.0806971430578
0.035	2.3178965461768	23.276583663294	0.545617	0.0397575	25.1524869521474
0.036	2.3925189474735	23.223072470005	0.54476	0.0396438	25.2246252881913
0.037	2.466519465463	23.169216274635	0.543905	0.0395303	25.2970506168686
0.038	2.5398975988778	23.115023310049	0.54305	0.0394169	25.3698286775469
0.039	2.6126529643025	23.060501760894	0.542196	0.0393036	25.4429619678604
0.04	2.6847852943462	23.005659761965	0.541344	0.0391905	25.5163879001289
0.041	2.7562944357984	22.950505396622	0.540493	0.0390775	25.5901733734246
0.042	2.8271803477717	22.895046695264	0.539642	0.0389647	25.6642550821641
0.043	2.8974430998322	22.839291633855	0.538793	0.0388521	25.7386344624872
0.044	2.9670828701185	22.783248132506	0.537945	0.0387396	25.8133795909096
0.045	3.0360999434515	22.726924054109	0.537098	0.0386273	25.8884260613607
0.046	3.1044947094363	22.670327203023	0.536252	0.0385152	25.9637753406447
0.047	3.1722676605573	22.61346532381	0.535408	0.0384033	26.0394289032453
0.048	3.2394193902672	22.556346100033	0.534564	0.0382915	26.1154564328898
0.049	3.3059505910726	22.498977153089	0.533722	0.03818	26.1917234154007
0.05	3.3718620526167	22.44136604111	0.53288	0.0380686	26.2683681564334
0.051	3.4371546597593	22.383520257898	0.53204	0.0379574	26.3453239684488
0.052	3.5018293906578	22.325447231926	0.531201	0.0378465	26.4225225582286
0.053	3.5658873148476	22.26715432537	0.530363	0.0377357	26.5001046754135
0.054	3.6293295913248	22.208648833209	0.529526	0.0376252	26.5779318116581
0.055	3.692157466632	22.149937982354	0.528691	0.0375148	26.656146374231
0.056	3.7543722729477	22.091028930838	0.527857	0.0374047	26.7346082176839
0.057	3.8159754261804	22.031928767045	0.527023	0.0372949	26.8133176386047
0.058	3.8769684240692	21.972644508986	0.526191	0.0371852	26.8924195647731
0.059	3.9373528442913	21.913183103622	0.52536	0.0370758	26.9717713441113
0.06	3.9971303425767	21.853551426228	0.524531	0.0369666	27.0514464408412
0.061	4.0563026508321	21.793756279805	0.523702	0.0368576	27.1314464316722
0.062	4.1148715752745	21.733804394529	0.522875	0.0367489	27.2116988535711
0.063	4.1728389945748	21.673702427245	0.522049	0.0366404	27.2922784685757
