.772893495252444e-6	.772171070210461e-6	.770079164049559e-6	.761608066425751e-6
.781228569247815e-6	.780536006234568e-6	.778507595693780e-6	.770070269914677e-6
.790267715226928e-6	.789614837292122e-6	.787673422374638e-6	.779330157362710e-6
.800092404628376e-6	.799490941526487e-6	.797664844139049e-6	.789491939594922e-6
.810796828474359e-6	.810260791840167e-6	.808584154936267e-6	.800678018640931e-6
.822490442919588e-6	.822036584721899e-6	.820550602834366e-6	.813032992767771e-6
.835301135579286e-6	.834949511421074e-6	.833703954023252e-6	.826728719104894e-6
.849379188405068e-6	.849153853785513e-6	.848208961658165e-6	.841970753857922e-6
.864902267208310e-6	.864832143698797e-6	.864261003695181e-6	.859006595069166e-6
.882081738463553e-6	.882201698757661e-6	.882093236496975e-6	.878136291473952e-6
.901170703332748e-6	.901522940529884e-6	.901985716963900e-6	.899726160184445e-6
.922474246409424e-6	.923110015328574e-6	.924277076294364e-6	.924226578169217e-6
.946362512783631e-6	.947344361674562e-6	.949379475076689e-6	.952195065146532e-6
.973287318491794e-6	.550584996558845e-6	.977797699717179e-6	.984326105209776e-6
.100380297694709e-5	.100572507410738e-5	.101015328167737e-5	.102148920729888e-5
.550584996558845e-6	.104114865421135e-5	.104721420049152e-5	.106477618920475e-5
.550584996558845e-6	.550584996558845e-6	.108992951845138e-5	.111555665230987e-5
