Al (Palik)	BK7 (Malitson 1965)	1064.0	Yes	Yes	727.127875267	887.818714843	101.210878076	5296.28834026	0.938499619579	8.13216157272	-1	25579.2722847	-106.903253392	25.5231385673	2.10143324588	0.0	-7165772.55767	142377.920717	1.30859834123
Al (Palik)	a-Si (Palik)	1064.0	Yes	Yes	278.463185725	64.6380833879	96.0237165849	818.720549426	0.866062966038	8.13216157272	-1	1436.00781138	-106.903253392	25.5231385673	12.9374714684	0.0	-6681033.64361	1023719.80614	0.00412423686867
Al (Palik)	Si (Palik)	1064.0	Yes	Yes	281.52068797	66.3466880799	96.1455525103	835.790560709	0.866734957518	8.13216157272	88794.103554	1454.78404526	-106.903253392	25.5231385673	12.6893281	0.0067935529	-6692351.03953	1004615.6626	0.00423279323667
Al (Palik)	SiC (Palik)	1064.0	Yes	Yes	399.50744016	163.333067228	99.0483461605	1633.72911079	0.896947300304	8.13216157272	-1	4242.1505809	-106.903253392	25.5231385673	6.675168	0.0	-6986105.31387	481991.189764	0.0359916831021
Al (Palik)	SiO2 (Palik)	1064.0	Yes	Yes	727.123842084	887.804382696	101.210867354	5296.23014734	0.938499307256	8.13216157272	-1	25578.8466372	-106.903253392	25.5231385673	2.1014561254	0.0	-7165771.73815	142379.515311	1.30855479058
Al (Palik)	BK7 (Malitson 1965)	1030.0	Yes	Yes	703.122498057	860.528920854	102.330067703	4909.61313561	0.930972577973	8.22935154622	-1	20972.675514	-97.5934562074	25.2698472743	2.10263125978	0.0	-7653929.76259	166468.645014	0.87970623643
Al (Palik)	a-Si (Palik)	1030.0	Yes	Yes	266.770901275	62.8947197598	96.5372755066	749.15691393	0.850994683451	8.22935154622	-1	1144.67898212	-97.5934562074	25.2698472743	13.0522658011	0.0	-7065854.89712	1226649.91084	0.00262057994419
Al (Palik)	Si (Palik)	1030.0	Yes	Yes	269.729647414	64.519695821	96.6733911413	764.871616981	0.851562561889	8.22935154622	53812.0846285	1152.36206469	-97.5934562074	25.2698472743	12.80259	0.0109	-7078597.73303	1205696.41247	0.00265587665626
Al (Palik)	SiC (Palik)	1030.0	Yes	Yes	385.392177225	158.951972918	99.9371303929	1510.31649472	0.884967113867	8.22935154622	-1	3453.08452511	-97.5934562074	25.2698472743	6.68580080683	0.0	-7440786.99241	567450.34663	0.0238475854751
Al (Palik)	SiO2 (Palik)	1030.0	Yes	Yes	703.118187631	860.513615404	102.330054636	4909.55356688	0.930972194	8.22935154622	-1	20972.2897961	-97.5934562074	25.2698472743	2.10265652052	0.0	-7653928.70018	166470.707388	0.879673878581
Al (Palik)	ZnO (Bond 1965, o)	1030.0	Yes	Yes	520.790408686	364.166100465	101.464576351	2716.44032916	0.910028429559	8.22935154622	-1	8521.88023388	-97.5934562074	25.2698472743	3.77019889	0.0	-7581203.32661	306035.473791	0.145244885441
Al (Palik)	BK7 (Malitson 1965)	800.0	Yes	Yes	544.600357742	675.073967063	93.4223669711	3523.32180468	0.818105715217	7.53460561029	-1	5328.63038932	-63.5517422891	47.311599101	2.11214019447	0.0	-21680339.2888	607056.05648	0.056788603652
Al (Palik)	a-C (Palik)	800.0	Yes	Yes	346.957762798	189.926568416	92.6568142288	2119.96821723	0.541993165072	7.53460561029	87.157139296	77.4973052265	-63.5517422891	47.311599101	4.80060039026	3.37395074733	-19795647.9021	4311193.55774	1.20116646347e-05
Al (Palik)	Ethanol (Kedenburg 2012)	800.0	Yes	Yes	583.920840351	824.868549481	93.5831575364	4043.4943359	0.828574804188	7.53460561029	822945358.2	6568.31806255	-63.5517422891	47.311599101	1.8423	2.1e-07	-21721577.6888	527126.996448	0.0862856043417
Al (Palik)	GaAs (Palik)	800.0	Yes	Yes	203.859558314	50.8759330725	86.9123656854	539.780699379	0.615716644907	7.53460561029	740.414875859	189.115141596	-63.5517422891	47.311599101	13.5493223521	0.6331581751	-19057368.7989	5322872.05684	7.15290735616e-05
Al (Palik)	GaP (Palik)	800.0	Yes	Yes	238.724789476	74.4682826241	88.689455598	713.268856132	0.667413821275	7.53460561029	-1	447.266421035	-63.5517422891	47.311599101	10.1327539051	0.0	-20181947.4877	3340099.87033	0.000400094502772
Al (Palik)	Ge (Palik)	800.0	Yes	Yes	157.019867128	29.3619285385	83.244387006	347.817766364	0.523373290531	7.53460561029	198.407140839	65.5698473453	-63.5517422891	47.311599101	21.9612395515	3.01437205419	-15290048.4339	11744719.1241	8.59880976178e-06
Al (Palik)	Graphite (Palik, o)	800.0	Yes	No	279.062427849	81.8877068938	94.3879374565	7286.45991418	0.306140290253	7.53460561029	33.8732089488	30.701047416	-63.5517422891	47.311599101	5.950607352	11.5750444	-16412197.9211	11229565.7951	1.88510862488e-06
Al (Palik)	H2O (Palik)	800.0	Yes	Yes	597.948810349	883.358597067	93.6331834456	4237.84042849	0.832034382628	7.53460561029	509063729.61	7053.19008938	-63.5517422891	47.311599101	1.75837	3.3166e-07	-21734295.0158	502410.891233	0.0994949808739
Al (Palik)	InP (Bonse 2005)	800.0	Yes	Yes	217.154088557	56.7310802506	87.9087619925	621.877062642	0.598627838238	7.53460561029	318.309886184	147.446379764	-63.5517422891	47.311599101	12.21	1.4	-19043177.3765	5437504.61727	4.34808698109e-05
Al (Palik)	a-Si (Palik)	800.0	Yes	Yes	191.487097798	44.3001617944	86.0718566899	482.715785474	0.599209783007	7.53460561029	582.202368092	152.427182833	-63.5517422891	47.311599101	15.1665005819	0.852020350043	-18514903.9156	6250241.15371	4.64680921325e-05
Al (Palik)	Si (Palik)	800.0	Yes	Yes	202.291627284	51.0510906894	86.6808242896	524.766872829	0.634216423865	7.53460561029	9808.11253843	262.1157365	-63.5517422891	47.311599101	13.6338991279	0.0479330856899	-19313401.6648	4824934.0848	0.000137409318642
Al (Palik)	SiC (Palik)	800.0	Yes	Yes	296.924632942	127.745307088	90.6569734973	1079.37216472	0.710159451261	7.53460561029	-1	862.434718421	-63.5517422891	47.311599101	6.77639915111	0.0	-20877189.5216	2107505.70486	0.00148758728708
Al (Palik)	SiO2 (Palik)	800.0	Yes	Yes	544.556413258	674.917868199	93.4221681453	3522.7607307	0.818093330481	7.53460561029	-1	5327.3403443	-63.5517422891	47.311599101	2.11247393972	0.0	-21680287.9507	607155.356098	0.0567611102879
Al (Palik)	TiO2 (Palik, o)	800.0	Yes	Yes	275.6259214	105.741491436	90.0638821954	936.228576334	0.69557202412	7.53460561029	-1	689.478764233	-63.5517422891	47.311599101	7.7841	0.0	-20679497.6792	2463263.9106	0.000950761932656
Al (Palik)	ZnO (Postava 2000)	800.0	Yes	Yes	402.41602077	287.860088981	92.4168792376	1944.70616864	0.767558194723	7.53460561029	-1	2149.17732104	-63.5517422891	47.311599101	3.8025	0.0	-21409492.2953	1124285.17691	0.0092379263145
Al (Palik)	BK7 (Malitson 1965)	532.0	Yes	Yes	355.34261654	448.057710484	80.1463461149	1604.90759243	0.890899625071	6.54315115129	-1	4009.19741853	-41.0808347092	11.4439221225	2.13372991253	0.0	-10152749.2536	563268.283877	0.0321473278815
Al (Palik)	a-Si (Palik)	532.0	Yes	Yes	106.990794305	33.6273214692	67.8814431443	193.073316418	0.53322165197	6.54315115129	48.2503172351	19.2751628267	-41.0808347092	11.4439221225	18.830001168	7.76887117967	7835098.29923	30161272.2388	7.43063803989e-07
Al (Palik)	Si (Palik)	532.0	Yes	Yes	101.838373026	34.7933783136	64.4244756736	164.52114221	0.766624149096	6.54315115129	963.247071175	77.2452701712	-41.0808347092	11.4439221225	17.2203194249	0.364786724509	-4088905.00211	9790856.92666	1.19336635276e-05
Al (Palik)	SiC (Palik)	532.0	Yes	Yes	182.674836658	85.0991493907	75.1174141934	452.54459673	0.82667339725	6.54315115129	-1	543.969895978	-41.0808347092	11.4439221225	7.13050542294	0.0	-9164089.99618	2277077.40879	0.000591806495461
Al (Palik)	SiO2 (Palik)	532.0	Yes	Yes	355.337159109	448.038754434	80.1462847629	1604.85952436	0.890898260518	6.54315115129	-1	4009.01267441	-41.0808347092	11.4439221225	2.13379231408	0.0	-10152739.7535	563286.020547	0.0321443652471
