-90	925.9712
-89	949.8297
-88	943.3821
-87	956.496
-86	917.7208
-85	927.4216
-84	943.1337
-83	939.1956
-82	945.9824
-81	993.6825
-80	1020.8391
-79	998.0253
-78	978.7834
-77	995.8093
-76	977.8381
-75	1022.3738
-74	1035.8412
-73	1104.9429
-72	1092.6642
-71	1097.7001
-70	1140.4977
-69	1177.0474
-68	1211.1595
-67	1225.3153
-66	1202.3286
-65	1218.787
-64	1266.3774
-63	1249.8805
-62	1341.6522
-61	1337.3022
-60	1359.7441
-59	1349.6952
-58	1415.6038
-57	1432.3625
-56	1506.0759
-55	1535.4008
-54	1572.5562
-53	1594.1433
-52	1650.9178
-51	1730.3578
-50	1859.8027
-49	1894.6104
-48	1882.9661
-47	2007.5447
-46	2066.8987
-45	2135.812
-44	2183.5063
-43	2280.3357
-42	2328.8335
-41	2416.5806
-40	2496.3999
-39	2594.8115
-38	2674.396
-37	2718.9548
-36	2753.6978
-35	2855.6399
-34	2975.2542
-33	3064.5835
-32	3104.1526
-31	3213.2178
-30	3392.811
-29	3465.7034
-28	3620.8267
-27	3617.0957
-26	3862.199
-25	3989.0457
-24	4002.7007
-23	4127.1948
-22	4294.3354
-21	4516.1709
-20	4603.4863
-19	4786.8105
-18	4884.061
-17	5023.9917
-16	5248.3516
-15	5371.6187
-14	5420.9697
-13	5644.0952
-12	5866.3057
-11	5977.2793
-10	6010.0947
-9	6227.6348
-8	6246.3887
-7	6210.062
-6	6353.1147
-5	6285.0142
-4	6459.1392
-3	6539.7837
-2	6485.5923
-1	6544.9727
0	6801.4087
1	6660.5137
2	6616.6025
3	6574.0684
4	6437.1709
5	6355.7773
6	6365.5337
7	6210.4624
8	6117.4497
9	6022.4565
10	5771.7354
11	5726.4756
12	5545.9424
13	5318.2739
14	5129.1914
15	5086.4858
16	4905.8853
17	4825.6636
18	4676.9302
19	4485.1851
20	4261.7476
21	4102.9751
22	4099.6294
23	3920.125
24	3778.8726
25	3724.4636
26	3469.6206
27	3381.8242
28	3323.5671
29	3200.4941
30	3148.115
31	3023.0676
32	2853.6042
33	2738.1797
34	2699.9292
35	2562.0151
36	2491.3081
37	2433.8413
38	2293.8193
39	2246.9309
40	2171.4875
41	2125.0481
42	2032.5199
43	1939.2236
44	1877.5952
45	1855.5691
46	1808.4771
47	1707.7389
48	1563.254
49	1600.7239
50	1577.5061
51	1490.225
52	1484.4377
53	1431.8759
54	1421.5092
55	1368.6101
56	1354.161
57	1336.9191
58	1317.2234
59	1318.531
60	1277.3082
61	1239.7233
62	1216.1288
63	1212.8793
64	1192.0839
65	1163.2162
66	1132.1876
67	1166.0228
68	1188.7419
69	1117.686
70	1076.9854
71	1122.1791
72	1076.5629
73	1082.4624
74	989.6185
75	960.9644
76	995.7873
77	971.3948
78	992.1193
79	959.8858
80	957.153
81	970.6135
82	954.362
83	918.4985
84	976.0287
85	930.0262
86	980.2289
87	969.9177
88	975.4161
89	943.4781
