#Lambda (um)    Im(eps)
0.32056	29.8841
0.34476	27.6703
0.38105	24.9729
0.41734	23.2171
0.43347	21.9447
0.46169	19.7563
0.53024	17.2115
0.60282	16.0407
0.68347	14.8699
0.77218	13.699
0.84476	12.5282
0.90927	11.3066
0.97379	10.1358
1.03024	8.9142
1.10282	7.6925
1.1754	6.5217
1.28024	5.4526
1.41734	4.536
1.61089	4.2807
1.79637	4.3308
1.97379	4.5845
2.1754	4.5328
2.36089	4.3284
2.55444	4.2767
2.62702	4.48
2.82056	4.8863
3.00605	5.2417
3.20766	5.19
3.39315	4.8838
3.59476	4.7303
3.78831	4.6786
3.98992	4.6777
4.19153	4.7278
4.38508	4.727
4.57863	4.8279
4.77218	4.9798
4.97379	5.1825
5.15927	5.4361
5.35282	5.6389
5.55444	5.7907
5.74798	5.8917
5.94153	5.8908
