#lambda (um)    Re(eps)
0.15277	-8.7335
0.19279	-7.5204
0.23266	-5.5497
0.25657	-4.2865
0.2805	-3.1747
0.31247	-1.9113
0.38443	0.6663
0.42445	1.8794
0.48058	3.1434
0.6012	4.0556
0.73828	3.2005
0.84319	2.1425
0.98832	1.3381
1.18159	1.444
1.31026	2.3563
1.45505	3.2691
1.58372	4.1814
1.75275	4.6907
1.93804	4.3924
2.12326	4.4981
2.32459	4.5537
2.51783	4.7606
2.71114	4.6644
2.9045	4.3158
3.08982	3.9164
3.26707	3.5674
3.46042	3.2692
3.57322	3.0195
3.75846	2.9737
3.95174	3.0291
4.14504	2.9835
4.34639	2.938
4.5397	2.8419
4.74105	2.7965
4.93437	2.6499
5.12771	2.3517
5.28885	2.0527
5.47418	1.5524
5.65952	1.052
5.82876	0.5007
