.5186885585e-7	.2666272354e-6	.3836920847e-6	.5809741351e-6	.1006162128e-5	.1658849177e-5	.7413743144e-6	.8184969715e-6	.8523070461e-6
.4135368825e-7	.2113082403e-6	.3022793521e-6	.4519158341e-6	.7574405813e-6	.1183786636e-5	.7170702951e-6	.7770061716e-6	.7962903561e-6
.3622490275e-7	.1844841614e-6	.2630367737e-6	.3905199028e-6	.6433634232e-6	.9796935432e-6	.6997064889e-6	.7447363363e-6	.7557751483e-6
.3360247452e-7	.1707854456e-6	.2430224571e-6	.3593062229e-6	.5859681563e-6	.8792326013e-6	.6901723068e-6	.7240633711e-6	.7306159775e-6
.3222860300e-7	.1635990300e-6	.2325100900e-6	.3428770800e-6	.5556848640e-6	.8263620637e-6	.6874161065e-6	.7135666182e-6	.7176212752e-6
.3143907304e-7	.1594669969e-6	.2264626929e-6	.3334173135e-6	.5382282403e-6	.7959285257e-6	.6895433116e-6	.7103486886e-6	.7129354641e-6
.3085464741e-7	.1564271991e-6	.2220392268e-6	.3265732603e-6	.5258743535e-6	.7749127506e-6	.6947169718e-6	.7116814188e-6	.7133591016e-6
.3026001848e-7	.1533696497e-6	.2176381088e-6	.3199081107e-6	.4048622095e-6	.5008483451e-6	.7015356447e-6	.7155684587e-6	.7166619823e-6
6.283185308/(Re(fsolve(exp(-.4e-8*(beta^2-.6250000000e13*Pi^2*(2.366489956-62.64122895/Pi^2/(1.+1.333333333*I/Pi)))^(1/2))-((beta^2-.6250000000e13*Pi^2*(2.366489956-62.64122895/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-62.64122895/Pi^2/(1.+1.333333333*I/Pi))+1.*(beta^2-.6250000000e13*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-62.64122895/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-62.64122895/Pi^2/(1.+1.333333333*I/Pi))-1.*(beta^2-.6250000000e13*Pi^2)^(1/2))*((beta^2-.6250000000e13*Pi^2*(2.366489956-62.64122895/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-62.64122895/Pi^2/(1.+1.333333333*I/Pi))+(.7331287510e-1-.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-62.64122895/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-62.64122895/Pi^2/(1.+1.333333333*I/Pi))+(-.7331287510e-1+.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2)) = 0,beta,complex))/signum(Re(fsolve(exp(-.4e-8*(beta^2-.6250000000e13*Pi^2*(2.366489956-62.64122895/Pi^2/(1.+1.333333333*I/Pi)))^(1/2))-((beta^2-.6250000000e13*Pi^2*(2.366489956-62.64122895/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-62.64122895/Pi^2/(1.+1.333333333*I/Pi))+1.*(beta^2-.6250000000e13*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-62.64122895/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-62.64122895/Pi^2/(1.+1.333333333*I/Pi))-1.*(beta^2-.6250000000e13*Pi^2)^(1/2))*((beta^2-.6250000000e13*Pi^2*(2.366489956-62.64122895/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-62.64122895/Pi^2/(1.+1.333333333*I/Pi))+(.7331287510e-1-.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-62.64122895/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-62.64122895/Pi^2/(1.+1.333333333*I/Pi))+(-.7331287510e-1+.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2)) = 0,beta,complex))))^1.	.1453013381e-6	.2004184974e-6	.2777540185e-6	.5015488131e-6	.4775631880e-6	.7090556078e-6	.7207196810e-6	.7214302043e-6
6.283185308/(Re(fsolve(exp(-.4e-8*(beta^2-.6250000000e13*Pi^2*(2.366489956-67.63844313/Pi^2/(1.+1.333333333*I/Pi)))^(1/2))-((beta^2-.6250000000e13*Pi^2*(2.366489956-67.63844313/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-67.63844313/Pi^2/(1.+1.333333333*I/Pi))+1.*(beta^2-.6250000000e13*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-67.63844313/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-67.63844313/Pi^2/(1.+1.333333333*I/Pi))-1.*(beta^2-.6250000000e13*Pi^2)^(1/2))*((beta^2-.6250000000e13*Pi^2*(2.366489956-67.63844313/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-67.63844313/Pi^2/(1.+1.333333333*I/Pi))+(.7331287510e-1-.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-67.63844313/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-67.63844313/Pi^2/(1.+1.333333333*I/Pi))+(-.7331287510e-1+.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2)) = 0,beta,complex))/signum(Re(fsolve(exp(-.4e-8*(beta^2-.6250000000e13*Pi^2*(2.366489956-67.63844313/Pi^2/(1.+1.333333333*I/Pi)))^(1/2))-((beta^2-.6250000000e13*Pi^2*(2.366489956-67.63844313/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-67.63844313/Pi^2/(1.+1.333333333*I/Pi))+1.*(beta^2-.6250000000e13*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-67.63844313/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-67.63844313/Pi^2/(1.+1.333333333*I/Pi))-1.*(beta^2-.6250000000e13*Pi^2)^(1/2))*((beta^2-.6250000000e13*Pi^2*(2.366489956-67.63844313/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-67.63844313/Pi^2/(1.+1.333333333*I/Pi))+(.7331287510e-1-.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-67.63844313/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-67.63844313/Pi^2/(1.+1.333333333*I/Pi))+(-.7331287510e-1+.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2)) = 0,beta,complex))))^1.	.1406465014e-6	.1936068170e-6	.2672628483e-6	.4865325799e-6	.4522406292e-6	.7166863693e-6	.7263591389e-6	.7268167427e-6
.2757270363e-7	.1351775990e-6	.1856871951e-6	.2552955605e-6	.3521297185e-6	.6894287038e-6	.7240785607e-6	.7320435963e-6	.7323344959e-6
.2637973377e-7	.1290250746e-6	.1768496988e-6	.2421423450e-6	.3313718056e-6	.6623852063e-6	.7310389502e-6	.7375328541e-6	.7377147648e-6
.2508319463e-7	.1223816628e-6	.1673647236e-6	.2281887887e-6	.3098522893e-6	.3689534416e-6	.7374730991e-6	.7427065784e-6	.7428181319e-6
.2372685806e-7	.1154622111e-6	.1575275541e-6	.2138398585e-6	6.283185308/(Re(fsolve(exp(-.60e-7*(beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2))-((beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi))+1.*(beta^2-.6250000000e13*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi))-1.*(beta^2-.6250000000e13*Pi^2)^(1/2))*((beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi))+(.7331287510e-1-.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi))+(-.7331287510e-1+.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2)) = 0,beta,complex))/signum(Re(fsolve(exp(-.60e-7*(beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2))-((beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi))+1.*(beta^2-.6250000000e13*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi))-1.*(beta^2-.6250000000e13*Pi^2)^(1/2))*((beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi))+(.7331287510e-1-.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi))+(-.7331287510e-1+.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2)) = 0,beta,complex))))^1.	6.283185308/(Re(fsolve(exp(-.80e-7*(beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2))-((beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi))+1.*(beta^2-.6250000000e13*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi))-1.*(beta^2-.6250000000e13*Pi^2)^(1/2))*((beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi))+(.7331287510e-1-.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi))+(-.7331287510e-1+.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2)) = 0,beta,complex))/signum(Re(fsolve(exp(-.80e-7*(beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2))-((beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi))+1.*(beta^2-.6250000000e13*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi))-1.*(beta^2-.6250000000e13*Pi^2)^(1/2))*((beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi))+(.7331287510e-1-.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-91.94474985/Pi^2/(1.+1.333333333*I/Pi))+(-.7331287510e-1+.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2)) = 0,beta,complex))))^1.	.7433481500e-6	.7475135645e-6	.7475804345e-6
.2235521255e-7	.1084809986e-6	.1476275993e-6	.1994794449e-6	6.283185308/(Re(fsolve(exp(-.60e-7*(beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2))-((beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi))+1.*(beta^2-.6250000000e13*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi))-1.*(beta^2-.6250000000e13*Pi^2)^(1/2))*((beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi))+(.7331287510e-1-.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi))+(-.7331287510e-1+.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2)) = 0,beta,complex))/signum(Re(fsolve(exp(-.60e-7*(beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2))-((beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi))+1.*(beta^2-.6250000000e13*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi))-1.*(beta^2-.6250000000e13*Pi^2)^(1/2))*((beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi))+(.7331287510e-1-.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi))+(-.7331287510e-1+.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2)) = 0,beta,complex))))^1.	6.283185308/(Re(fsolve(exp(-.80e-7*(beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2))-((beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi))+1.*(beta^2-.6250000000e13*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi))-1.*(beta^2-.6250000000e13*Pi^2)^(1/2))*((beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi))+(.7331287510e-1-.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi))+(-.7331287510e-1+.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2)) = 0,beta,complex))/signum(Re(fsolve(exp(-.80e-7*(beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2))-((beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi))+1.*(beta^2-.6250000000e13*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi))-1.*(beta^2-.6250000000e13*Pi^2)^(1/2))*((beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi))+(.7331287510e-1-.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2))/((beta^2-.6250000000e13*Pi^2*(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi)))^(1/2)/(2.366489956-99.27965717/Pi^2/(1.+1.333333333*I/Pi))+(-.7331287510e-1+.2579925223e-3*I)*(beta^2-(.8525000000e14+.3000000000e12*I)*Pi^2)^(1/2)) = 0,beta,complex))))^1.	.7486687960e-6	.7519415294e-6	.7519805718e-6
.2101165190e-7	.1016430971e-6	.1379370515e-6	.1854568736e-6	.2458109211e-6	.2871162292e-6	.7534616864e-6	.7559993763e-6	.7560214812e-6
.1080913709e-5	.9514657370e-7	.1287142741e-6	.1720931932e-6	.2260074388e-6	.2621655116e-6	.7577652712e-6	.7597068760e-6	.7597189403e-6
.1050670715e-5	.8919239168e-7	.1202175625e-6	.1597012746e-6	.2075458231e-6	.2388513604e-6	.7616232224e-6	.7630887263e-6	.7630950202e-6
.1020362590e-5	.1020362590e-5	.1127235478e-6	.1486127930e-6	.1907746660e-6	.2174746079e-6	.7650802718e-6	.7661711949e-6	.7661742906e-6
.9901350675e-6	.9901350675e-6	.1065391167e-6	.1391986351e-6	.1761065536e-6	.1984478012e-6	.7694235488e-6	.7689817711e-6	.7689816605e-6
.1630378878e-7	.7686142029e-7	.1019863077e-6	.1318557840e-6	.1640233514e-6	.1823350113e-6	.7718657242e-6	.7715412222e-6	.7715411933e-6
.1612127219e-7	.7538689719e-7	.9933821988e-7	.1269274881e-6	.1549865455e-6	.7811414456e-6	.7741117073e-6	.7738754909e-6	.7738754978e-6
.1628716377e-7	.7548259688e-7	.9871700261e-7	.1245635806e-6	.7865782651e-6	.7820042036e-6	.7761758078e-6	.7760054411e-6	.7760054606e-6
.1679636255e-7	.7709211158e-7	.1000243951e-6	.1246152124e-6	.7868460532e-6	.7828787846e-6	.7780718582e-6	.7779501498e-6	.7779501699e-6
.1761833148e-7	.8002477356e-7	.1029727552e-6	.1266694851e-6	.7871726764e-6	.7837571670e-6	.7798130344e-6	.7797269403e-6	.7797269567e-6
.1871266693e-7	.8403131390e-7	.1071902487e-6	.1301976846e-6	.7875509587e-6	.7846318379e-6	.7814117576e-6	.7813514793e-6	.7813514912e-6
.2004250642e-7	.8887093877e-7	.1123171079e-6	.7934546465e-6	.7879731731e-6	.7854959374e-6	.7828796505e-6	.7828378962e-6	.7828379043e-6
.2158057285e-7	.9434176765e-7	.1180511470e-6	.7932235466e-6	.7884312958e-6	.7863433720e-6	.7842275206e-6	.7841989215e-6	.7841989271e-6
.2330969089e-7	.1002831337e-6	.1241534605e-6	.7930690135e-6	.7889172644e-6	.7871688889e-6	.7854653728e-6	.7854460150e-6	.7854460181e-6
.2522101637e-7	.1065663338e-6	.1304377095e-6	.7929874339e-6	.7894232191e-6	.7879681151e-6	.7866024359e-6	.7865894956e-6	.7865894975e-6
.2731191629e-7	.1130839751e-6	.1367573365e-6	.7929738767e-6	.7899417145e-6	.7887375559e-6	.7876471964e-6	.7876386594e-6	.7876386607e-6
.2958420324e-7	.1197417047e-6	.1429958081e-6	.7930223307e-6	.7904658924e-6	.7894745628e-6	.7886074405e-6	.7886018874e-6	.7886018881e-6
