43398160.620210761052+118852140.72641020215*I	11121873.994427029709+1051029.0120578086461*I	11078744.759895688648+989217.46856384529839*I
48249118.187679524813+112516414.31650302474*I	11126783.477351555891+902284.73631063641027*I	11097720.517912098678+860851.29860865717250*I
52710192.919638681463+105847752.80846690332*I	11117625.358804352958+776061.21984100903872*I	11098181.878219356474+747949.08103888351821*I
56694863.960550226407+98797636.387517701303*I	11099359.882951425220+669716.68238839522872*I	11086440.434985412580+650445.54727757165778*I
60065729.499105544632+91368895.549344456483*I	11075659.708403280075+580402.96039438122769*I	11067135.727546220616+567082.23948873848348*I
62667031.745096177852+83642895.033705070921*I	11049092.912494462739+505400.65770882324898*I	11043513.096934718230+496134.58959191541830*I
64372362.850311263971+75786066.738925942256*I	11021382.151017240372+442288.01396009991577*I	11017763.048961220671+435813.60084632673629*I
65131859.259415643748+68025154.135884354138*I	10993642.675178144260+388995.82373716092683*I	10991321.156951066492+384459.50177372606114*I
64995558.146972106655+60596359.978805898916*I	10966569.826836049513+343799.26539369730675*I	10965100.800548307593+340616.93605449203221*I
64100289.911534623556+53692015.186548667123*I	10940575.960059174598+305281.03209683454628*I	10939662.129924079344+303048.80516426222525*I
62630294.387605960181+47429583.014308578137*I	10915886.300538577911+272285.39219482166135*I	10915330.202886851445+270721.65060083211629*I
60774573.961676676034+41850277.948355612445*I	10892604.405378643835+243873.01583869475754*I	10892275.771706067723+242780.15677160169943*I
58697873.711691268623+36937183.449482069547*I	10870756.179431624126+219280.76619666816809*I	10870569.784356059000+218519.52441941814337*I
56528700.713645161970+32638516.386664651089*I	10850319.170028778322+197887.70826232827305*I	10850219.830342770161+197359.67024180384281*I
54359412.306195648803+28886987.801651986952*I	10831241.910434900135+179187.19449766639517*I	10831194.353633915233+178822.73772481475009*I
52252050.250137524155+25612565.542544374987*I	10813456.595994915042+162764.31967652123324*I	10813438.640900948114+162514.20421920067703*I
50245574.150095322758+22749480.330914826349*I	10796887.315807257832+148277.88143254856212*I	10796885.303146179809+148107.33675537307298*I
48362381.371005530229+20239315.184289007519*I	10781415.014574827073+135278.00797745669387*I	10781461.092160540026+135330.55991564918316*I
46613439.521163630529+18031807.497206932548*I	10767059.442771270990+123921.16446299187720*I	10767091.193944921773+123957.21433304639348*I
45002046.531007683094+16084477.832463618850*I	10753680.374749834885+113772.69795774421445*I	10753702.049254346003+113797.37942433356451*I
43526474.839138022902+14361749.320347273346*I	10741208.255445459032+104674.35118142134626*I	10741222.910649906908+104691.20935804801205*I
42181788.907574554274+12833917.008996411401*I	10729576.979588930586+96492.121761702881791*I	10729586.792000695692+96503.603867447855757*I
40961081.498917278679+11476145.056167316764*I	10718724.420988545615+89112.099690875006600*I	10718730.924459794691+89119.894126925701661*I
39856313.791918709008+10267569.996604129936*I	10708592.646216699424+82437.077616905262558*I	10708596.911043306266+82442.348289474007743*I
38858889.923819494784+9190536.8696668015087*I	10699127.924941395488+76383.783478776649406*I	10699130.690608125669+76387.331771975650481*I
