variables=E1,E2,Eabs
zone i= 101 j= 101
  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.00000000E+00  0.20000000E-01  0.10882842E-02
  0.00000000E+00  0.39999999E-01  0.20719186E-02
  0.00000000E+00  0.59999999E-01  0.29544639E-02
  0.00000000E+00  0.79999998E-01  0.37400746E-02
  0.00000000E+00  0.99999998E-01  0.44334824E-02
  0.00000000E+00  0.12000000E+00  0.50399807E-02
  0.00000000E+00  0.14000000E+00  0.55654123E-02
  0.00000000E+00  0.16000000E+00  0.60161639E-02
  0.00000000E+00  0.18000000E+00  0.63991684E-02
  0.00000000E+00  0.20000000E+00  0.67219208E-02
  0.00000000E+00  0.22000000E+00  0.69925118E-02
  0.00000000E+00  0.23999999E+00  0.72196863E-02
  0.00000000E+00  0.25999999E+00  0.74129391E-02
  0.00000000E+00  0.27999999E+00  0.75826631E-02
  0.00000000E+00  0.29999999E+00  0.77403821E-02
  0.00000000E+00  0.31999999E+00  0.78991215E-02
  0.00000000E+00  0.33999999E+00  0.80740282E-02
  0.00000000E+00  0.35999999E+00  0.82834923E-02
  0.00000000E+00  0.37999999E+00  0.85514587E-02
  0.00000000E+00  0.39999999E+00  0.89134464E-02
  0.00000000E+00  0.41999999E+00  0.94457724E-02
  0.00000000E+00  0.43999999E+00  0.10245359E-01
  0.00000000E+00  0.45999999E+00  0.11070819E-01
  0.00000000E+00  0.47999999E+00  0.11915882E-01
  0.00000000E+00  0.49999999E+00  0.12779128E-01
  0.00000000E+00  0.51999999E+00  0.13659159E-01
  0.00000000E+00  0.53999999E+00  0.14554597E-01
  0.00000000E+00  0.55999999E+00  0.15464089E-01
  0.00000000E+00  0.57999999E+00  0.16386306E-01
  0.00000000E+00  0.59999999E+00  0.17319953E-01
  0.00000000E+00  0.61999999E+00  0.18263762E-01
  0.00000000E+00  0.63999999E+00  0.19216500E-01
  0.00000000E+00  0.65999999E+00  0.20176971E-01
  0.00000000E+00  0.67999998E+00  0.21144017E-01
  0.00000000E+00  0.69999998E+00  0.22116519E-01
  0.00000000E+00  0.71999998E+00  0.23093402E-01
  0.00000000E+00  0.73999998E+00  0.24073634E-01
  0.00000000E+00  0.75999998E+00  0.25056227E-01
  0.00000000E+00  0.77999998E+00  0.26040244E-01
  0.00000000E+00  0.79999998E+00  0.27024792E-01
  0.00000000E+00  0.81999998E+00  0.28009030E-01
  0.00000000E+00  0.83999998E+00  0.28992167E-01
  0.00000000E+00  0.85999998E+00  0.29973462E-01
  0.00000000E+00  0.87999998E+00  0.30952228E-01
  0.00000000E+00  0.89999998E+00  0.31927827E-01
  0.00000000E+00  0.91999998E+00  0.32899678E-01
  0.00000000E+00  0.93999998E+00  0.33867248E-01
