.797732486456578e-6	.797732461598481e-6	.797732428104687e-6	.797732383185899e-6	.797732323334092e-6	.797732244301284e-6	.797732141253960e-6	.797732009289897e-6	.797731844626692e-6	.797731646916904e-6	.797731423218675e-6	.797731193867482e-6	.797730999193805e-6	.797730902627668e-6	.797730979695806e-6	.797731278047695e-6	.797731748516972e-6	.797732206924469e-6	.797732446578257e-6	.797732466252223e-6
.797732446109939e-6	.797732406836569e-6	.797732353919746e-6	.797732282952764e-6	.797732188393546e-6	.797732063531159e-6	.797731900730027e-6	.797731692246800e-6	.797731432108835e-6	.797731119773082e-6	.797730766401381e-6	.797730404140625e-6	.797730096740283e-6	.797729944459816e-6	.797730066676114e-6	.797730538690106e-6	.797731282738338e-6	.797732007612959e-6	.797732386546568e-6	.797732417641757e-6
.797732382689295e-6	.797732320756817e-6	.797732237309450e-6	.797732125398317e-6	.797731976284419e-6	.797731779386098e-6	.797731522664691e-6	.797731193913601e-6	.797730783722351e-6	.797730291249535e-6	.797729734124068e-6	.797729163087924e-6	.797728678750350e-6	.797728439332377e-6	.797728633216289e-6	.797729379195067e-6	.797730554421738e-6	.797731699113172e-6	.797732297435104e-6	.797732346499474e-6
.797732283491698e-6	.797732186118121e-6	.797732054918338e-6	.797731878967812e-6	.797731644528232e-6	.797731334965701e-6	.797730931358369e-6	.797730414525650e-6	.797729769692835e-6	.797728995575584e-6	.797728119960556e-6	.797727222748561e-6	.797726462322854e-6	.797726087738805e-6	.797726395504157e-6	.797727572500098e-6	.797729425023408e-6	.797731228766191e-6	.797732171371102e-6	.797732248575754e-6
.797732129582988e-6	.797731977222536e-6	.797731771936031e-6	.797731496632047e-6	.797731129818576e-6	.797730645476906e-6	.797730014015808e-6	.797729205453061e-6	.797728196725648e-6	.797726985924424e-6	.797725616707290e-6	.797724214407232e-6	.797723027355448e-6	.797722445982755e-6	.797722935032793e-6	.797724787157529e-6	.797727697828093e-6	.797730530155957e-6	.797732009734024e-6	.797732130659951e-6
.797731893965047e-6	.797731657429138e-6	.797731338731761e-6	.797730911344878e-6	.797730341914465e-6	.797729590069673e-6	.797728609913569e-6	.797727354979251e-6	.797725789609008e-6	.797723911105819e-6	.797721787721415e-6	.797719614844134e-6	.797717779306844e-6	.797716889091854e-6	.797717667655552e-6	.797720569800833e-6	.797725118961053e-6	.797729541121762e-6	.797731849640900e-6	.797732037550031e-6
.797731541409399e-6	.797731178932112e-6	.797730690561173e-6	.797730035660892e-6	.797729163151246e-6	.797728011229607e-6	.797726509680862e-6	.797724587518621e-6	.797722190504557e-6	.797719315233534e-6	.797716067573010e-6	.797712749094069e-6	.797709955979093e-6	.797708624589455e-6	.797709868288697e-6	.797714384691619e-6	.797721433274133e-6	.797728272503521e-6	.797731838101133e-6	.797732125961944e-6
.797731035068833e-6	.797730491746720e-6	.797729759762003e-6	.797728778255057e-6	.797727470758256e-6	.797725744819591e-6	.797723495539035e-6	.797720617152959e-6	.797717029520864e-6	.797712729594228e-6	.797707879602742e-6	.797702937417977e-6	.797698805600113e-6	.797696899506629e-6	.797698899066685e-6	.797705849577574e-6	.797716612667220e-6	.797727020050822e-6	.797732431040159e-6	.797732860169891e-6
.797730364215023e-6	.797729581394970e-6	.797728526876280e-6	.797727113125500e-6	.797725230265532e-6	.797722745656670e-6	.797719509212775e-6	.797715370479248e-6	.797710217452744e-6	.797704051802341e-6	.797697117518130e-6	.797690090756973e-6	.797684296172350e-6	.797681803372595e-6	.797685058038778e-6	.797695557605524e-6	.797711579672382e-6	.797726964587751e-6	.797734914573937e-6	.797735518868369e-6
.797729631512401e-6	.797728587478953e-6	.797727181497941e-6	.797725297323625e-6	.797722789375677e-6	.797719482573326e-6	.797715180122345e-6	.797709687496260e-6	.797702866213943e-6	.797694737305604e-6	.797685657344329e-6	.797676576726656e-6	.797669330738020e-6	.797666759553318e-6	.797672179786534e-6	.797687538049139e-6	.797710286658913e-6	.797731795270694e-6	.797742742799519e-6	.797743483166162e-6
.797729300014535e-6	.797728139271900e-6	.797726577534010e-6	.797724487257482e-6	.797721709868012e-6	.797718056902338e-6	.797713321000578e-6	.797707306557047e-6	.797699896031561e-6	.797691174927981e-6	.797681640895072e-6	.797672504438976e-6	.797666014450931e-6	.797665553635680e-6	.797674926240483e-6	.797696065082417e-6	.797725323537577e-6	.797751906497546e-6	.797764857141559e-6	.797765406029814e-6
