#Angle(degree)	CountsImageJ(au)	Offset(=Counts-Min(Counts))	Normalization
-90	248.5894	92.0993	0.1837355497
-89	224.9021	68.412	0.136480043
-88	244.5655	88.0754	0.1757079807
-87	220.0679	63.5778	0.126835948
-86	231.0855	74.5954	0.1488157545
-85	243.2595	86.7694	0.173102547
-84	223.7316	67.2415	0.134144928
-83	222.7159	66.2258	0.1321186346
-82	221.9623	65.4722	0.1306152235
-81	205.8423	49.3522	0.0984562705
-80	211.8481	55.358	0.110437675
-79	192.4332	35.9431	0.0717054878
-78	185.5356	29.0455	0.0579449671
-77	189.8859	33.3958	0.066623695
-76	188.3543	31.8642	0.0635681954
-75	186.4273	29.9372	0.0597238839
-74	197.7002	41.2101	0.0822130068
-73	213.4883	56.9982	0.1137098285
-72	187.733	31.2429	0.0623287192
-71	194.7113	38.2212	0.0762502342
-70	209.8602	53.3701	0.1064718696
-69	213.3103	56.8202	0.1133547234
-68	225.6217	69.1316	0.137915625
-67	201.3116	44.8215	0.0894176496
-66	194.8434	38.3533	0.07651377
-65	189.0935	32.6034	0.0650428789
-64	189.9845	33.4944	0.0668203992
-63	193.3418	36.8517	0.0735181196
-62	180.5957	24.1056	0.0480900036
-61	174.6219	18.1318	0.0361724382
-60	175.3371	18.847	0.0375992424
-59	156.4901	0	0
-58	168.4877	11.9976	0.0239348793
-57	168.2317	11.7416	0.0234241664
-56	161.432	4.9419	0.0098589535
-55	158.9121	2.422	0.0048318228
-54	166.5471	10.057	0.0200634361
-53	166.0434	9.5533	0.0190585686
-52	164.3217	7.8316	0.0156238248
-51	174.8174	18.3273	0.0365624553
-50	167.2477	10.7576	0.0214611137
-49	170.8068	14.3167	0.0285614195
-48	169.3078	12.8177	0.0255709561
-47	167.0127	10.5226	0.0209922952
-46	179.1712	22.6811	0.0452481656
-45	184.9082	28.4181	0.0566933215
-44	215.3209	58.8308	0.1173658147
-43	191.6808	35.1907	0.0702044707
-42	184.4102	27.9201	0.0556998253
-41	185.114	28.6239	0.0571038868
-40	189.5702	33.0801	0.0659938822
-39	184.7585	28.2684	0.0563946741
-38	180.1569	23.6668	0.0472146097
-37	182.8286	26.3385	0.0525445772
-36	188.2845	31.7944	0.0634289464
-35	204.2567	47.7666	0.0952930425
-34	193.3677	36.8776	0.0735697894
-33	180.3645	23.8744	0.047628766
-32	174.1713	17.6812	0.0352735037
-31	167.3937	10.9036	0.0217523797
-30	184.905	28.4149	0.0566869376
-29	193.6792	37.1891	0.0741912233
-28	185.2936	28.8035	0.0574621838
-27	183.284	26.7939	0.0534530875
-26	190.6491	34.159	0.0681462578
-25	203.2754	46.7853	0.0933353762
-24	210.7604	54.2703	0.1082677436
-23	182.7507	26.2606	0.0523891688
-22	195.9287	39.4386	0.0786789134
-21	211.0119	54.5218	0.1087694792
-20	203.3175	46.8274	0.0934193645
-19	232.2129	75.7228	0.1510648863
-18	234.1527	77.6626	0.1549347335
-17	242.2166	85.7265	0.1710219904
-16	226.8803	70.3902	0.1404264971
-15	257.9116	101.4215	0.2023330802
-14	249.8068	93.3167	0.1861642289
-13	257.1351	100.645	0.2007839842
-12	266.5415	110.0514	0.2195494914
-11	287.6026	131.1125	0.2615658019
-10	284.0112	127.5211	0.2544010585
-9	293.3446	136.8545	0.2730209326
-8	298.6857	142.1956	0.283676279
-7	315.1639	158.6738	0.3165498311
-6	336.0635	179.5734	0.3582439536
-5	317.632	161.1419	0.3214736222
-4	316.4574	159.9673	0.3191303277
-3	331.0689	174.5788	0.3482798651
-2	333.5576	177.0675	0.3532447526
-1	323.6617	167.1716	0.3335027065
0	334.964	178.4739	0.3560504816
1	353.0913	196.6012	0.3922139424
2	351.9934	195.5033	0.3900236624
3	358.4497	201.9596	0.4029038018
4	346.7795	190.2894	0.3796220764
5	341.3174	184.8273	0.3687253384
6	362.3982	205.9081	0.4107809499
7	366.3504	209.8603	0.4186654793
8	402.3304	245.8403	0.4904445816
9	389.3286	232.8385	0.4645063511
10	413.658	257.1679	0.5130428295
11	417.8237	261.3336	0.5213532855
12	409.0204	252.5303	0.5037909461
13	435.1703	278.6802	0.5559592714
14	449.3416	292.8515	0.584230622
15	481.6827	325.1926	0.6487502197
16	491.7066	335.2165	0.6687476222
17	491.3477	334.8576	0.6680316267
18	483.8078	327.3177	0.6529897353
19	527.4489	370.9588	0.7400525196
20	535.5768	379.0867	0.7562674548
21	541.2681	384.778	0.7676214404
22	540.4344	383.9443	0.7659582321
23	553.3486	396.8585	0.791721703
24	539.559	383.0689	0.7642118333
25	556.8414	400.3513	0.7986897421
26	562.0861	405.596	0.8091527732
27	582.9521	426.462	0.8507798646
28	573.4136	416.9235	0.8317508216
29	581.4818	424.9917	0.8478466569
30	577.5878	421.0977	0.8400782348
31	565.3182	408.8281	0.8156007231
32	586.7902	430.3001	0.8584367677
33	603.5084	447.0183	0.8917891131
34	604.0278	447.5377	0.8928253017
35	613.5463	457.0562	0.9118144452
36	618.3464	461.8563	0.9213905116
37	633.3333	476.8432	0.9512889616
38	622.2267	465.7366	0.9291316025
39	648.4772	491.9871	0.9815006221
40	650.2863	493.7962	0.9851097265
41	654.3781	497.888	0.993272754
42	657.7502	501.2601	1
43	654.5278	498.0377	0.9935714014
44	638.0202	481.5301	0.9606391971
45	657.006	500.5159	0.9985153416
46	645.9487	489.4586	0.9764563347
47	627.2263	470.7362	0.9391056659
48	637.5552	481.0651	0.959711535
49	607.7062	451.2161	0.9001636077
50	591.3063	434.8162	0.8674462619
51	585.1972	428.7071	0.8552587768
52	562.8995	406.4094	0.8107754836
53	568.3815	411.8914	0.8217119216
54	592.871	436.3809	0.870567795
55	584.6537	428.1636	0.8541745094
56	573.1477	416.6576	0.8312203585
57	538.5278	382.0377	0.7621546179
58	536.3893	379.8992	0.7578883697
59	535.9227	379.4326	0.7569575157
60	516.882	360.3919	0.7189718472
61	478.7283	322.2382	0.6428562736
62	475.4033	318.9132	0.6362229908
63	487.4851	330.995	0.6603258468
64	474.5943	318.1042	0.6346090583
65	426.8377	270.3476	0.5393359655
66	423.4421	266.952	0.5325618377
67	428.978	272.4879	0.5436058047
68	430.4454	273.9553	0.546533227
69	429.7342	273.2441	0.5451144027
70	443.9853	287.4952	0.573544952
71	442.2029	285.7128	0.5699891134
72	422.4551	265.965	0.5305928
73	406.3067	249.8166	0.4983771898
74	399.1536	242.6635	0.4841069537
75	390.9638	234.4737	0.4677685298
76	369.5356	213.0455	0.4250198649
77	349.043	192.5529	0.3841376962
78	321.7564	165.2663	0.3297016858
