#Angle(degree)	CountsImageJ(au)	Offset(=Counts-Min(Counts))	Normalization
-90	659.4761	268.7779	0.1557257259
-89	632.6513	241.9531	0.1401838549
-88	610.8363	220.1381	0.1275445839
-87	608.3832	217.685	0.126123296
-86	539.6307	148.9325	0.0862891691
-85	559.4292	168.731	0.0977601114
-84	542.9689	152.2707	0.0882232702
-83	549.2167	158.5185	0.0918431481
-82	525.4953	134.7971	0.0780993387
-81	535.397	144.6988	0.0838362293
-80	533.4327	142.7345	0.0826981445
-79	512.9225	122.2243	0.0708148544
-78	507.322	116.6238	0.0675700119
-77	503.0314	112.3332	0.0650841052
-76	498.3914	107.6932	0.0623957615
-75	514.7717	124.0735	0.071886252
-74	489.6135	98.9153	0.0573099831
-73	494.9881	104.2899	0.0604239425
-72	500.7523	110.0541	0.0637636302
-71	507.4991	116.8009	0.0676726209
-70	521.7953	131.0971	0.0759556164
-69	491.597	100.8988	0.058459192
-68	461.7726	71.0744	0.0411793995
-67	472.5204	81.8222	0.0474065073
-66	468.3701	77.6719	0.0450018882
-65	469.6523	78.9541	0.0457447749
-64	491.1545	100.4563	0.0582028144
-63	495.4117	104.7135	0.0606693698
-62	474.8863	84.1881	0.0487772729
-61	444.1327	53.4345	0.0309591164
-60	426.6071	35.9089	0.020805057
-59	441.4328	50.7346	0.0293948365
-58	429.5447	38.8465	0.0225070566
-57	426.2453	35.5471	0.0205954357
-56	427.0884	36.3902	0.0210839147
-55	421.2197	30.5215	0.0176836814
-54	415.4559	24.7577	0.0143442255
-53	393.9206	3.2224	0.0018670083
-52	392.8534	2.1552	0.0012486893
-51	405.3958	14.6976	0.0085155604
-50	429.6895	38.9913	0.0225909515
-49	418.5712	27.873	0.0161491818
-48	425.4323	34.7341	0.0201243962
-47	401.8619	11.1637	0.0064680738
-46	390.6982	0	0
-45	391.1609	0.4627	0.0002680812
-44	419.546	28.8478	0.0167139657
-43	425.4095	34.7113	0.0201111862
-42	429.7804	39.0822	0.0226436175
-41	439.4606	48.7624	0.0282521745
-40	434.2941	43.5959	0.0252587849
-39	440.7547	50.0565	0.0290019559
-38	467.6123	76.9141	0.0445628307
-37	442.2053	51.5071	0.0298424109
-36	472.3121	81.6139	0.0472858216
-35	445.5786	54.8804	0.0317968484
-34	476.8296	86.1314	0.0499031907
-33	500.7941	110.0959	0.0637878484
-32	518.7067	128.0085	0.0741661297
-31	497.5022	106.804	0.0618805729
-30	494.9443	104.2461	0.0603985655
-29	487.7926	97.0944	0.056254982
-28	499.4405	108.7423	0.0630035937
-27	492.6943	101.9961	0.0590949506
-26	506.9257	116.2275	0.0673404019
