#Angle(degree)	CountsImageJ(au)	Offset(=Counts-Min(Counts))	Normalization
-90	1481.4753	696.5248	0.1545903636
-89	1453.6044	668.6539	0.14840455
-88	1395.4049	610.4544	0.135487448
-87	1410.4738	625.5233	0.1388319186
-86	1371.2698	586.3193	0.1301307775
-85	1376.9821	592.0316	0.1313985953
-84	1286.7797	501.8292	0.111378602
-83	1205.1802	420.2297	0.0932679814
-82	1180.6638	395.7133	0.0878266831
-81	1150.5157	365.5652	0.0811354559
-80	1172.5909	387.6404	0.0860349414
-79	1184.5282	399.5777	0.0886843683
-78	1109.5797	324.6292	0.0720499055
-77	1101.1635	316.213	0.07018197
-76	1086.3842	301.4337	0.0669017747
-75	1062.7528	277.8023	0.061656898
-74	1010.8437	225.8932	0.0501359204
-73	1011.0455	226.095	0.0501807089
-72	1004.2122	219.2617	0.0486640905
-71	1022.9026	237.9521	0.0528123358
-70	980.9206	195.9701	0.0434946308
-69	981.803	196.8525	0.0436904753
-68	957.6981	172.7476	0.0383405075
-67	960.1065	175.156	0.0388750404
-66	948.8602	163.9097	0.0363789776
-65	904.5674	119.6169	0.0265484015
-64	906.3056	121.3551	0.0269341867
-63	900.0842	115.1337	0.0255533766
-62	871.9251	86.9746	0.0193035984
-61	836.181	51.2305	0.0113703656
-60	829.0716	44.1211	0.0097924681
-59	838.1924	53.2419	0.0118167862
-58	826.5425	41.592	0.0092311464
-57	817.8582	32.9077	0.0073037074
-56	798.2978	13.3473	0.0029623697
-55	810.1223	25.1718	0.0055867612
-54	837.3242	52.3737	0.0116240934
-53	803.8795	18.929	0.0042012014
-52	787.1805	2.23	0.0004949379
-51	813.418	28.4675	0.0063182261
-50	829.8713	44.9208	0.0099699577
-49	810.2524	25.3019	0.0056156363
-48	806.4122	21.4617	0.0047633221
-47	839.475	54.5245	0.0121014532
-46	846.0178	61.0673	0.0135535965
-45	809.6204	24.6699	0.0054753669
-44	807.0255	22.075	0.0048994412
-43	784.9505	0	0
-42	807.4089	22.4584	0.004984535
-41	810.8429	25.8924	0.0057466949
-40	808.8931	23.9426	0.0053139461
-39	837.546	52.5955	0.0116733208
-38	832.3645	47.414	0.0105233116
-37	837.0021	52.0516	0.0115526048
-36	835.9897	51.0392	0.0113279075
-35	857.2251	72.2746	0.0160410034
-34	879.208	94.2575	0.0209200034
-33	855.2801	70.3296	0.0156093199
-32	857.7173	72.7668	0.0161502449
-31	893.1658	108.2153	0.0240178707
-30	889.0865	104.136	0.0231124895
-29	944.2634	159.3129	0.0353587397
-28	943.6414	158.6909	0.0352206898
-27	958.8879	173.9374	0.0386045779
-26	1008.2722	223.3217	0.0495651882
-25	1009.4316	224.4811	0.0498225115
-24	984.3956	199.4451	0.0442658905
-23	1011.4352	226.4847	0.050267201
-22	1046.4674	261.5169	0.058042431
-21	1062.3881	277.4376	0.0615759546
-20	1101.8601	316.9096	0.0703365771
-19	1102.8593	317.9088	0.0705583448
-18	1087.5211	302.5706	0.0671541043
-17	1093.4854	308.5349	0.0684778523
-16	1138.197	353.2465	0.078401379
-15	1151.8853	366.9348	0.0814394321
-14	1177.0206	392.0701	0.0870180922
-13	1188.0787	403.1282	0.0894723849
-12	1234.1777	449.2272	0.0997038385
-11	1271.0481	486.0976	0.1078870483
-10	1328.8738	543.9233	0.1207211871
-9	1386.0514	601.1009	0.1334114832
-8	1437.1698	652.2193	0.1447569687
-7	1531.0295	746.079	0.1655886823
-6	1585.9348	800.9843	0.1777746523
-5	1596.1123	811.1618	0.1800335
-4	1632.329	847.3785	0.1880716241
-3	1624.0177	839.0672	0.1862269707
-2	1691.9852	907.0347	0.2013120337
-1	1772.1398	987.1893	0.2191019656
0	1807.7499	1022.7994	0.2270054578
1	1899.2968	1114.3463	0.2473238564
2	1964.9261	1179.9756	0.2618899671
3	2033.0566	1248.1061	0.2770112073
4	2016.5458	1231.5953	0.2733467138
5	2033.9976	1249.0471	0.2772200578
6	2157.8823	1372.9318	0.3047156772
7	2199.6099	1414.6594	0.3139769193
8	2197.2378	1412.2873	0.313450443
9	2279.9026	1494.9521	0.3317975019
10	2366.9434	1581.9929	0.3511157931
11	2435.8882	1650.9377	0.3664177632
12	2508.9292	1723.9787	0.3826288655
13	2528.9158	1743.9653	0.3870647962
14	2755.9814	1971.0309	0.4374609252
15	2764.9534	1980.0029	0.4394522178
16	2820.01	2035.0595	0.4516717681
17	2920.3145	2135.364	0.4739338744
18	3065.2383	2280.2878	0.5060990219
19	3070.8613	2285.9108	0.50734702
20	3201.0022	2416.0517	0.5362311732
21	3242.5989	2457.6484	0.5454633627
22	3487.7561	2702.8056	0.5998748362
23	3437.3379	2652.3874	0.5886847567
24	3494.0715	2709.121	0.6012765092
25	3666.8752	2881.9247	0.6396294677
26	3770.6648	2985.7143	0.6626650754
27	3847.5371	3062.5866	0.6797265164
28	3967.8521	3182.9016	0.7064298579
29	4172.3232	3387.3727	0.7518112452
30	4305.9458	3520.9953	0.7814681451
31	4443.0684	3658.1179	0.8119018534
32	4505.959	3721.0085	0.8258601227
33	4684.5596	3899.6091	0.8654996756
34	4741.4956	3956.5451	0.8781363498
35	4821.5039	4036.5534	0.8958938111
36	4870.8696	4085.9191	0.9068502932
37	4937.4951	4152.5446	0.9216375058
38	5055.771	4270.8205	0.9478882787
39	5051.5176	4266.5671	0.9469442568
40	4992.6729	4207.7224	0.9338839558
41	5090.3398	4305.3893	0.9555606593
42	5164.6528	4379.7023	0.9720540759
43	5107.2627	4322.3122	0.9593166164
44	5287.9995	4503.049	0.9994302888
45	5214.3169	4429.3664	0.9830767865
46	5290.5664	4505.6159	1
47	5265.1479	4480.1974	0.9943584849
48	5231.2471	4446.2966	0.9868343638
49	5066.978	4282.0275	0.950375619
50	5034.3779	4249.4274	0.943140182
51	4992.3711	4207.4206	0.9338169727
52	4938.4238	4153.4733	0.9218436263
53	4806.3667	4021.4162	0.8925341816
54	4657.3232	3872.3727	0.8594546863
55	4537.5732	3752.6227	0.8328767439
56	4574.2275	3789.277	0.8410119913
57	4383.5664	3598.6159	0.7986956678
58	4160.4023	3375.4518	0.7491654582
59	4134.6611	3349.7106	0.7434523214
60	4053.0632	3268.1127	0.7253420559
61	3904.3394	3119.3889	0.6923335165
62	3724.7083	2939.7578	0.652465249
63	3601.2861	2816.3356	0.6250722792
64	3501.1611	2716.2106	0.6028500121
65	3350.0249	2565.0744	0.569306052
66	3323.248	2538.2975	0.5633630465
67	3215.1023	2430.1518	0.5393606233
68	3037.6472	2252.6967	0.4999753086
69	2979.5579	2194.6074	0.487082665
70	2889.8745	2104.924	0.4671778613
71	2724.9744	1940.0239	0.4305790691
72	2695.8276	1910.8771	0.4241100756
73	2665.9907	1881.0402	0.4174879177
74	2560.7915	1775.841	0.3941394561
75	2470.8384	1685.8879	0.3741747937
76	2411.3857	1626.4352	0.36097955
77	2296.7278	1511.7773	0.3355317749
78	2203.9199	1418.9694	0.3149335033
79	2132.8262	1347.8757	0.299154595
80	2105.8872	1320.9367	0.2931756122
81	1952.0629	1167.1124	0.2590350411
82	1919.469	1134.5185	0.2518009802
83	1870.5677	1085.6172	0.2409475695
