#Angle(degree)	CountsImageJ(au)	Offset(=Counts-Min(Counts))	Normalization
74	28.2415	19.2809	0.2675580225
75	28.9202	19.9596	0.2769762359
76	32.2537	23.2931	0.3232346921
77	28.8307	19.8701	0.2757342585
78	37.083	28.1224	0.3902501301
79	33.7625	24.8019	0.3441720729
80	31.9783	23.0177	0.3194130095
81	25.5822	16.6216	0.2306553339
82	25.0951	16.1345	0.2238959237
83	29.5088	20.5482	0.2851441457
84	29.5329	20.5723	0.2854785776
85	41.5596	32.599	0.4523712056
86	47.1052	38.1446	0.5293266262
87	43.3144	34.3538	0.4767222897
88	42.9014	33.9408	0.4709911535
89	41.4992	32.5386	0.4515330442
