#Angle(degree)	CountsImageJ(au)	Offset(=Counts-Min(Counts))	Normalization
-90	154.214	79.4145	0.2757791683
-89	150.3174	75.5179	0.2622476204
-88	155.131	80.3315	0.278963593
-87	147.853	73.0535	0.2536896092
-86	142.5026	67.7031	0.2351095154
-85	145.062	70.2625	0.2439974288
-84	144.2742	69.4747	0.2412616712
-83	141.2101	66.4106	0.2306211087
-82	128.3582	53.5587	0.1859908926
-81	114.0739	39.2744	0.1363864454
-80	128.8522	54.0527	0.1877063842
-79	140.6065	65.807	0.2285250141
-78	156.6934	81.8939	0.2843892694
-77	142.9869	68.1874	0.2367913223
-76	133.5169	58.7174	0.2039052785
-75	121.0429	46.2434	0.1605873788
-74	122.8322	48.0327	0.1668010005
-73	108.8632	34.0637	0.1182914815
-72	125.8521	51.0526	0.1772880717
-71	123.1691	48.3696	0.167970938
-70	117.2392	42.4397	0.1473784406
-69	124.9304	50.1309	0.1740873255
-68	124.5014	49.7019	0.1725975564
-67	120.0496	45.2501	0.1571379905
-66	122.1045	47.305	0.1642739494
-65	123.6705	48.871	0.1697121273
-64	114.9684	40.1689	0.1394927354
-63	107.4765	32.677	0.1134759506
-62	101.4394	26.6399	0.0925111846
-61	105.8238	31.0243	0.1077366936
-60	116.1475	41.348	0.143587343
-59	103.5034	28.7039	0.0996787447
-58	104.1299	29.3304	0.1018543631
-57	100.3578	25.5583	0.0887551608
-56	97.624	22.8245	0.0792616163
-55	101.3928	26.5933	0.0923493588
-54	118.176	43.3765	0.1506316239
-53	113.1675	38.368	0.1332388308
-52	92.2155	17.416	0.0604797612
-51	102.6747	27.8752	0.0968009554
-50	87.0419	12.2424	0.0425136328
-49	113.1979	38.3984	0.1333443995
-48	109.8534	35.0539	0.1217301046
-47	100.0703	25.2708	0.0877567725
-46	89.662	14.8625	0.0516123364
-45	90.2087	15.4092	0.0535108369
-44	97.791	22.9915	0.0798415497
-43	90.0726	15.2731	0.0530382086
-42	85.1072	10.3077	0.035795087
-41	84.2353	9.4358	0.032767279
-40	76.9917	2.1922	0.0076127545
-39	86.0642	11.2647	0.0391184179
-38	82.3933	7.5938	0.0263706483
-37	82.616	7.8165	0.0271440086
-36	82.0255	7.226	0.0250934057
-35	92.2253	17.4258	0.0605137932
-34	79.4387	4.6392	0.0161103415
-33	76.7089	1.9094	0.0066306876
-32	74.7995	0	0
-31	75.7147	0.9152	0.0031781739
-30	88.149	13.3495	0.0463582092
-29	80.8088	6.0093	0.0208682263
-28	81.5396	6.7401	0.0234060426
-27	92.9903	18.1908	0.0631703744
-26	103.3632	28.5637	0.0991918784
-25	112.3968	37.5973	0.1305624555
-24	95.7715	20.972	0.0728285227
-23	97.4827	22.6832	0.0787709301
-22	95.6855	20.886	0.0725298744
-21	92.923	18.1235	0.0629366647
-20	102.9586	28.1591	0.0977868422
-19	109.627	34.8275	0.1209438954
-18	110.5549	35.7554	0.1241661721
-17	117.3617	42.5622	0.1478038408
-16	111.8225	37.023	0.1285681097
-15	136.9421	62.1426	0.2157998167
-14	143.683	68.8835	0.2392086375
-13	138.0359	63.2364	0.2195982069
-12	139.136	64.3365	0.2234184747
-11	148.6556	73.8561	0.2564767622
-10	153.1595	78.36	0.2721172535
-9	147.8763	73.0768	0.2537705221
-8	140.047	65.2475	0.2265820635
-7	148.7535	73.954	0.2568167351
-6	148.1337	73.3342	0.2546643835
-5	146.018	71.2185	0.2473172871
-4	161.6006	86.8011	0.3014302825
-3	142.4991	67.6996	0.2350973611
-2	151.7514	76.9519	0.2672274079
-1	152.9791	78.1796	0.2714907865
0	153.4042	78.6047	0.2729670122
1	160.1672	85.3677	0.2964525786
2	174.3177	99.5182	0.3455923846
3	171.9598	97.1603	0.3374042111
4	186.6028	111.8033	0.3882542998
5	199.3833	124.5838	0.4326365682
6	200.6008	125.8013	0.4368645258
7	189.1894	114.3899	0.3972366694
8	189.1073	114.3078	0.3969515644
9	193.8014	119.0019	0.4132525547
10	183.083	108.2835	0.3760312483
11	170.5704	95.7709	0.3325793042
12	161.8031	87.0036	0.3021334951
13	171.7816	96.9821	0.336785384
14	174.5221	99.7226	0.3463021953
15	198.8573	124.0578	0.4308099517
16	202.519	127.7195	0.4435257728
17	207.5417	132.7422	0.4609678776
18	219.6847	144.8852	0.5031363285
19	216.5062	141.7067	0.4920984942
20	220.3198	145.5203	0.5053418117
21	234.1622	159.3627	0.5534116926
22	235.781	160.9815	0.5590332267
23	242.6254	167.8259	0.5828014673
24	269.519	194.7195	0.6761936644
25	264.8167	190.0172	0.6598641983
26	292.7383	217.9388	0.7568262849
27	301.5702	226.7707	0.7874964275
28	303.7994	228.9999	0.7952376703
29	301.3612	226.5617	0.7867706426
30	309.8119	235.0124	0.816117009
31	313.6162	238.8167	0.8293280308
32	335.3293	260.5298	0.9047301382
33	334.3895	259.59	0.901466537
34	340.1345	265.335	0.9214169405
35	343.2355	268.436	0.932185644
36	362.7636	287.9641	1
37	345.1862	270.3867	0.9389597523
38	333.463	258.6635	0.898249122
39	332.35	257.5505	0.8943840569
40	323.6763	248.8768	0.8642632884
41	312.3249	237.5254	0.8248437913
42	333.3199	258.5204	0.8977521851
43	323.5544	248.7549	0.8638399717
44	311.3314	236.5319	0.8213937085
45	332.5923	257.7928	0.8952254812
46	309.9868	235.1873	0.8167243764
47	329.6394	254.8399	0.884971078
48	306.0922	231.2927	0.8031997739
49	291.4078	216.6083	0.7522059173
50	300.3635	225.564	0.7833059746
51	271.4403	196.6408	0.6828656767
52	267.414	192.6145	0.6688837254
53	301.3741	226.5746	0.7868154398
54	299.1565	224.357	0.7791144799
55	283.6448	208.8453	0.7252476958
56	280.7838	205.9843	0.7153124296
57	302.1084	227.3089	0.7893654105
58	299.7656	224.9661	0.7812296741
59	275.2191	200.4196	0.6959881457
60	248.651	173.8515	0.6037262978
61	253.247	178.4475	0.6196866207
62	225.9282	151.1287	0.5248178506
63	211.9362	137.1367	0.4762284604
64	217.7394	142.9399	0.4963809725
65	218.7402	143.9407	0.4998564057
66	219.1329	144.3334	0.5012201174
67	205.931	131.1315	0.455374472
68	219.7512	144.9517	0.50336726
69	205.4592	130.6597	0.4537360734
70	192.6781	117.8786	0.4093517213
71	204.8195	130.02	0.4515146159
72	176.174	101.3745	0.3520386743
73	166.5974	91.7979	0.3187824455
74	186.399	111.5995	0.3875465726
75	179.4398	104.6403	0.3633796713
76	158.4132	83.6137	0.2903615416
77	182.4444	107.6449	0.3738136108
78	161.7821	86.9826	0.3020605694
79	155.6221	80.8226	0.280669014
80	165.5671	90.7676	0.3152045689
81	175.9615	101.162	0.3513007351
82	179.7433	104.9438	0.3644336221
83	182.1075	107.308	0.3726436733
84	185.1	110.3005	0.3830355937
85	176.9879	102.1884	0.3548650682
86	171.0142	96.2147	0.3341204685
87	176.4406	101.6411	0.3529644841
88	172.3374	97.5379	0.3387154857
89	157.4431	82.6436	0.2869927189
