  0.99999998E-02  0.82179541E-02  0.31140071E+01 -0.20852363E+01 -0.20000000E+01
  0.20000000E-01  0.83160548E-02  0.31460238E+01 -0.20800827E+01 -0.16989700E+01
  0.29999999E-01  0.84141475E-02  0.31774885E+01 -0.20749899E+01 -0.15228788E+01
  0.39999999E-01  0.85121673E-02  0.32084215E+01 -0.20699598E+01 -0.13979400E+01
  0.49999999E-01  0.86100505E-02  0.32388433E+01 -0.20649943E+01 -0.13010300E+01
  0.59999999E-01  0.87077353E-02  0.32687740E+01 -0.20600948E+01 -0.12218488E+01
  0.69999998E-01  0.88051617E-02  0.32982334E+01 -0.20552627E+01 -0.11549020E+01
  0.79999998E-01  0.89022719E-02  0.33272409E+01 -0.20504991E+01 -0.10969100E+01
  0.89999998E-01  0.89990102E-02  0.33558155E+01 -0.20458053E+01 -0.10457575E+01
  0.99999998E-01  0.90953237E-02  0.33839758E+01 -0.20411818E+01 -0.10000000E+01
  0.11000000E+00  0.91911619E-02  0.34117397E+01 -0.20366296E+01 -0.95860732E+00
  0.12000000E+00  0.92864770E-02  0.34391246E+01 -0.20321490E+01 -0.92081876E+00
  0.13000000E+00  0.93812247E-02  0.34661475E+01 -0.20277405E+01 -0.88605666E+00
  0.14000000E+00  0.94753634E-02  0.34928244E+01 -0.20234041E+01 -0.85387197E+00
  0.15000000E+00  0.95688551E-02  0.35191708E+01 -0.20191400E+01 -0.82390875E+00
  0.16000000E+00  0.96616653E-02  0.35452015E+01 -0.20149480E+01 -0.79588003E+00
  0.17000000E+00  0.97537633E-02  0.35709305E+01 -0.20108278E+01 -0.76955109E+00
  0.18000000E+00  0.98451220E-02  0.35963711E+01 -0.20067789E+01 -0.74472750E+00
  0.19000000E+00  0.99357184E-02  0.36215355E+01 -0.20028007E+01 -0.72124641E+00
  0.20000000E+00  0.10025534E-01  0.36464354E+01 -0.19988925E+01 -0.69897001E+00
  0.21000000E+00  0.10114553E-01  0.36710815E+01 -0.19950533E+01 -0.67778071E+00
  0.22000000E+00  0.10202767E-01  0.36954836E+01 -0.19912820E+01 -0.65757733E+00
  0.22999999E+00  0.10290169E-01  0.37196506E+01 -0.19875775E+01 -0.63827217E+00
  0.23999999E+00  0.10376759E-01  0.37435906E+01 -0.19839383E+01 -0.61978877E+00
  0.24999999E+00  0.10462538E-01  0.37673105E+01 -0.19803629E+01 -0.60206000E+00
  0.25999999E+00  0.10547517E-01  0.37908165E+01 -0.19768498E+01 -0.58502666E+00
  0.26999999E+00  0.10631708E-01  0.38141137E+01 -0.19733970E+01 -0.56863625E+00
