#Angle(degree)	CountsImageJ(au)	Offset(=Counts-Min(Counts))	Normalization
-90	62.6345	43.7897	0.3032758728
-89	64.0094	45.1646	0.3127980663
-88	56.874	38.0292	0.2633801744
-87	55.1581	36.3133	0.2514963051
-86	57.6776	38.8328	0.2689456953
-85	78.1689	59.3241	0.4108630159
-84	54.2912	35.4464	0.2454923852
-83	45.5954	26.7506	0.1852675758
-82	43.1855	24.3407	0.1685772462
-81	52.8243	33.9795	0.235333024
-80	50.8544	32.0096	0.2216900179
-79	42.6111	23.7663	0.1645991038
-78	37.8188	18.974	0.1314089023
-77	43.2661	24.4213	0.1691354605
-76	34.1656	15.3208	0.106107806
-75	28.1062	9.2614	0.0641420053
-74	35.7245	16.8797	0.1169043348
-73	36.2693	17.4245	0.1206774754
-72	37.1627	18.3179	0.1268649274
-71	34.7311	15.8863	0.1100243093
-70	33.6497	14.8049	0.1025348191
-69	40.4946	21.6498	0.149940785
-68	47.7662	28.9214	0.2003019621
-67	39.9408	21.096	0.1461053127
-66	37.3807	18.5359	0.1283747377
-65	42.9595	24.1147	0.16701203
-64	51.2193	32.3745	0.2242172188
-63	45.5943	26.7495	0.1852599575
-62	40.1336	21.2888	0.1474405945
-61	49.1651	30.3203	0.2099903732
-60	44.8005	25.9557	0.1797623088
-59	40.0949	21.2501	0.1471725685
-58	43.1664	24.3216	0.1684449646
-57	41.3813	22.5365	0.1560818345
-56	37.0659	18.2211	0.1261945162
-55	39.7504	20.9056	0.1447866527
-54	42.911	24.0662	0.1666761318
-53	43.5064	24.6616	0.1707997147
-52	45.0025	26.1577	0.1811613073
-51	44.5139	25.6691	0.177777393
-50	38.0539	19.2091	0.1330371427
-49	41.2435	22.3987	0.1551274682
-48	41.0362	22.1914	0.1536917632
-47	33.1088	14.264	0.0987886889
-46	25.1582	6.3134	0.0437249375
-45	25.0229	6.1781	0.0427878855
-44	25.1765	6.3317	0.0438516785
-43	30.2838	11.439	0.0792234866
-42	21.4547	2.6099	0.0180754767
-41	20.6715	1.8267	0.0126512407
-40	23.5798	4.735	0.0327933568
-39	18.8448	0	0
-38	20.7292	1.8844	0.0130508557
-37	21.1363	2.2915	0.0158703225
-36	20.551	1.7062	0.0118166896
-35	27.0028	8.158	0.0565001489
-34	27.449	8.6042	0.059590412
-33	22.735	3.8902	0.0269424956
