#Angle(degree)	CountsImageJ(au)	Offset(=Counts-Min(Counts))	Normalization
-90	304.1336	95.0658	0.1356876594
-89	283.9151	74.8473	0.1068297426
-88	282.5645	73.4967	0.1049020278
-87	290.3133	81.2455	0.1159619099
-86	282.5913	73.5235	0.1049402795
-85	284.6727	75.6049	0.1079110671
-84	279.1931	70.1253	0.10009002
-83	255.9012	46.8334	0.0668454316
-82	246.5499	37.4821	0.0534982972
-81	267.8473	58.7795	0.0838961306
-80	284.9561	75.8883	0.1083155646
-79	275.4404	66.3726	0.0947337817
-78	234.55	25.4822	0.0363708092
-77	239.4303	30.3625	0.0433364739
-76	250.813	41.7452	0.0595830307
-75	262.4217	53.3539	0.0761521579
-74	259.4313	50.3635	0.0718839523
-73	246.3016	37.2338	0.0531438979
-72	245.8125	36.7447	0.0524458043
-71	239.083	30.0152	0.0428407717
-70	251.6315	42.5637	0.0607512778
-69	240.6879	31.6201	0.0451314496
-68	217.301	8.2332	0.0117512674
-67	222.2679	13.2001	0.0188405365
-66	238.7775	29.7097	0.0424047308
-65	229.5108	20.443	0.0291783462
-64	233.1647	24.0969	0.034393567
-63	230.7912	21.7234	0.0310058644
-62	228.3875	19.3197	0.0275750572
-61	232.8875	23.8197	0.0339979187
-60	243.1626	34.0948	0.0486635952
-59	224.2836	15.2158	0.0217175502
-58	222.7943	13.7265	0.0195918685
-57	225.5202	16.4524	0.0234825526
-56	245.8787	36.8109	0.0525402917
-55	239.3946	30.3268	0.0432855192
-54	239.7482	30.6804	0.0437902134
-53	243.6507	34.5829	0.0493602616
-52	232.0991	23.0313	0.0328726334
-51	234.3953	25.3275	0.0361500055
-50	243.604	34.5362	0.0492936066
-49	239.808	30.7402	0.0438755661
-48	231.3834	22.3156	0.0318511129
-47	243.156	34.0882	0.048654175
-46	233.0428	23.975	0.0342195788
-45	233.5975	24.5297	0.0350113035
-44	250.9353	41.8675	0.0597575898
-43	240.466	31.3982	0.0448147311
-42	243.6308	34.563	0.0493318583
-41	228.2267	19.1589	0.027345547
-40	232.8985	23.8307	0.034013619
-39	238.3893	29.3215	0.0418506519
-38	247.6609	38.5931	0.0550840303
-37	236.3606	27.2928	0.0389550832
-36	227.993	18.9252	0.0270119863
-35	230.1047	21.0369	0.0300260212
-34	212.2439	3.1761	0.0045332557
-33	237.2604	28.1926	0.0402393701
-32	219.9525	10.8847	0.0155357601
-31	209.0678	0	0
-30	242.1932	33.1254	0.0472799681
-29	245.7829	36.7151	0.0524035561
-28	235.1984	26.1306	0.0372962722
-27	245.2521	36.1843	0.0516459439
-26	261.8369	52.7691	0.0753174713
-25	268.8911	59.8233	0.085385949
-24	256.5063	47.4385	0.0677090923
-23	267.0339	57.9661	0.0827351627
-22	256.1321	47.0643	0.0671749957
-21	266.4184	57.3506	0.081856658
-20	264.9627	55.8949	0.0797789337
-19	273.5483	64.4805	0.0920331825
-18	284.0197	74.9519	0.1069790385
-17	301.6073	92.5395	0.1320818649
-16	327.744	118.6762	0.1693868437
-15	335.5018	126.434	0.1804595714
-14	325.0575	115.9897	0.1655523953
-13	339.8753	130.8075	0.1867018792
-12	329.8336	120.7658	0.1723693351
-11	355.8332	146.7654	0.2094786306
-10	350.3727	141.3049	0.201684845
-9	392.0264	182.9586	0.2611372775
-8	381.9057	172.8379	0.2466919765
-7	379.9647	170.8969	0.2439215823
-6	397.1611	188.0933	0.268466048
-5	399.3948	190.327	0.2716542137
-4	395.8438	186.776	0.2665858623
-3	421.0529	211.9851	0.3025668752
-2	418.8424	209.7746	0.2994118229
-1	433.7349	224.6671	0.3206679262
0	415.3804	206.3126	0.2944705014
1	436.3142	227.2464	0.3243493677
2	440.7715	231.7037	0.3307112834
3	433.9439	224.8761	0.3209662324
4	441.991	232.9232	0.3324518789
5	465.2128	256.145	0.3655964134
6	467.9746	258.9068	0.3695383376
7	469.6633	260.5955	0.3719486234
8	492.1092	283.0414	0.4039857138
9	535.2136	326.1458	0.4655087342
10	524.8431	315.7753	0.450706893
11	547.4109	338.3431	0.4829179716
12	528.9547	319.8869	0.4565753902
13	567.644	358.5762	0.511796727
14	571.6655	362.5977	0.5175366242
15	579.9932	370.9254	0.5294227717
16	603.4904	394.4226	0.5629603854
17	605.9817	396.9139	0.5665162242
18	632.9979	423.9301	0.6050765155
19	674.7167	465.6489	0.6646218654
20	674.3948	465.327	0.6641624168
21	674.5352	465.4674	0.66436281
22	682.3906	473.3228	0.6755748425
23	669.454	460.3862	0.6571104003
24	726.2828	517.215	0.7382222918
25	740.2319	531.1641	0.7581318779
26	748.3069	539.2391	0.769657346
27	788.8782	579.8104	0.8275648663
28	798.2311	589.1633	0.8409142843
29	795.7548	586.687	0.837379855
30	803.2861	594.2183	0.8481292988
31	836.8988	627.831	0.8961047914
32	823.9495	614.8817	0.8776222224
33	819.8447	610.7769	0.8717634309
34	836.4333	627.3655	0.8954403821
35	843.8199	634.7521	0.9059832951
36	855.2568	646.189	0.9223072117
37	847.963	638.8952	0.9118967524
38	847.7794	638.7116	0.9116346996
39	908.8613	699.7935	0.9988170516
40	889.2936	680.2258	0.9708880234
41	909.6901	700.6223	1
42	873.685	664.6172	0.9486098287
43	853.6734	644.6056	0.9200472209
44	864.3466	655.2788	0.9352811065
45	850.4129	641.3451	0.9153935009
46	838.5768	629.509	0.8984998051
47	872.7813	663.7135	0.9473199754
48	862.1063	653.0385	0.9320835206
49	841.7668	632.699	0.9030529003
50	828.829	619.7612	0.8845867452
51	775.5134	566.4456	0.8084892531
52	765.2158	556.148	0.7937914622
53	752.4858	543.418	0.7756219007
54	749.0738	540.006	0.7707519444
55	728.3137	519.2459	0.7411210006
56	761.653	552.5852	0.7887062687
57	740.0463	530.9785	0.7578669705
58	692.7183	483.6505	0.6903155952
59	704.4332	495.3654	0.7070363019
60	675.8263	466.7585	0.6662056004
61	681.7724	472.7046	0.6746924841
62	647.7374	438.6696	0.6261142416
63	625.0671	415.9993	0.5937568644
64	622.1797	413.1119	0.589635671
65	621.5734	412.5056	0.5887702975
66	608.8093	399.7415	0.5705520649
67	573.9089	364.8411	0.5207386348
68	579.4573	370.3895	0.5286578803
69	551.5221	342.4543	0.4887858979
70	514.3948	305.327	0.4357940077
71	530.4515	321.3837	0.4587117767
72	513.1262	304.0584	0.4339833317
73	494.3822	285.3144	0.4072299726
74	485.2886	276.2208	0.394250654
75	468.1265	259.0587	0.3697551448
76	439.3842	230.3164	0.3287311865
77	446.4936	237.4258	0.3388784513
78	428.1051	219.0373	0.3126324983
79	414.1915	205.1237	0.2927735814
80	410.7659	201.6981	0.2878842138
81	413.5558	204.488	0.2918662452
82	390.7938	181.726	0.2593779844
83	386.7209	177.6531	0.2535647238
84	364.7224	155.6546	0.2221662085
85	333.2606	124.1928	0.177260701
86	345.1863	136.1185	0.1942822831
87	315.2005	106.1327	0.151483474
88	318.6545	109.5867	0.1564133771
89	291.313	82.2452	0.1173887842
