#Angle(degree)	CountsImageJ(au)	Offset(=Counts-Min(Counts))	Normalization
-90	855.7982	366.7097	0.134820159
-89	815.1127	326.0242	0.1198622084
-88	770.007	280.9185	0.1032791792
-87	746.3914	257.3029	0.0945969465
-86	764.7322	275.6437	0.1013399085
-85	726.1431	237.0546	0.0871526956
-84	744.3286	255.2401	0.0938385619
-83	729.4229	240.3344	0.0883585082
-82	720.2256	231.1371	0.0849771374
-81	687.7541	198.6656	0.0730390491
-80	710.4597	221.3712	0.0813867219
-79	652.0474	162.9589	0.0599115453
-78	663.2984	174.2099	0.0640479551
-77	641.2779	152.1894	0.0559521581
-76	642.5452	153.4567	0.0564180786
-75	600.9953	111.9068	0.0411423329
-74	628.1171	139.0286	0.0511136137
-73	614.838	125.7495	0.0462315766
-72	616.5981	127.5096	0.0468786742
-71	607.4487	118.3602	0.0435149138
-70	595.1561	106.0676	0.0389955616
-69	611.7137	122.6252	0.0450829333
-68	619.6824	130.5939	0.0480126115
-67	604.5297	115.4412	0.0424417487
-66	592.694	103.6055	0.038090375
-65	576.5716	87.4831	0.0321630037
-64	582.7189	93.6304	0.0344230475
-63	566.4515	77.363	0.0284423672
-62	563.4376	74.3491	0.0273343124
-61	558.2133	69.1248	0.0254136079
-60	543.1035	54.015	0.0198585172
-59	529.119	40.0305	0.014717141
-58	534.0798	44.9913	0.0165409702
-57	528.215	39.1265	0.0143847871
-56	500.2424	11.1539	0.0041007112
-55	498.9315	9.843	0.0036187612
-54	527.6529	38.5644	0.014178132
-53	489.0885	0	0
-52	506.8117	17.7232	0.0065159025
-51	505.3866	16.2981	0.005991967
-50	502.6588	13.5703	0.0049890963
-49	546.9382	57.8497	0.0212683377
-48	548.2931	59.2046	0.0217664643
-47	557.1528	68.0643	0.025023717
-46	519.3049	30.2164	0.0111090049
-45	542.3825	53.294	0.0195934429
-44	532.035	42.9465	0.0157892032
-43	518.5284	29.4399	0.0108235261
-42	530.5571	41.4686	0.0152458559
-41	534.7322	45.6437	0.0167808239
-40	571.835	82.7465	0.0304216013
-39	558.0462	68.9577	0.0253521739
-38	575.57	86.4815	0.0317947673
-37	580.9571	91.8686	0.0337753249
-36	570.3984	81.3099	0.0298934379
-35	566.902	77.8135	0.0286079928
-34	559.9795	70.891	0.0260629481
-33	571.5164	82.4279	0.0303044686
-32	575.9702	86.8817	0.0319419001
-31	613.8521	124.7636	0.0458691122
-30	602.2898	113.2013	0.0416182535
-29	626.2232	137.1347	0.0504173248
-28	588.7784	99.6899	0.0366508117
-27	633.3138	144.2253	0.0530241711
-26	648.0129	158.9244	0.0584282687
-25	645.1246	156.0361	0.0573663904
-24	652.6093	163.5208	0.0601181268
-23	702.5211	213.4326	0.07846811
-22	699.6606	210.5721	0.0774164523
-21	711.6082	222.5197	0.0818089659
-20	725.9556	236.8671	0.0870837616
-19	716.6169	227.5284	0.0836504054
-18	729.4186	240.3301	0.0883569273
-17	743.6609	254.5724	0.0935930832
-16	787.3198	298.2313	0.1096441989
-15	820.6847	331.5962	0.1219107441
-14	816.4318	327.3433	0.1203471731
-13	842.3419	353.2534	0.1298729746
-12	871.232	382.1435	0.1404943677
-11	891.1892	402.1007	0.1478315962
-10	888.9218	399.8333	0.1469979907
-9	939.0222	449.9337	0.1654173123
-8	983.9399	494.8514	0.1819312236
-7	1048.4814	559.3929	0.2056597895
-6	1057.2557	568.1672	0.2088856451
-5	1044.0482	554.9597	0.2040299316
-4	1092.5046	603.4161	0.2218448395
-3	1135.5035	646.415	0.2376533075
-2	1154.6451	665.5566	0.2446906821
-1	1204.0145	714.926	0.2628412529
0	1227.6488	738.5603	0.2715303606
1	1274.3993	785.3108	0.2887180975
2	1350.053	860.9645	0.3165320437
3	1358.4331	869.3446	0.3196129723
4	1368.0302	878.9417	0.3231413288
5	1465.8958	976.8073	0.3591214399
6	1468.3107	979.2222	0.3600092736
7	1479.0432	989.9547	0.3639550578
8	1498.5433	1009.4548	0.3711242344
9	1513.0603	1023.9718	0.3764613832
10	1583.9734	1094.8849	0.4025324564
11	1621.3303	1132.2418	0.4162666532
12	1625.2771	1136.1886	0.4177176871
13	1705.7181	1216.6296	0.4472916755
14	1804.1644	1315.0759	0.4834852799
15	1830.9218	1341.8333	0.4933225897
16	1868.2843	1379.1958	0.5070588453
17	1910.7115	1421.623	0.5226571288
18	1939.7416	1450.6531	0.5333299926
19	2030.507	1541.4185	0.566699728
20	2042.5544	1553.4659	0.5711289329
21	2085.0938	1596.0053	0.5867684665
22	2132.7407	1643.6522	0.6042857632
23	2238.1501	1749.0616	0.6430393388
24	2293.5427	1804.4542	0.6634043282
25	2353.509	1864.4205	0.6854508301
26	2391.0723	1901.9838	0.6992609095
27	2466.6211	1977.5326	0.7270362894
28	2540.9565	2051.868	0.754365565
29	2574.9734	2085.8849	0.7668718168
30	2668.6851	2179.5966	0.8013247541
31	2694.2952	2205.2067	0.8107402611
32	2778.8569	2289.7684	0.8418292174
33	2913.644	2424.5555	0.8913834513
34	2925.0017	2435.9132	0.8955590892
35	2941.7412	2452.6527	0.9017133362
36	2956.2964	2467.2079	0.9070645292
37	2947.3496	2458.2611	0.9037752543
38	3048.4143	2559.3258	0.9409315088
39	2971.188	2482.0995	0.912539399
40	3105.584	2616.4955	0.9619498457
41	3117.0154	2627.9269	0.9661525793
42	3134.0195	2644.931	0.972404106
43	3137.6016	2648.5131	0.9737210586
44	3153.7217	2664.6332	0.9796475842
45	3171.8999	2682.8114	0.9863307666
46	3209.0801	2719.9916	1
47	3162.1125	2673.024	0.9827324467
48	3052.4536	2563.3651	0.9424165501
49	3012.5686	2523.4801	0.9277529019
50	2888.2893	2399.2008	0.8820618417
51	2873.0645	2383.976	0.8764644714
52	2764.4277	2275.3392	0.8365243481
53	2698.179	2209.0905	0.8121681332
54	2652.2371	2163.1486	0.7952776766
55	2579.1611	2090.0726	0.7684114172
56	2577.1733	2088.0848	0.7676806061
57	2476.5715	1987.483	0.730694536
58	2393.1584	1904.0699	0.7000278604
59	2272.8755	1783.787	0.6558060694
60	2272.7676	1783.6791	0.6557664002
61	2173.1099	1684.0214	0.6191274267
62	2117.1448	1628.0563	0.5985519588
63	2017.899	1528.8105	0.5620644196
64	1954.4668	1465.3783	0.5387436858
65	1955.8478	1466.7593	0.539251408
66	1845.0826	1355.9941	0.4985287822
