-90	169.6325	
-89	138.7330	
-88	113.2032	
-87	105.0595	
-86	92.8594	
-85	73.2991	
-84	59.6575	
-83	52.6774	
-82	48.6831	
-81	37.4911	
-80	30.2660	
-79	29.3588	
-78	20.6753	
-77	18.5228	
-76	17.5848	
-75	14.2775	
-74	9.8524	
-73	10.8724	
-72	6.8921	
-71	5.0619	
-70	3.7585	
-69	4.7597	
-68	4.1347	
-67	1.6725	
-66	1.7822	
-65	2.4034	
-64	3.4645	
-63	3.9666	
-62	2.6833	
-61	1.9108	
-60	1.7302	
-59	3.1404	
-58	2.9690	
-57	2.2694	
-56	1.4259	
-55	1.6151	
-54	3.0882	
-53	1.2386	
-52	1.8114	
-51	0.6871	
-50	0.9067	
-49	1.2696	
-48	2.0220	
-47	1.4844	
-46	0.9121	
-45	0.9377	
-44	0.6256	
-43	0.8591	
-42	1.7172	
-41	1.8706	
-40	1.6035	
-39	1.9531	
-38	2.3592	
-37	1.4730	
-36	2.0974	
-35	2.4936	
-34	3.1663	
-33	1.8838	
-32	2.4358	
-31	2.6140	
-30	3.3538	
-29	3.2700	
-28	2.2607	
-27	3.4808	
-26	2.1307	
-25	1.6444	
-24	1.7629	
-23	1.8305	
-22	1.3887	
-21	1.7850	
-20	1.5413	
-19	1.9609	
-18	1.5639	
-17	0.9778	
-16	1.8636	
-15	2.2039	
-14	0.6891	
-13	1.6295	
-12	2.6797	
-11	1.9499	
-10	1.8535	
-9	2.6449	
-8	3.0669	
-7	2.8711	
-6	1.4793	
-5	1.6276	
-4	2.5760	
-3	3.7613	
-2	3.7281	
-1	1.4324	
0	1.0433	
1	1.0485	
2	3.5918	
3	5.1880	
4	4.8898	
5	3.7887	
6	5.5818	
7	4.9624	
8	6.2262	
9	4.9653	
10	6.4934	
11	6.7110	
12	6.1079	
13	7.3323	
14	7.6671	
15	10.6268	
16	13.8080	
17	14.2971	
18	11.4065	
19	13.7440	
20	15.2716	
21	20.1012	
22	26.0798	
23	26.0714	
24	33.7225	
25	40.0409	
26	44.0206	
27	51.7588	
28	58.7962	
29	63.6828	
30	87.7868	
31	112.7963	
32	125.5609	
33	169.7099	
34	192.1105	
35	236.8084	
36	298.7661	
37	351.4773	
38	469.1450	
39	597.6118	
40	776.0969	
41	973.8015	
42	1287.3307	
43	1633.7399	
44	2154.4678	
45	2856.9492	
46	3814.2419	
47	5180.5156	
48	6926.1851	
49	9209.6133	
50	12336.0449	
51	16064.3525	
52	21469.2773	
53	28402.3047	
54	36862.7539	
55	46844.3594	
56	58197.0625	
57	70331.7500	
58	82317.5625	
59	92467.3281	
60	99125.3672	
61	101924.9688	
62	100083.6641	
63	94916.0703	
64	86108.6406	
65	75187.3203	
66	63397.8281	
67	51593.1680	
68	40803.7773	
69	31894.2070	
70	24701.0312	
71	18881.7832	
72	14130.8467	
73	10660.7480	
74	8195.5186	
75	6137.5757	
76	4624.7017	
77	3527.4958	
78	2653.5227	
79	2066.0715	
80	1561.3616	
81	1173.0242	
82	942.0589	
83	730.3945	
84	571.4157	
85	470.9005	
86	374.9604	
87	294.6682	
88	232.7353	
89	192.3491	
